Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
16-Jan-2020 06:00 PM,29-Jan-2020 02:00 PM,16-Jan-2020 06:00 PM,29-Jan-2020 11:00 AM,NA ,NA ,20-Jan-2020 06:00 PM,29-Jan-2020 11:00 AM,02-Mar-2020 03:00 PM,"1,00,000",Yes,fixed,,Director of Agriculture HP,Shimla,"1,000",Director of Agriculture HP,Shimla,No,1.0,Fee/PreQual/Technical,.pdf,"Tender fee, earnest money and other documents required as per NIT and Tender documents",Director of Agriculture,Directorate of Agriculture Shimla -5,1.0,DD - Demand Draft,1.0,Date Extended,Date,,Supply of Hybrid Seeds,"Supply of Hybrid seeds of different crops viz Rice, Maize, Bajra, Sorghum, Rye Grass and Vegetables varieties not older than ten years duly tested and recommended by CSK HPKV Palampur UHF Nauni district Solan HP",Please refer Tender documents. ,NA ,"39,00,00,000",Miscellaneous Goods,Seeds ,Rate Contract,90.0,365.0,As per Tender Document,171005.0,NA ,NA ,NA ,Directorate of Agriculture Shimla -5,No ,No,Director of Agriculture,Agr.H(II-Tech) (F).16/2011-VIII,2020_DoA_34112_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Offline,No,No,No,AOC,1,146962,Acsen Hyveg Private Limited,28-Jan-2020 11:35 AM,Accepted-AOC,Item Wise /Variety Wise order issued,15-Jul-2021 12:28 PM,Technical,Successfully Opened,Hem Raj Thakur,29-Jan-2020 03:13 PM,technical_49548.pdf,Finance,Bid Opened on scheduled date,Rita Sharma,15-Jul-2021 12:06 PM,finance_49548.pdf,BOQ Comparative Chart,1.0,146252.0,Super Seeds Pvt Ltd,INR,"3,784,535",Director of Agriculture,2020_DoA_34112_1,Agr.H(II-Tech) (F).16/2011-VIII,Supply of Hybrid Seeds,Joint Director,Internal,Kindly see the attachment,Rakesh Kumar Koundal,28-Feb-2020 12:02 PM,02-Mar-2020 03:00 PM,techsummary_49548.pdf (1206.84 KB),Director Agriculture,Internal,Kindly find attachment,Rita Sharma,15-Jul-2021 12:13 PM,finsummary_49548.pdf (308.04 KB),15-Jul-2021,"INR 298,697,267",365.0,Rita Sharma,15-Jul-2021 12:28 PM,SupplyofHybridSeedsAward.pdf (308.00 KB),Item Wise /Variety Wise order issued,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,"Technical documents required as per NIT,Tender documents and Terms and conditions",,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,146248,ARUNA SEEDS PRIVATE LIMITED,22-Jan-2020 05:18 PM,Rejected-AOC,not Issued,15-Jul-2021 12:28 PM,,,,,,,,,,,,2.0,146295.0,PLANTGENE SEEDS LLP,INR,"25,626,600",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Annexure A as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,147142,Bayer Cropscience Ltd,28-Jan-2020 06:01 PM,Accepted-AOC,Item Wise /Variety Wise order issued,15-Jul-2021 12:28 PM,,,,,,,,,,,,3.0,146343.0,KANCHAN GANGA SEED COMPANY PVT LTD,INR,"116,608,250",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,146922,Beej Sheetal Research Private Limited,27-Jan-2020 08:29 PM,Accepted-AOC,Item Wise /Variety Wise order issued,15-Jul-2021 12:28 PM,,,,,,,,,,,,4.0,146374.0,WELCOME CROP SCIENCE PRIVATE LTD.,INR,"2,165,625",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Price Bid as per Annexure B of Tender Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,146600,BISCO BIO SCIENCES PVT LTD,28-Jan-2020 03:59 PM,Rejected-Technical,Not Responsive,28-Feb-2020 12:02 PM,,,,,,,,,,,,5.0,146419.0,KARISHMA SEED FARM,INR,"5,733,000",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,146953,Kalash Seeds,27-Jan-2020 09:37 PM,Accepted-AOC,Item Wise /Variety Wise order issued,15-Jul-2021 12:28 PM,,,,,,,,,,,,6.0,146670.0,YAGANTI AGROTECH PVT. LTD.,INR,"27,647,000",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,146343,KANCHAN GANGA SEED COMPANY PVT LTD,22-Jan-2020 06:23 PM,Accepted-AOC,Item Wise /Variety Wise order issued,15-Jul-2021 12:28 PM,,,,,,,,,,,,7.0,146787.0,Proline Seeds Company (India) Pvt Ltd,INR,"61,124,600",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,146419,KARISHMA SEED FARM,25-Jan-2020 04:07 PM,Accepted-AOC,Item Wise /Variety Wise order issued,15-Jul-2021 12:28 PM,,,,,,,,,,,,8.0,146828.0,M/S INDO AMERICAN HYBRID SEEDS INDIA PRIVATE LIMITED,INR,"904,750",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,146828,M/S INDO AMERICAN HYBRID SEEDS INDIA PRIVATE LIMITED,27-Jan-2020 03:07 PM,Accepted-AOC,Item Wise /Variety Wise order issued,15-Jul-2021 12:28 PM,,,,,,,,,,,,9.0,146893.0,STAR AGROTECH PRIVATE LIMITED,INR,"13,200,625",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,146795,NATIONAL SEEDS CORPORATION LIMITED,28-Jan-2020 02:16 PM,Rejected-Technical,Not Responsive,28-Feb-2020 12:02 PM,,,,,,,,,,,,10.0,146922.0,Beej Sheetal Research Private Limited,INR,"2,032,650",,,,,,,,,,,,,,,,,,,,,,,,,AOC
