Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Executive Engineer,Internal,"Supdt Gr-II,HDM,DAO",Anil Kumar Sharma,19-Jul-2021 12:56 PM,finsummary_70540.pdf (423.43 KB),19-Jul-2021,"INR 487,375",60.0,Anil Kumar Sharma,19-Jul-2021 01:12 PM,AOCParamjeet19.7.21.pdf (990.00 KB),AwardLetter,PWD,2021_PWD_46964_1,A/R and M/O various roads under Barsar Sub Divi.,A/R and M/O various roads under Barsar Sub Division section Bhota and Bijhari,Executive Engineer,Internal,"Supdt.Gr.II, HDM, Divisional Accounts Officer",Anil Kumar Sharma,11-Jun-2021 12:30 PM,14-Jun-2021 10:30 AM,techsummary_70540.pdf (1033.34 KB),Technical,Attached,Anil Kumar Sharma,11-Jun-2021 12:21 PM,technical_70540.pdf,1.0,210975.0,AJIT LAKHANPAL,05-May-2021 01:42 PM,Rejected-AOC,L1L2L3L4L5L6,19-Jul-2021 01:12 PM,1.0,212034.0,Parmjeet Sharma,INR,"487,375.35",Finance,Attached,Anil Kumar Sharma,19-Jul-2021 12:43 PM,finance_70540.pdf,BOQ Comparative Chart,AOC,A/R and M/O various roads under Barsar Sub Division section Bhota and Bijhari,"Removal of slips ,maintenance of earthen shoulder and maintenance of drain at various roads and various rds.",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,120.0,90.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,PWD,A/R and M/O various roads under Barsar Sub Divi.,2021_PWD_46964_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,1.0,ICICI BANK,"11,200",No,fixed,,Nil,Nil,03-May-2021 10:30 AM,12-May-2021 11:00 AM,03-May-2021 10:30 AM,12-May-2021 10:30 AM,NA ,NA ,03-May-2021 10:30 AM,12-May-2021 10:30 AM,14-Jun-2021 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,350.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,211930.0,ankush kapil,11-May-2021 08:19 PM,Rejected-AOC,L1L2L3L4L5L6,19-Jul-2021 01:12 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,211881.0,ashok Thakur,12-May-2021 08:53 AM,Rejected-AOC,L1L2L3L4L5L6,19-Jul-2021 01:12 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,212034.0,Parmjeet Sharma,11-May-2021 10:17 PM,Accepted-AOC,L1L2L3L4L5L6,19-Jul-2021 01:12 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar Work done certificate ( Only Completed work ),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,212134.0,ROHIT KAPIL,11-May-2021 06:51 PM,Rejected-AOC,L1L2L3L4L5L6,19-Jul-2021 01:12 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"G.S.T. No.with latest clearance return, EPF No.with latest clearance return,Labour Licence, Pan Card",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,212118.0,shashi kant,11-May-2021 05:12 PM,Rejected-AOC,L1L2L3L4L5L6,19-Jul-2021 01:12 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit Magistrate/Notary,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. That information submitted by bidder is true and correctattested by Magistrate/Notary,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate countersigned by the Engineer in charge not below the rank of Executive Eng,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,,,,,AOC
