Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
26-Jul-2021,"INR 1,787,609",30.0,Ankit Kumar,03-Jul-2021 11:30 AM,Award.pdf (992.00 KB),Award,Dr Suresh Kumar walia,Internal,Er Surinder AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Ankit Kumar,03-Jul-2021 11:25 AM,finsummary_72524.pdf (246.25 KB),Dr Suresh Kumar walia,Internal,Er Surinder AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,21-Jun-2021 01:16 PM,22-Jun-2021 02:00 PM,techsummary_72524.pdf (641.27 KB),PWD,2021_PWD_48234_2,PW-Civil-2047-76-Tanda,Annual repair and maintenance of Yol to Palli roads Km 0/000 to 10/555 in Distt Kangra (HP) (SH-Providing and laying cement concrete bitumious at various reaches),1.0,216130.0,Navneet Thakur,INR,"1,787,609",Finance,SumDSC1234 DSC,Ankit Kumar,03-Jul-2021 11:19 AM,finance_72524.pdf,BOQ Comparative Chart,Technical,Sum,Suresh Kumar Walia,21-Jun-2021 12:43 PM,technical_72524.pdf,1.0,216535.0,NAVNEET SHARMA,14-Jun-2021 01:27 PM,Rejected-Finance,Lowest 2,03-Jul-2021 11:25 AM,AOC,Annual repair and maintenance of Yol to Palli roads Km 0/000 to 10/555 in Distt Kangra (HP) (SH-Providing and laying cement concrete bitumious at various reaches),Annual repair and maintenance of Yol to Palli roads Km 0/000 to 10/555 in Distt Kangra (HP) (SH-Providing and laying cement concrete bitumious at various reaches),Please refer Tender documents. ,NA ,"11,69,448",Civil Works - Roads,NA ,Tender,120.0,30.0,Tanda,176002.0,NA ,NA ,NA ,Executive Engineer HP PWD Tanda,No ,No,"23,400",No,fixed,,Nil,Nil,1.0,ICICI BANK,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender Form,Executive Engineer,Executive Engineer HP PWD Tanda,10-Jun-2021 06:40 PM,16-Jun-2021 11:30 AM,10-Jun-2021 06:40 PM,16-Jun-2021 10:00 AM,NA ,NA ,10-Jun-2021 06:40 PM,16-Jun-2021 10:00 AM,22-Jun-2021 02:00 PM,PWD,PW-Civil-2047-76-Tanda,2021_PWD_48234_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,216130.0,Navneet Thakur,12-Jun-2021 02:04 PM,Accepted-AOC,l,03-Jul-2021 11:30 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,217011.0,pritam singh thkur,15-Jun-2021 02:00 PM,Rejected-Technical,Not Fulfill Criteria,21-Jun-2021 01:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
