Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,1.0,ICICI BANK,1.0,Corrigendum,Financial Bid,,"74,850",No,fixed,,Nil,Nil,"Widening/Improvement of MRR via Chotta Shimla km 149/00 to 156/640 (SH C/O Breast wall Pedestal path, cutting work for providing separate Bus lane spot near HP Secretariat Between Rd. 152/330 to 152/380)(Under Smart City).","Widening/Improvement of MRR via Chotta Shimla km 149/00 to 156/640 (SH C/O Breast wall Pedestal path, cutting work for providing separate Bus lane spot near HP Secretariat Between Rd. 152/330 to 152/380)(Under Smart City).",As per SBD ,NA ,,Civil Works,NA ,Tender,120.0,NA ,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,PWD,SD-I-CTR-Tender- 688 dt 12-04-2021,2021_PWD_46832_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No,24-Apr-2021 06:00 PM,06-May-2021 11:00 AM,24-Apr-2021 06:00 PM,05-May-2021 04:00 PM,NA ,NA ,24-Apr-2021 06:00 PM,05-May-2021 04:00 PM,21-May-2021 11:00 AM,AOC,Finance,Bid opening summary,Sudhir Kumar Gupta,21-May-2021 03:31 PM,finance_70389.pdf,BOQ Comparative Chart,1.0,211103.0,MOHIT SHARMA A CLASS GOVT. CONTRACTOR,INR,"3,506,484",1.0,211207.0,Ankit Sharma,05-May-2021 02:01 PM,Rejected-Finance,3rd Lowest,28-Jul-2021 11:21 AM,Technical,Bid opening summary,Sudhir Kumar Gupta,07-May-2021 01:21 PM,technical_70389.pdf,ErSudhirGupta,Internal,ShAmarSinghVermaHDMShManojKumarSupdtShVaibhavJindalDAO,Sudhir Kumar Gupta,20-May-2021 05:02 PM,21-May-2021 11:00 AM,techsummary_70389.pdf (795.71 KB),PWD,2021_PWD_46832_3,SD-I-CTR-Tender- 688 dt 12-04-2021,"Widening/Improvement of MRR via Chotta Shimla km 149/00 to 156/640 (SH C/O Breast wall Pedestal path, cutting work for providing separate Bus lane spot near HP Secretariat Between Rd. 152/330 to 152/380)(Under Smart City).",28-Jul-2021,"INR 4,488,251",90.0,Sudhir Kumar Gupta,28-Jul-2021 11:23 AM,AOC46832_3.pdf (849.00 KB),AOC,ErSudhirGupta,Internal,ShAmarSinghVermaHDMShManojKumarSupdtShVaibhavJindalDAO,Sudhir Kumar Gupta,28-Jul-2021 11:21 AM,finsummary_70389.pdf (659.18 KB),AOC
,,.pdf,EMD with UTR No (As per schedule F),,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,210508.0,DASU RAM,05-May-2021 01:28 PM,Rejected-Finance,2nd Lowest,28-Jul-2021 11:21 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,211174.0,Kuldeep Sharma,05-May-2021 12:57 PM,Rejected-Technical,No,20-May-2021 05:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,211103.0,MOHIT SHARMA A CLASS GOVT. CONTRACTOR,05-May-2021 12:45 AM,Accepted-AOC,awarded,28-Jul-2021 11:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work done certificate (As per Performa given in General rule No.19 counter signed by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 countersigned by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No. 8 (Refer General rule No 26.7). (submit the original as per schedule time and date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
