Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Proceedingregardingopeningoffinancialbids,Arvind Chaudhary,03-Jul-2021 06:10 PM,finance_73168.pdf,BOQ Comparative Chart,1.0,219761.0,RAJEEV KUMAR MENON,INR,"539,208",Technical,TechnicalBidOpeningSummary,Arvind Chaudhary,29-Jun-2021 11:46 AM,technical_73168.pdf,1.0,219800.0,Arpit Prashar,28-Jun-2021 07:54 AM,Rejected-AOC,ok,27-Jul-2021 11:48 AM,"Er. Rajesh kumar, E.E.",Internal,"Er. Sunil Kumar. AE Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Prem Chand, Sr. Assistant",Arvind Chaudhary,03-Jul-2021 06:19 PM,finsummary_73168.pdf (434.21 KB),20-Jul-2021,"INR 592,623",90.0,Rajesh Kumar,27-Jul-2021 11:48 AM,Awardletter.pdf (870.00 KB),Award letter,PWD,2021_PWD_48818_1,Job 3 Repair and Maintenance of GPS Jalgran Distt,"Job 3 Repair and Maintenance of G.P.S. Jalgran Distt. Una Sub Head P.L vitrified tile flooring, Distempering etc. Deposit Work","Er. Rajesh Kumar, E.E.",Internal,"Er. Sunil Kumar. AE Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Prem Chand, Sr. Assistant",Arvind Chaudhary,02-Jul-2021 12:16 PM,02-Jul-2021 03:00 PM,techsummary_73168.pdf (558.77 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"11,900",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",una,22-Jun-2021 10:00 AM,28-Jun-2021 11:00 AM,22-Jun-2021 10:00 AM,28-Jun-2021 09:00 AM,NA ,NA ,22-Jun-2021 10:00 AM,28-Jun-2021 09:00 AM,02-Jul-2021 03:00 PM,1.0,FDR - Fixed Deposit,PWD,Job 3 Repair and Maintenance of GPS Jalgran Distt,2021_PWD_48818_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,"Job 3 Repair and Maintenance of G.P.S. Jalgran Distt. Una Sub Head P.L vitrified tile flooring, Distempering etc. Deposit Work","Job 3 Repair and Maintenance of G.P.S. Jalgran Distt. Una Sub Head P.L vitrified tile flooring, Distempering etc. Deposit Work",Please refer to Bidding Documents ,NA ,,Civil Works - Buildings,NA ,Tender,75.0,90.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,AOC
,,,,,,,,,,,,,,,,2.0,219729.0,Ashwani Kumar,27-Jun-2021 10:22 AM,Rejected-AOC,ok,27-Jul-2021 11:48 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,219525.0,MOHIT BEDI,26-Jun-2021 12:38 PM,Rejected-AOC,ok,27-Jul-2021 11:48 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration (Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,219761.0,RAJEEV KUMAR MENON,27-Jun-2021 08:17 PM,Accepted-AOC,ok,27-Jul-2021 11:48 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
