Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
Executive Engineer,Internal,"Supdt.Grade-II,DAO,HDM",Anil Kumar Sharma,20-Jul-2021 03:54 PM,finsummary_70534.pdf (360.75 KB),20-Jul-2021,"INR 937,740",30.0,Anil Kumar Sharma,20-Jul-2021 03:57 PM,AOCMissShivani20.07.2021.pdf (1243.00 KB),Award Letter,PWD,2021_PWD_46959_1,A/R M/O various roads under Barsar Sub Division,A/R and M/O various roads under Barsar Sub Division section Garli and Barsar-1,Executive Engineer,Internal,"Supdt.Gr.II, Divisional Accounts Officer, HDM",Anil Kumar Sharma,15-Jun-2021 05:26 PM,17-Jun-2021 11:00 AM,techsummary_70534.pdf (1034.74 KB),Technical,Attached,Anil Kumar Sharma,15-Jun-2021 05:21 PM,technical_70534.pdf,1.0,211345.0,geeta devi,10-May-2021 02:49 PM,Rejected-Technical,Non Responsive,15-Jun-2021 05:26 PM,1.0,211219.0,SHIVANI SHARMMA,INR,"990,275.8",Finance,Attached,Anil Kumar Sharma,20-Jul-2021 03:51 PM,finance_70534.pdf,BOQ Comparative Chart,AOC,A/R and M/O various roads under Barsar Sub Division section Garli and Barsar-1,Repair of pot holes i/c G-III at various roads at various rds.,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,120.0,60.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,1.0,ICICI BANK,PWD,A/R M/O various roads under Barsar Sub Division,2021_PWD_46959_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,"11,000",No,fixed,,Nil,Nil,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,03-May-2021 10:30 AM,12-May-2021 11:00 AM,03-May-2021 10:30 AM,12-May-2021 10:30 AM,NA ,NA ,03-May-2021 10:30 AM,12-May-2021 10:30 AM,17-Jun-2021 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,211786.0,Sanjeev Kumar,10-May-2021 12:30 PM,Rejected-AOC,L1L2,20-Jul-2021 03:57 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,212120.0,shashi kant,11-May-2021 05:30 PM,Rejected-Technical,Non Responsive,15-Jun-2021 05:26 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,211219.0,SHIVANI SHARMMA,08-May-2021 01:06 PM,Accepted-AOC,L1L2,20-Jul-2021 03:57 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar Work done certificate ( Only Completed work ),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"G.S.T. No.with latest clearance return, EPF No.with latest clearance return,Labour Licence, Pan Card",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit Magistrate/Notary,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. That information submitted by bidder is true and correctattested by Magistrate/Notary,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate countersigned by the Engineer in charge not below the rank of Executive Eng,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,AOC
