Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
19-Jul-2021,"INR 9,219,907",60.0,Anil Kumar Sharma,19-Jul-2021 02:38 PM,AOCDeepakJoshi19.7.21.pdf (1007.00 KB),AOC Attached,Executive Engineer,Internal,"Supdt.Gr-II,HDM,DAO",Anil Kumar Sharma,19-Jul-2021 02:30 PM,finsummary_67981.pdf (416.72 KB),Executive Engineer,Internal,Supdt HDM DAO AE,Anil Kumar Sharma,20-Mar-2021 02:50 PM,22-Mar-2021 11:00 AM,techsummary_67981.pdf (650.22 KB),PWD,2021_PWD_45215_1,AMP on Kitpal Dakhrun road,"Annual Maintenance Plan on Kitpal Dakhrun road,Dhainda Panga to Julah Bahal,Tang to Baloh road,Patta Jalari to Jangal Khoher to Takeri road and Basaral Badehra road",1.0,203952.0,DEEPAK JOSHI,INR,"9,988,005.8",Finance,Financial bid,Anil Kumar Sharma,22-Mar-2021 12:50 PM,finance_67981.pdf,BOQ Comparative Chart,Technical,tech bid opening summary,Anil Kumar Sharma,18-Mar-2021 04:20 PM,technical_67981.pdf,1.0,203952.0,DEEPAK JOSHI,17-Mar-2021 01:54 PM,Accepted-AOC,L1L2,19-Jul-2021 02:38 PM,AOC,1.0,DD - Demand Draft,PWD,AMP on Kitpal Dakhrun road,2021_PWD_45215_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,"2,000",Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,"Annual Maintenance Plan on Kitpal Dakhrun road,Dhainda Panga to Julah Bahal,Tang to Baloh road,Patta Jalari to Jangal Khoher to Takeri road and Basaral Badehra road","Providing and Laying bituminous concrete 30mm thick in km. 0/0 to 2/500,0/0 to 2/0,0/0 to 1/0 ,0/0 to 1/0,0/0 to 0/975 and 0/0 to 1/0 Respectively) DRRP No. HP-03-03 VR0109,VR0072,VR0076,VR0093,VR0086 and VR00120 )with paver finisher",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,120.0,60.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,"1,25,300",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,08-Mar-2021 10:30 AM,18-Mar-2021 11:00 AM,08-Mar-2021 10:30 AM,18-Mar-2021 10:30 AM,NA ,NA ,08-Mar-2021 10:30 AM,18-Mar-2021 10:30 AM,22-Mar-2021 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,203800.0,S.S.Chauhans Construction Private Limted,17-Mar-2021 10:33 PM,Rejected-AOC,L1L2,19-Jul-2021 02:38 PM,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Similar Work done certificate ( Only Completed work ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"G.S.T. No.with latest clearance return, EPF No. with latest clearance return,Labour Licence, Pan Car",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant with ownership documents/Aff. Magistrate/Notary (Plant and paver must b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. that the information submitted by the bidder is true and correct (Magistrate/Notary),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly countersigned by the Engineer in charge, not below the rank of an Exec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Last five Year Turn over duly signed by the CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29(Magistrate/Notary),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder should must be uploaded working programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder/firm may like to be provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
