Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
HP SIDC Limited,2021_SIDC_44445_1,Job No. 4,Construction of retaining wall the backside of type-II and type-III Qtr. in DIC residential Colony at Gwalthai Distt. Bilaspur (HP).,EE,Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,05-Apr-2021 12:36 PM,finsummary_66685.pdf (535.20 KB),1.0,202377.0,ATISH TRADERS,INR,"998,835",19-Apr-2021,"INR 998,835",90.0,Sushant Singh Negi,28-Jul-2021 05:25 PM,dicgwalthai.pdf (2413.00 KB),Award letter,1.0,202377.0,ATISH TRADERS,08-Mar-2021 09:25 PM,Accepted-AOC,Award to lowest bidder,28-Jul-2021 05:25 PM,Technical,Summary,Sushant Singh Negi,26-Mar-2021 03:04 PM,technical_66685.pdf,EE(HQ),Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,26-Mar-2021 03:06 PM,27-Mar-2021 11:00 AM,techsummary_66685.pdf (643.14 KB),Finance,Financial summary,Sushant Singh Negi,05-Apr-2021 12:33 PM,finance_66685.pdf,BOQ Comparative Chart,AOC,"17,800",No,fixed,,Nil,Nil,HP SIDC Limited,Job No. 4,2021_SIDC_44445_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"1,000",Nil,Nil,No,Construction of retaining wall the backside of type-II and type-III Qtr. in DIC residential Colony at Gwalthai Distt. Bilaspur (HP).,Construction of retaining wall the backside of type-II and type-III Qtr. in DIC residential Colony at Gwalthai Distt. Bilaspur (HP).,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,90.0,Gwalthai (Bilaspur),174201.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,1.0,Fee/PreQual/Technical,.pdf,appropriate Contractor registration (as per tender condition),17-Feb-2021 12:00 PM,10-Mar-2021 11:00 AM,17-Feb-2021 12:00 PM,09-Mar-2021 05:00 PM,NA ,NA ,17-Feb-2021 12:00 PM,09-Mar-2021 05:00 PM,27-Mar-2021 11:00 AM,Executive Engineer,HPSIDC Ltd. Shimla,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,202524.0,Gagandeep Singh,09-Mar-2021 02:23 PM,Rejected-Finance,Second lowest bidder,05-Apr-2021 12:36 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,201289.0,Rajender Pal,09-Mar-2021 01:41 PM,Rejected-Finance,Fourth lowest bidder,05-Apr-2021 12:36 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of approved make for materials,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,202594.0,Rajesh Kumar,09-Mar-2021 04:41 PM,Rejected-Finance,Third lowest bidder,05-Apr-2021 12:36 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5.0,202516.0,Ram Pal,09-Mar-2021 03:58 PM,Rejected-Finance,Sixth lowest bidder,05-Apr-2021 12:36 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than two works in hand each of 100 lakh or above in any department,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6.0,202608.0,RSK Tech Labs,09-Mar-2021 04:48 PM,Rejected-Finance,Fifth lowest bidder,05-Apr-2021 12:36 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration no.,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration number.,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC
