Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
20-Jul-2021,"INR 1,208,962",60.0,Sudhir Kumar Gupta,20-Jul-2021 02:53 PM,AOC48150_6.pdf (773.00 KB),AOC,ErSudhirGupta,Internal,ShAmarSinghVermaHDMShManojKumarSupdtShVaibhavJindalDAO,Sudhir Kumar Gupta,20-Jul-2021 02:51 PM,finsummary_72183.pdf (683.79 KB),ErSudhirGupta,Internal,ShAmarSinghVermaHDMShManojKumarSupdtShVaibhavJindalDAO,Sudhir Kumar Gupta,17-Jun-2021 05:05 PM,18-Jun-2021 11:00 AM,techsummary_72183.pdf (801.70 KB),PWD,2021_PWD_48150_6,SD-ICTR-Tender-2021-3012 dt 24-05-2021,Restoration of road due to digging for laying Optical cable along with the Old Kasumpti Junga road(SH C/O drain and Grating at various RDs,Finance,Bid opening summary,Sudhir Kumar Gupta,21-Jun-2021 01:44 PM,finance_72183.pdf,BOQ Comparative Chart,1.0,217067.0,parveen thakur,INR,"927,116",Technical,Bid opening summary,Sudhir Kumar Gupta,16-Jun-2021 04:24 PM,technical_72183.pdf,1.0,215974.0,Jai Lal,15-Jun-2021 01:30 PM,Rejected-Finance,2nd Lowest,20-Jul-2021 02:51 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),1.0,ICICI BANK,500.0,Nil,Nil,No,"24,200",No,fixed,,Nil,Nil,PWD,SD-ICTR-Tender-2021-3012 dt 24-05-2021,2021_PWD_48150_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Restoration of road due to digging for laying Optical cable along with the Old Kasumpti Junga road(SH C/O drain and Grating at various RDs,Restoration of road due to digging for laying Optical cable along with the Old Kasumpti Junga road(SH C/O drain and Grating at various RDs,As per SBD ,NA ,,Civil Works,NA ,Tender,75.0,60.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,07-Jun-2021 06:00 PM,16-Jun-2021 11:00 AM,07-Jun-2021 06:00 PM,15-Jun-2021 04:00 PM,NA ,NA ,07-Jun-2021 06:00 PM,15-Jun-2021 04:00 PM,18-Jun-2021 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,217067.0,parveen thakur,15-Jun-2021 03:18 PM,Accepted-AOC,Awarded,20-Jul-2021 02:53 PM,AOC,,,.pdf,EMD with UTR No (As per schedule F),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,217024.0,Vikram Singh,15-Jun-2021 11:51 AM,Rejected-Finance,3rd Lowest,20-Jul-2021 02:51 PM,AOC,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate (As per Performa given in General rule No.19 counter signed by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 countersigned by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 8 (Refer General rule No 26.7). (submit the original as per schedule time and date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
