Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
ErSudhirGupta,Internal,ShAmarSinghVermaHDMShManojKumarSupdtShVaibhavJindalDAO,Sudhir Kumar Gupta,20-Jul-2021 02:44 PM,finsummary_72180.pdf (728.36 KB),20-Jul-2021,"INR 2,976,786",60.0,Sudhir Kumar Gupta,20-Jul-2021 02:45 PM,AOC48150_4.pdf (813.00 KB),AOC,PWD,2021_PWD_48150_4,SD-ICTR-Tender-2021-3012 dt 24-05-2021,"C/O Dhamechi to Bhad road Km.0/00 to 2/00(SH C/O Culvert formation defencies, Retaining Walls and Breast Walls at various RDs",ErSudhirGupta,Internal,ShAmarSinghVermaHDMShManojKumarSupdtShVaibhavJindalDAO,Sudhir Kumar Gupta,17-Jun-2021 05:06 PM,18-Jun-2021 11:00 AM,techsummary_72180.pdf (865.64 KB),1.0,216867.0,Baru Thakur,INR,"1,919,870",Finance,Bid opening summary,Sudhir Kumar Gupta,21-Jun-2021 01:43 PM,finance_72180.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Sudhir Kumar Gupta,16-Jun-2021 04:23 PM,technical_72180.pdf,1.0,216867.0,Baru Thakur,15-Jun-2021 02:43 PM,Accepted-AOC,Awarded,20-Jul-2021 02:45 PM,AOC,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,"C/O Dhamechi to Bhad road Km.0/00 to 2/00(SH C/O Culvert formation defencies, Retaining Walls and Breast Walls at various RDs","C/O Dhamechi to Bhad road Km.0/00 to 2/00(SH C/O Culvert formation defencies, Retaining Walls and Breast Walls at various RDs",As Per SBD ,NA ,,Civil Works,NA ,Tender,75.0,60.0,Simla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,"1,500",Nil,Nil,No,"60,000",No,fixed,,Nil,Nil,07-Jun-2021 06:00 PM,16-Jun-2021 11:00 AM,07-Jun-2021 06:00 PM,15-Jun-2021 04:00 PM,NA ,NA ,07-Jun-2021 06:00 PM,15-Jun-2021 04:00 PM,18-Jun-2021 11:00 AM,1.0,ICICI BANK,PWD,SD-ICTR-Tender-2021-3012 dt 24-05-2021,2021_PWD_48150_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,217004.0,FAKIR CHAND,15-Jun-2021 02:18 PM,Rejected-Finance,4th Lowest,20-Jul-2021 02:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,EMD with UTR No (As per schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,216433.0,Manish Mohan Sharma,15-Jun-2021 03:01 PM,Rejected-Finance,6th Lowest,20-Jul-2021 02:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,216297.0,Man mohan thakur,13-Jun-2021 10:50 AM,Rejected-Finance,5th Lowest,20-Jul-2021 02:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,217057.0,parveen thakur,15-Jun-2021 03:08 PM,Rejected-Finance,2nd Lowest,20-Jul-2021 02:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 counter signed by EE,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,216098.0,Sanjay Kumar,11-Jun-2021 11:54 AM,Rejected-Finance,3rd Lowest,20-Jul-2021 02:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 countersigned by EE,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,216713.0,Sanjeev Kumar,14-Jun-2021 12:34 PM,Rejected-Finance,7th Lowest,20-Jul-2021 02:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General rule No 26.7). (submit the original as per schedule time and date),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,AOC
