Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,07-Jun-2021 04:48 PM,08-Jun-2021 11:00 AM,techsummary_70480.pdf (727.79 KB),Technical,Tender opening details,Sushant Singh Negi,07-Jun-2021 04:40 PM,technical_70480.pdf,1.0,210927.0,AIDANT IMPLEMENTATION PRIVATE LIMITED,04-May-2021 09:59 PM,Rejected-Finance,Second lowest bidder,14-Jun-2021 12:52 PM,Finance,Financial summary,Sushant Singh Negi,14-Jun-2021 12:49 PM,finance_70480.pdf,BOQ Comparative Chart,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,14-Jun-2021 12:52 PM,finsummary_70480.pdf (368.05 KB),HP SIDC Limited,2021_SIDC_46913_1,Job No. 3,"Supplying and installation of HDPE floating Jetty at Vill. Kasol, Distt. Bilaspur (HP). (i/c main berth, walkway, tensile canopy, solar lighting, mooring, railings etc. all necessary fittings complete).",28-Jun-2021,"INR 5,589,977",180.0,Sushant Singh Negi,29-Jul-2021 02:42 PM,kasol.pdf (2046.00 KB),AOC,1.0,210950.0,Litmus Marine Innovation P Ltd,INR,"5,589,977",AOC,HP SIDC Limited,Job No. 3,2021_SIDC_46913_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"91,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),28-Apr-2021 11:00 AM,06-May-2021 11:00 AM,28-Apr-2021 11:00 AM,05-May-2021 05:00 PM,NA ,NA ,28-Apr-2021 11:00 AM,05-May-2021 05:00 PM,08-Jun-2021 11:00 AM,"Supplying and installation of HDPE floating Jetty at Vill. Kasol, Distt. Bilaspur (HP). (i/c main berth, walkway, tensile canopy, solar lighting, mooring, railings etc. all necessary fittings complete).","Supplying and installation of HDPE floating Jetty at Vill. Kasol, Distt. Bilaspur (HP). (i/c main berth, walkway, tensile canopy, solar lighting, mooring, railings etc. all necessary fittings complete).",Please refer Tender documents. ,NA ,,Civil Works - Water Works,NA ,Tender,120.0,180.0,Kasol (Bilaspur),175105.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,Executive Engineer,HPSIDC Ltd. Shimla,1.0,ICICI BANK,"5,900",Nil,Nil,No,AOC
,,,,,,,,,,,,2.0,210797.0,JAMSHEDPUR RESOUCES PRIVATE LIMITED,05-May-2021 11:31 AM,Rejected-Technical,The certificate of successfully completed similar type of one work not less than 40 percent of estimated cost has not been submitted by the bidder as per tender condition,07-Jun-2021 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC
,,,,,,,,,,,,3.0,210950.0,Litmus Marine Innovation P Ltd,05-May-2021 02:39 PM,Accepted-AOC,AOC,29-Jul-2021 02:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4.0,210505.0,SILVER BAY MARINE GEAR PRIVATE LTD,01-May-2021 11:21 AM,Rejected-Technical,The certificate of successfully completed similar type of one work not less than 40 percent of estimated cost has not been submitted by the bidder as per tender condition,07-Jun-2021 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Details of Machineries / equipments and technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor working program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
