Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of tender form to be submitted through online.,1.0,ICICI BANK,09-Mar-2021 10:00 AM,17-Mar-2021 11:30 AM,09-Mar-2021 10:05 AM,17-Mar-2021 11:00 AM,NA ,NA ,09-Mar-2021 10:30 AM,17-Mar-2021 11:00 AM,06-Apr-2021 03:00 PM,Providing and laying Annual Surfacing (Periodic Maintenance) on Boda to Kural via Badain Km 0/0 to 2/0 (during the year 2021-22) under rural roads,Providing and laying Tack coat and Bituminous Concrete in Km 0/0 to 2/0,Please refer Tender documents. ,NA ,"19,36,505",Civil Works - Roads,NA ,Tender,120.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,Bhawarna,No ,No,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,500.0,Nil,Nil,No,PWD,AMP-Boda to Kural via Badain Km 0.0 to 2.0,2021_PWD_45202_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"36,600",No,fixed,,Nil,Nil,AOC,1.0,202683.0,M/s Kamala Enterprises,16-Mar-2021 08:11 AM,Accepted-AOC,BID RANK-L1,12-Jul-2021 11:18 AM,Technical,Bid opening summary,Manish Sehgal,06-Apr-2021 01:30 PM,technical_67954.pdf,Finance,Bid opening summary,Manish Sehgal,09-Jul-2021 02:53 PM,finance_67954.pdf,BOQ Comparative Chart,1.0,202683.0,M/s Kamala Enterprises,INR,"2,872,807",Sh Manish Sehgal,Internal,Joginder Kumar AE to EE Harjeet Singh Supdt Suresh Kumar HDM Rachna Sood Sr Asstt Manjeet Kumar Jr Asstt,Manish Sehgal,06-Apr-2021 01:31 PM,06-Apr-2021 03:00 PM,techsummary_67954.pdf (851.07 KB),PWD,2021_PWD_45202_1,AMP-Boda to Kural via Badain Km 0.0 to 2.0,Providing and laying Annual Surfacing (Periodic Maintenance) on Boda to Kural via Badain Km 0/0 to 2/0 (during the year 2021-22) under rural roads,12-Jul-2021,"INR 2,872,807",90.0,Manish Sehgal,12-Jul-2021 11:18 AM,AOC.pdf (1057.00 KB),AOC,Sh Manish Sehgal,Internal,Harjeet Singh Supdt Suresh Kumar HDM Rachna Sr Asstt Manjeet Kumar Jr Asstt,Manish Sehgal,12-Jul-2021 11:08 AM,finsummary_67954.pdf (414.12 KB),AOC
,,.pdf,"Earnest money submitted through online duly pledged in favour of Executive Engineer, Bhawarna Divisi",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,203167.0,Navneet Thakur,15-Mar-2021 03:48 PM,Rejected-AOC,BID RANK-L2,12-Jul-2021 11:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
