Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
MD HPSCSC Ltd,Internal,kindly see PDF,PAWAN SOOD,31-Jul-2020 04:34 PM,31-Jul-2020 04:35 PM,techsummary_57274.pdf (100.42 KB),HP State Civil Supplies Corporation Limited,2020_HO_38782_1,hpscsc/pro-4-2/2020(I)-5589 DT 08-07-2020,Procurement of Double Fortified Salt,1.0,170610.0,ANKUR CHEMFOOD LIMITED,INR,"111,249,446",Technical,Summary,PAWAN SOOD,31-Jul-2020 04:27 PM,technical_57274.pdf,1,170610,ANKUR CHEMFOOD LIMITED,30-Jul-2020 10:58 AM,Accepted-AOC,Award to Item wise L1 Bidder,20-Jul-2021 02:59 PM,MD,Internal,Please see attachment,PAWAN SOOD,20-Jul-2021 02:57 PM,finsummary_57274.pdf (206.01 KB),20-Jul-2021,"INR 111,249,446",25.0,PAWAN SOOD,20-Jul-2021 02:59 PM,782.pdf (206.00 KB),Supply order issued in financial year 2020-2021,Finance,Financial Summary,PAWAN SOOD,18-Sep-2020 04:24 PM,finance_57274.pdf,BOQ Comparative Chart,AOC,"10,00,000",No,fixed,,MD HPSCSC LTD,SHIMLA,1.0,Fee/PreQual/Technical,.pdf,Kindly upload technical bid documents in single PDF,Procurement of Double Fortified Salt,Procurement of Double Fortified Salt,Please refer Tender Docuements ,NA ,"10,00,00,000",Food Products,Double Fortified Salt ,Tender,180.0,25.0,KINDLY REFER TO TENDER DOCUMENT,171009.0,NA ,NA ,NA ,HPSCSC LTD HEAD OFFICE,No ,No,"MANAGING DIRECTOR, HPSCSC Ltd.","Block No 16-17 SDA Complex, Kasumpt Shimla 171009","20,000",MD HPSCSC LTD,SHIMLA,No,HP State Civil Supplies Corporation Limited,hpscsc/pro-4-2/2020(I)-5589 DT 08-07-2020,2020_HO_38782_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,09-Jul-2020 05:00 PM,31-Jul-2020 11:00 AM,09-Jul-2020 05:00 PM,30-Jul-2020 05:00 PM,NA ,NA ,09-Jul-2020 05:00 PM,30-Jul-2020 05:00 PM,31-Jul-2020 04:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,2,167838,ARVIND ENTERPRISES,16-Jul-2020 11:56 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,31-Jul-2020 04:28 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,Kindly upload Financial Bid/BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,169307,Bajaj Salt Pvt Ltd,30-Jul-2020 12:43 PM,Rejected-Finance,Item Wise higher Amount Quoted,20-Jul-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,170727,Balaji Chemfood,30-Jul-2020 01:39 PM,Rejected-Finance,Item Wise higher Amount Quoted,20-Jul-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,170476,bhagwati salt co,30-Jul-2020 11:18 AM,Rejected-Finance,Item Wise higher Amount Quoted,20-Jul-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,168632,Chirai Salt (India) Pvt. Ltd.,30-Jul-2020 12:24 PM,Rejected-Finance,Item Wise higher Amount Quoted,20-Jul-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,170506,CHOUGLE SALT WORKS PRIVATE LIMITED,29-Jul-2020 09:39 PM,Rejected-Finance,Item Wise higher Amount Quoted,20-Jul-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,170601,GANDHAR FOOD PRODUCTS PVT. LTD.,30-Jul-2020 12:25 AM,Rejected-Finance,Item Wise higher Amount Quoted,20-Jul-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,170818,GANDHIDHAM SALT AND CHEMICAL INDUSTRIES,30-Jul-2020 04:41 PM,Rejected-Finance,Item Wise higher Amount Quoted,20-Jul-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,170721,Indo Brine Industries Ltd,30-Jul-2020 01:32 PM,Rejected-Finance,Item Wise higher Amount Quoted,20-Jul-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,11,169390,JAGANNATH CHEMFOOD PRIVATE LIMITED,30-Jul-2020 10:16 AM,Rejected-Finance,Item Wise higher Amount Quoted,20-Jul-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,12,170739,Kutch Brine Chem Industries,30-Jul-2020 01:11 PM,Rejected-Finance,Item Wise higher Amount Quoted,20-Jul-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,13,170776,NAHTASALTANDCHEMICALPVTLTD,30-Jul-2020 03:51 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,31-Jul-2020 04:28 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,14,170755,RUDRAKSH MINECHEM PVT LTD,30-Jul-2020 01:53 PM,Rejected-Finance,Item Wise higher Amount Quoted,20-Jul-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,15,170226,SAGAR CHEM FOOD INDUSTRIES,30-Jul-2020 11:21 AM,Rejected-Finance,Item Wise higher Amount Quoted,20-Jul-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,16,168657,SHREE CHEMFOOD PVT LTD,30-Jul-2020 11:09 AM,Rejected-Finance,Item Wise higher Amount Quoted,20-Jul-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,17,167938,Shreeram Chemfood Pvt. Ltd.,30-Jul-2020 11:34 AM,Rejected-Finance,Item Wise higher Amount Quoted,20-Jul-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,18,167446,SHREE SHAKAMBHAR CHEMFOOD INDUSTRIES,30-Jul-2020 10:26 AM,Rejected-Finance,Item Wise higher Amount Quoted,20-Jul-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,19,170131,Super Salts Pvt Ltd.,30-Jul-2020 10:50 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,31-Jul-2020 04:28 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
