Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of tender form to be submitted through online.,17-May-2021 04:00 PM,08-Jun-2021 11:30 AM,17-May-2021 04:05 PM,08-Jun-2021 11:00 AM,NA ,NA ,17-May-2021 04:30 PM,08-Jun-2021 11:00 AM,18-Jun-2021 01:00 PM,"18,600",No,fixed,,Nil,Nil,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,350.0,Nil,Nil,No,Providing and laying Annual Surfacing (Periodic Maintenance) on Daroh to Saprul road Km 8/0 to 9/0 under performance based Financial Incentive 2019-20 (during the year 2020-21) of PMGSY roads in the state of HP,Providing and laying Tack coat and Bituminous Concrete in Km 8/0 to 9/0,Please refer Tender documents. ,NA ,"9,29,064",Civil Works - Roads,NA ,Tender,120.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,1.0,ICICI BANK,PWD,Daroh to Saprul road Km 8.0 to 9.0,2021_PWD_47515_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Corrigendum,Date,,AOC,Sh Manish Sehgal,Internal,Himanshu Verma AE Harjeet Singh Supdt Suresh Kumar HDM Suraj Parkash Sr DAO Manjeet Kumar Jr Asstt,Manish Sehgal,18-Jun-2021 12:44 PM,18-Jun-2021 01:00 PM,techsummary_71320.pdf (1000.19 KB),PWD,2021_PWD_47515_1,Daroh to Saprul road Km 8.0 to 9.0,Providing and laying Annual Surfacing (Periodic Maintenance) on Daroh to Saprul road Km 8/0 to 9/0 under performance based Financial Incentive 2019-20 (during the year 2020-21) of PMGSY roads in the state of HP,22-Jul-2021,"INR 1,224,209",90.0,Manish Sehgal,22-Jul-2021 01:04 PM,AOC.pdf (668.00 KB),AOC,Sh Manish Sehgal,Internal,Himanshu Verma AE Harjeet Singh Supdt Suresh Kumar HDM Suraj Parkash Sr DAO Manjeet Kumar Jr Asstt,Manish Sehgal,22-Jul-2021 01:00 PM,finsummary_71320.pdf (479.21 KB),Finance,Bid opening summary,Manish Sehgal,22-Jul-2021 12:49 PM,finance_71320.pdf,BOQ Comparative Chart,1.0,215007.0,Sanjeev,INR,"1,224,209",1.0,215410.0,Arvind Sharma,07-Jun-2021 07:17 PM,Rejected-AOC,Bid Rank-L3,22-Jul-2021 01:04 PM,Technical,Bid opening summary,Manish Sehgal,18-Jun-2021 11:43 AM,technical_71320.pdf,AOC
,,.pdf,"Earnest money submitted through online duly pledged in favour of Executive Engineer, Bhawarna Divisi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,215320.0,MSC Roads and Bridges Private Limited,07-Jun-2021 05:08 PM,Rejected-AOC,Bid Rank-L2,22-Jul-2021 01:04 PM,,,,,,AOC
,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,215007.0,Sanjeev,04-Jun-2021 05:08 PM,Accepted-AOC,Bid Rank-L1,22-Jul-2021 01:04 PM,,,,,,AOC
,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
