Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
HP SIDC Limited,Job No. 6,2021_SIDC_44757_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,25,000",No,fixed,,Nil,Nil,Construction of Silk Seed production centre at Thunag Distt. Mandi (HP).,Construction of Silk Seed production centre at Thunag Distt. Mandi (HP).,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,120.0,540.0,Thunag (Mandi),175048.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,1.0,ICICI BANK,Executive Engineer,HPSIDC Ltd. Shimla,1.0,Fee/PreQual/Technical,.pdf,Contractor appropriate registration (as per tender condition),"5,900",Nil,Nil,No,24-Feb-2021 12:40 PM,06-Mar-2021 11:00 AM,24-Feb-2021 12:40 PM,05-Mar-2021 05:00 PM,NA ,NA ,24-Feb-2021 12:40 PM,05-Mar-2021 05:00 PM,24-Mar-2021 11:00 AM,AOC,Finance,Financial summary,Sushant Singh Negi,01-Apr-2021 12:06 PM,finance_67203.pdf,BOQ Comparative Chart,1.0,201760.0,ABHISHEK SHARMA GOVT CONT,04-Mar-2021 08:38 PM,Rejected-Finance,Second lowest bidder,01-Apr-2021 12:14 PM,Technical,Summary,Sushant Singh Negi,23-Mar-2021 04:29 PM,technical_67203.pdf,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,23-Mar-2021 04:32 PM,24-Mar-2021 11:00 AM,techsummary_67203.pdf (581.42 KB),1.0,201539.0,NITIN BHARDWAJ,INR,"24,832,420",14-Jun-2021,"INR 24,832,420",540.0,Sushant Singh Negi,28-Jul-2021 04:55 PM,thunag.pdf (2034.00 KB),Award letter,HP SIDC Limited,2021_SIDC_44757_1,Job No. 6,Construction of Silk Seed production centre at Thunag Distt. Mandi (HP).,SE,Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,01-Apr-2021 12:14 PM,finsummary_67203.pdf (481.90 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,Signed copy of agreement form,,,,,,,,,,,,,,AOC,,,,,,,2.0,201705.0,Inder Singh Chauhan,05-Mar-2021 01:49 PM,Rejected-Finance,Fourth lowest bidder,01-Apr-2021 12:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of approved make for materials,,,,,,,,,,,,,,AOC,,,,,,,3.0,201593.0,Naresh Kumar,05-Mar-2021 09:55 AM,Rejected-Finance,Third lowest bidder,01-Apr-2021 12:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct,,,,,,,,,,,,,,AOC,,,,,,,4.0,201539.0,NITIN BHARDWAJ,04-Mar-2021 04:43 PM,Accepted-AOC,Award to lowest bidder,28-Jul-2021 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration no.,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration number.,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender condition),,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Financial Turn over ( with breakup),,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
