Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
XEN Rahul Sood,Internal,HDM DAO Supdt Gr-II,Pramod Kumar,13-Mar-2020 03:55 PM,finsummary_51771.pdf (752.79 KB),23-Jul-2021,"INR 20,701,436",540.0,Rahul Sood,23-Jul-2021 03:34 PM,tunnel.pdf (319.00 KB),PWD,2020_PWD_35291_1,BHNR -EA-Tender/2019- 10323-28 dated 17.02.2020,Construction of link road to village Tranda Km 0.0 to 7.0 SH CO balance work of traffic tunnel at RD 6.300 to 6.500,XEN Er. rahul Sood,Internal,HDM DAO Supdt. Gr-II,Rahul Sood,13-Mar-2020 06:56 AM,13-Mar-2020 09:15 AM,techsummary_51771.pdf (754.35 KB),Technical,opening summary,Rahul Sood,13-Mar-2020 06:51 AM,technical_51771.pdf,1.0,153333.0,Bhagwan singh Negi,07-Mar-2020 11:49 AM,Accepted-AOC,awarded,23-Jul-2021 03:34 PM,Finance,summary,Pramod Kumar,13-Mar-2020 03:51 PM,finance_51771.pdf,BOQ Comparative Chart,1.0,153333.0,Bhagwan singh Negi,INR,"26,788,911",AOC,Construction of link road to village Tranda Km 0.0 to 7.0 SH CO balance work of traffic tunnel at RD 6.300 to 6.500,Construction of link road to village Tranda Km 0.0 to 7.0 SH CO balance work of traffic tunnel at RD 6.300 to 6.500,Please refer Tender documents. ,NA ,"2,07,01,436",Civil Works,NA ,Tender,120.0,540.0,Tranda,172101.0,NA ,NA ,NA ,Bhabanagar,No ,No,"2,40,000",No,fixed,,EE Bhabanagar,Sungra/Bhabanagar,24-Feb-2020 10:00 AM,09-Mar-2020 11:00 AM,24-Feb-2020 10:30 AM,07-Mar-2020 06:00 PM,NA ,NA ,24-Feb-2020 10:30 AM,07-Mar-2020 06:00 PM,13-Mar-2020 09:15 AM,1.0,DD - Demand Draft,"5,000",EE Bhabanagar,Sungra/Bhabanagar,No,PWD,BHNR -EA-Tender/2019- 10323-28 dated 17.02.2020,2020_PWD_35291_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,Executuve Engineer,Karchham Division HP.PWD Bhabangar,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,153403.0,M/S AJEET SINGH TEGTA,07-Mar-2020 04:00 PM,Rejected-Technical,Non Responsive,13-Mar-2020 06:56 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Number,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and work in hand,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant , Technical Staff",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial reports for the last five years balance sheet profit and loss statement,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor will arrange the explosive materials himself and will have to submit affidavit from regi,,,AOC
