Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
27-Jul-2021,"INR 1,697,109",30.0,Vivek Sharma,27-Jul-2021 05:39 AM,Award.pdf (1082.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSupdtABAEtoEE,Vivek Sharma,27-Jul-2021 05:34 AM,finsummary_70583.pdf (769.80 KB),EE Hamirpur,Internal,SupdtHDMSrDAOSupdtAB,Vivek Sharma,31-May-2021 12:03 PM,01-Jun-2021 11:00 AM,techsummary_70583.pdf (1935.20 KB),PWD,2021_PWD_46998_1,C/O link road from Bander Nasbandi,link road from Bander Nasbandi Kender Sastar to Upper Sastar in GP Daruhi km 0/0 to 1/0,1.0,211606.0,BALAL,INR,"1,697,108.7",Finance,Attached,Vivek Sharma,27-Jul-2021 05:29 AM,finance_70583.pdf,BOQ Comparative Chart,Technical,Attached,Vivek Sharma,12-May-2021 05:06 PM,technical_70583.pdf,1.0,211708.0,Ajay Kumar Thakur,09-May-2021 04:20 PM,Rejected-Technical,Rejected,31-May-2021 12:03 PM,AOC,"31,300",No,fixed,,Nil,Nil,link road from Bander Nasbandi Kender Sastar to Upper Sastar in GP Daruhi km 0/0 to 1/0,SH Construction 5/7 metre wide road formation cutting in km 0/0 to 0/750 and construction of retaining wall at RD 0/020 to 0/070 0/070 to 0/085 and 0/245 to 0/280,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,PWD,C/O link road from Bander Nasbandi,2021_PWD_46998_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,29-Apr-2021 09:00 AM,10-May-2021 11:30 AM,29-Apr-2021 09:00 AM,10-May-2021 10:00 AM,NA ,NA ,29-Apr-2021 09:00 AM,10-May-2021 10:00 AM,01-Jun-2021 11:00 AM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,211666.0,AMAN SHARMA GOVT.CONTRACTOR,09-May-2021 11:42 AM,Rejected-AOC,l3,27-Jul-2021 05:39 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate AS PER SBD GENERAL RULES AND DIRECTIONS-16,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,211631.0,ANIL KUMAR GOVT CONT,09-May-2021 06:34 PM,Rejected-Technical,Rejected,31-May-2021 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,211409.0,ankush kapil,10-May-2021 07:00 AM,Rejected-Technical,Rejected,31-May-2021 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,211684.0,Ashok Kumar,09-May-2021 02:22 PM,Rejected-Technical,Rejected,31-May-2021 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration and GST and EPF Clearness latest statement,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,211606.0,BALAL,08-May-2021 04:32 PM,Accepted-AOC,l1,27-Jul-2021 05:39 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,211401.0,Gulam mohammad,08-May-2021 04:39 PM,Rejected-AOC,l2,27-Jul-2021 05:39 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,211167.0,hoshiar singh govt contractor,05-May-2021 03:57 PM,Rejected-Technical,Rejected,31-May-2021 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery as per SBD with proof,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,211501.0,Surjeet Kumar,07-May-2021 12:52 PM,Rejected-Technical,Rejected,31-May-2021 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,211598.0,VINAY KUMAR,08-May-2021 04:35 PM,Rejected-AOC,l4,27-Jul-2021 05:39 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and upload,,,,,,,,,,,,AOC
