S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,117610.0,M/S PLANET W,INR,2544080.0,23-Jul-2021,INR 2544080.0,180.0,Kalyan Pathak,24-Jul-2021 12:34 PM,VideoWorkOrder.pdf (1726.00 KB),"The firm M/S Planet W bided the L1 price so, we recommended the firm for the video production work.",1,117575,B P Enterprise,01-Jun-2021 12:56 PM,Rejected-Finance,Bid price is L3,23-Jul-2021 12:16 PM,Technical,"Out of the 19 (nineteen) firms, 16 (Sixteen) firms fulfilled all the criteria fixed for their technical evaluation. The financial bids of only these 16 (sixteen) firms will be open in the second stage of tendering process.",Kalyan Pathak,21-Jun-2021 03:32 PM,,Finance,Financial bid of all the 16 firms open successfully.,Kalyan Pathak,21-Jun-2021 04:18 PM,,BOQ Comparative Chart,Director of Research (Agri.),Internal,1 Rupam Borgohain 2 Kalyan Pathak 3 Mrinal Saikia 4 Jadumoni Bora 5 Sailen Gogoi,Kalyan Pathak,23-Jul-2021 12:16 PM,finsummary_33719.pdf (511.48 KB),Assam Agricultural University||Directorate of Research (Agri.),2021_AAU_21661_1,Procurement/2340-50 Dtd 08052021,Engagement of a media agency for video production,Director of Research (Agri.),Internal,1. Dr. Mrinal Saikia.2. Dr. Rupam Borgohain 3. Dr. Kalyan Pathak 4. Dr. S. Gogoi 5. Mr. Jadumoni Borah,Kalyan Pathak,21-Jun-2021 03:46 PM,21-Jun-2021 04:00 PM,techsummary_33719.pdf (6390.29 KB),AOC,1.0,SBI Bank,Engagement of a media agency for video production,Production of Fourty Four E Tutorial videos with teaser videos on each topic as per details below 44 E tutorial videos of 10-12 minutes duration with 1-2 minutes Teaser video on each topic.,Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,60.0,180.0,"DoR (Agri.), AAU, Jorhat",785013.0,NA ,NA ,NA ,"DoR (Agri.), AAU, Jorhat",No ,No,Director of Research (Agri.),"ASSAM AGRICULTURAL UNIVERSITY, JORHAT 785013, ASSAM",1.0,Fee/PreQual/Technical,.pdf,Technical Bid Document,"1,10,000",Yes,fixed,,Nil,Nil,10-May-2021 05:00 PM,02-Jun-2021 03:30 PM,10-May-2021 05:30 PM,02-Jun-2021 02:30 PM,17-May-2021 09:30 AM ,18-May-2021 04:30 PM ,23-May-2021 09:30 AM,02-Jun-2021 02:30 PM,21-Jun-2021 04:00 PM,1.0,Corrigendum for extension of Bid submission closing Date and Time,Date,,"1,000",Nil,Nil,Yes,Assam Agricultural University||Directorate of Research (Agri.),Procurement/2340-50 Dtd 08052021,2021_AAU_21661_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,2,117630,CHITRALEKHA STUDIOS PVT LTD,01-Jun-2021 08:35 PM,Rejected-Finance,Bid price is L7,23-Jul-2021 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ (Financial Bid Document),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3,117631,Green Maven Production,02-Jun-2021 02:03 PM,Rejected-Finance,Bid price is L2,23-Jul-2021 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4,117439,Gyan Era Learning Solutions Pvt. Ltd.,25-May-2021 11:38 AM,Rejected-Finance,Bid price is L14,23-Jul-2021 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,5,117516,Indeed Vision,01-Jun-2021 02:30 PM,Rejected-Finance,Bid price is L11,23-Jul-2021 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,6,117549,Infonative Solutions Pvt. Ltd.,01-Jun-2021 01:20 PM,Rejected-Finance,Bid price is L13,23-Jul-2021 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,7,117473,Insight Brandcom Pvt Ltd,02-Jun-2021 11:11 AM,Rejected-Finance,Bid price is L10,23-Jul-2021 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,8,117426,Magic Spangle Studios Private Limited,27-May-2021 07:37 PM,Rejected-Finance,Bid price is L8,23-Jul-2021 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,9,117634,M/S BANNYA FILMS,02-Jun-2021 01:43 PM,Rejected-Finance,Bid price is L9,23-Jul-2021 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,10,117610,M/S PLANET W,02-Jun-2021 10:20 AM,Accepted-AOC,M/S Planet W quoted the L1 price.,24-Jul-2021 12:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,11,117466,OM PRODUCTION,01-Jun-2021 12:28 PM,Rejected-Finance,Bid price is L5,23-Jul-2021 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,12,117643,Pansworld Television (India) Pvt. Ltd.,02-Jun-2021 01:59 PM,Rejected-Finance,Bid price is L6,23-Jul-2021 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,13,117647,PRIYADARSHNI,02-Jun-2021 02:00 PM,Rejected-Technical,Rejected as agril. related sample video not submitted,21-Jun-2021 03:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,14,117440,Radhatech Inc,02-Jun-2021 12:50 AM,Rejected-Finance,Bid price is L12,23-Jul-2021 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,15,117588,Saurya Edunext Gen Private Limited,02-Jun-2021 02:04 PM,Rejected-Technical,Rejected as signed delivery schedule in presrcibe format not submitted,21-Jun-2021 03:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,16,117514,softline studio services,01-Jun-2021 01:41 PM,Rejected-Finance,Bid price is L4,23-Jul-2021 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,17,117595,Synergy Media,31-May-2021 01:27 PM,Rejected-Finance,Bid price is L16,23-Jul-2021 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,18,117571,Vibhore Video Vision Pvt. Ltd.,30-May-2021 12:52 PM,Rejected-Technical,Rejected as signed delivery schedule in presrcibe format not submitted,21-Jun-2021 03:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,19,117642,YELLOW FILTER PRODUCTIONS,02-Jun-2021 02:06 PM,Rejected-Finance,Bid price is L15,23-Jul-2021 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
