Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
EE(HQ),Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,28-Apr-2021 12:13 PM,finsummary_66782.pdf (700.16 KB),HP SIDC Limited,2021_SIDC_44500_1,Job No. 16,"Providing and laying of GI pipe line and setting up fire hydrant at Ind. Area Bilaspur, Distt. Bilaspur (HP).",21-Jun-2021,"INR 2,024,630",120.0,Sushant Singh Negi,29-Jul-2021 11:36 AM,rajinderbilaspur.pdf (2034.00 KB),AOC,1.0,201287.0,Rajender Pal,INR,"2,024,630",Technical,Technical summary,Sushant Singh Negi,19-Apr-2021 01:06 PM,technical_66782.pdf,EE(HQ),Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,19-Apr-2021 01:07 PM,20-Apr-2021 11:00 AM,techsummary_66782.pdf (581.26 KB),1.0,201842.0,ANKUSH VERMA,05-Mar-2021 08:44 PM,Rejected-Finance,Sixth lowest bidder,28-Apr-2021 12:13 PM,Finance,Financial summary,Sushant Singh Negi,28-Apr-2021 12:09 PM,finance_66782.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender conditions),Executive Engineer,HPSIDC Ltd. Shimla,"17,600",No,fixed,,Nil,Nil,HP SIDC Limited,Job No. 16,2021_SIDC_44500_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Providing and laying of GI pipe line and setting up fire hydrant at Ind. Area Bilaspur, Distt. Bilaspur (HP).","Providing and laying of GI pipe line and setting up fire hydrant at Ind. Area Bilaspur, Distt. Bilaspur (HP).",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,120.0,Bilaspur,174001.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,18-Feb-2021 11:00 AM,10-Mar-2021 11:00 AM,18-Feb-2021 11:00 AM,09-Mar-2021 05:00 PM,NA ,NA ,18-Feb-2021 11:00 AM,09-Mar-2021 05:00 PM,20-Apr-2021 11:00 AM,1.0,ICICI BANK,"1,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,202470.0,Gaurav Singh,09-Mar-2021 02:59 PM,Rejected-Finance,Fifth lowest bidder,28-Apr-2021 12:13 PM,,,,,,,AOC,,,.pdf,Signed copy of agreement form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,201287.0,Rajender Pal,09-Mar-2021 01:32 PM,Accepted-AOC,AOC,29-Jul-2021 11:36 AM,,,,,,,AOC,,,.pdf,Signed copy of approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,202004.0,ranjeet singh,08-Mar-2021 02:14 PM,Rejected-Finance,Fourth lowest bidder,28-Apr-2021 12:13 PM,,,,,,,AOC,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,202320.0,Shankar Dass,08-Mar-2021 06:08 PM,Rejected-Finance,Third lowest bidder,28-Apr-2021 12:13 PM,,,,,,,AOC,,,.pdf,Affidavit that you have not more than two works in hand each of 100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,202444.0,VISHAL SINGH,09-Mar-2021 03:56 PM,Rejected-Finance,Second lowest bidder,28-Apr-2021 12:13 PM,,,,,,,AOC,,,.pdf,Proof copy of EPF registration no.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof copy of GST registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
