Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
17-Feb-2021 01:00 PM,10-Mar-2021 11:00 AM,17-Feb-2021 01:00 PM,09-Mar-2021 05:00 PM,NA ,NA ,17-Feb-2021 01:00 PM,09-Mar-2021 05:00 PM,24-Mar-2021 11:00 AM,"47,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Contractor appropriate registration (as per tender condition),"Construction of Additional block over existing a block in jail department Dharamshala, Distt. Kangra (HP).","Construction of Additional block over existing a block in jail department Dharamshala, Distt. Kangra (HP).",Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,120.0,180.0,Dharamshala (Kangra),176215.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,HP SIDC Limited,Job No. 6,2021_SIDC_44460_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"3,000",Nil,Nil,No,Executive Engineer,HPSIDC Ltd. Shimla,1.0,ICICI BANK,AOC,1.0,202616.0,sher fibre,INR,"3,204,403",07-Jul-2021,"INR 3,204,403",180.0,Sushant Singh Negi,31-Jul-2021 12:09 PM,jailkangra.pdf (2705.00 KB),AOC,HP SIDC Limited,2021_SIDC_44460_1,Job No. 6,"Construction of Additional block over existing a block in jail department Dharamshala, Distt. Kangra (HP).",SE,Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,01-Apr-2021 12:29 PM,finsummary_66718.pdf (867.38 KB),Finance,Financial summary,Sushant Singh Negi,01-Apr-2021 12:24 PM,finance_66718.pdf,BOQ Comparative Chart,1.0,201412.0,ASHUTOSH PAUL,09-Mar-2021 11:05 AM,Rejected-Finance,Third lowest bidder,01-Apr-2021 12:29 PM,Technical,Summary,Sushant Singh Negi,23-Mar-2021 04:44 PM,technical_66718.pdf,SE,Internal,"DM , Manager(F), AE(HQ) , EE(HQ)",Sushant Singh Negi,23-Mar-2021 04:45 PM,24-Mar-2021 11:00 AM,techsummary_66718.pdf (520.37 KB),AOC
,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,200782.0,Bhag Singh,05-Mar-2021 02:39 PM,Rejected-Finance,Second lowest bidder,01-Apr-2021 12:29 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Signed copy of approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,202616.0,sher fibre,09-Mar-2021 04:55 PM,Accepted-AOC,AOC,31-Jul-2021 12:09 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than two works in hand each of 100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration no.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
