Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,3Nos contractor/Firms bid documents downloaded successfully summary,Anil Kumar,18-May-2021 12:15 PM,technical_70219.pdf,Finance,BOQ Downloded successfully summary attached,Anil Kumar,19-May-2021 12:03 PM,finance_70219.pdf,BOQ Comparative Chart,07-Jul-2021,"INR 197,023,203",545.0,Anil Kumar,07-Jul-2021 02:55 PM,1.pdf (56.00 KB),"M/S National India Construction Co. Simbal Chowk, Jalandhar by Pass Road, Pathankot (PB).",1.0,210473.0,National India Construction Co.,01-May-2021 05:15 PM,Accepted-AOC,accept,07-Jul-2021 02:55 PM,The Chief Engineer JSV Dharamshala Zone,External,"Superintendent G-1 O/O CE JSV D/Shala Zone, Assistant Controller(F and A) O/O CE JSV D/Shala Zone, AE (Design) O/O CE JSV D/Shala Zone, EE (Design) O/O CE JSV D/Shala Zone, SE (Design) O/O CE JSV D/sh",Anil Kumar,18-May-2021 12:20 PM,19-May-2021 11:30 AM,techsummary_70219.pdf (2297.38 KB),"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",2021_HPIPH_46637_2,THL-KNG05-729 (486-541 dated 17.04.2021)),"Providing LWSS to PC habitation Heinja and adjoining habitation under JJM GP Mansimbal, sihol and boda,Providing WSS to Sullah Thamba nanoun Covered under (JJM) under Sullah Constituency,Providing LWSS to PC Habitation of Nanoun,pantehar,Kakrain",1.0,210473.0,National India Construction Co.,INR,"223,635,872.2",Executive Engineer JSV Division Thural,Internal,,Anil Kumar,19-May-2021 12:08 PM,finsummary_70219.pdf (86.24 KB),AOC,Executive Engineer JSV Division Thural,O/O The Executive Engineer JSV Division Thural,1.0,Fee/PreQual/Technical,.pdf,"The Bid security in favour of Executive Engineer, Jal Shakti Division Thural, shall be submitted","2,500",NIL,NIL,No,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",THL-KNG05-729 (486-541 dated 17.04.2021)),2021_HPIPH_46637_2,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Both(Online/Offline),No,No,No,20-Apr-2021 04:00 PM,03-May-2021 11:30 AM,20-Apr-2021 04:00 PM,03-May-2021 11:00 AM,NA ,NA ,20-Apr-2021 04:00 PM,03-May-2021 11:00 AM,19-May-2021 11:30 AM,"Providing LWSS to PC habitation Heinja and adjoining habitation under JJM GP Mansimbal, sihol and boda,Providing WSS to Sullah Thamba nanoun Covered under (JJM) under Sullah Constituency,Providing LWSS to PC Habitation of Nanoun,pantehar,Kakrain","Providing LWSS to PC habitation Heinja and adjoining habitation under JJM GP Mansimbal, sihol and boda,Providing WSS to Sullah Thamba nanoun Covered under (JJM) under Sullah Constituency,Providing LWSS to PC Habitation of Nanoun,pantehar,Kakrain",Please refer Tender documents. ,NA ,"17,07,19,747",Civil Works - Water Works,NA ,Tender,120.0,545.0,Providing LWSS to PC habitation Heinja and adjoini,176107.0,O/O The Chief Engineer JSV Dharamshala ,O/O The Chief Engineer JSV Dharamshala ,22-Apr-2021 11:30 AM ,O/O The Executive Engineer JSV Division Thural,No ,No,1.0,ICICI BANK,"22,07,197",No,fixed,,NIL,NIL,AOC
,,,,,,,,,,,,,,,,,,2.0,210444.0,S.k.sharma contractor and engineer,01-May-2021 02:00 PM,Rejected-AOC,accept,07-Jul-2021 02:55 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,The cost of bid form as shown above shall be submitted online mode (e-payment) or offline mode in th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,3.0,210478.0,Unipro Techno Infrastructure Pvt Ltd,03-May-2021 09:52 AM,Rejected-AOC,accept,07-Jul-2021 02:55 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Copy of Certificate of registration with Jal Shakti Vibhag or any other state/central Govt. departm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"PAN (Permanent Account No.), GST registration and EPF registration (if EPF not registered then shoul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Annual Turnover of last three years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Bid Form as per Chapter IV of Form 12 duly accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"Work done, Experience Certificates as per Pre-qualification criteria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Value of Civil Engineering works executed during the last five years updated to the price level of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,The authorization letter regarding digital signature certificate (DSC) of the person authorized by t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"Other conditons as per form6,form12,and NIT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
