Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
05-Nov-2020 02:00 PM,13-Nov-2020 09:00 AM,05-Nov-2020 02:30 PM,12-Nov-2020 03:30 PM,NA ,NA ,05-Nov-2020 03:00 PM,12-Nov-2020 03:30 PM,27-Nov-2020 10:30 AM,Executive Officer,Executive Officer,P/I Flag ( 100 ft. flag) National Flag at Dehra,P/I Flag ( 100 ft. flag) National Flag at Dehra,Experience of similar works and as per 2nd envelop ,NA ,"12,41,596",Civil Works,NA ,Tender,90.0,90.0,Municipal Council Dehra,177101.0,NA ,NA ,NA ,Municipal Council Dehra,No ,No,1.0,Fee,.pdf,Tender Cost,"1,500",EO MC Dehra,Municipal Council Dehra,No,1.0,DD - Demand Draft,"25,000",No,fixed,,EO MC Dehra,Municipal Council Dehra,1.0,correction in tender cost,Fee,,Directorate of Urban Development||Urban Development - UDDHP||Nagar Panchayat Dehra - UDDHP,MCD/2020- 1077-84 Dt.20 -10-2020,2020_UDDHP_42187_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Offline,No,No,No,AOC,PresidentMC,Internal,"Executive Officer , Vice President and Junior Engineer",Rajesh Trivedi,28-Nov-2020 03:09 PM,finsummary_62331.pdf (423.85 KB),Directorate of Urban Development||Urban Development - UDDHP||Nagar Panchayat Dehra - UDDHP,2020_UDDHP_42187_1,MCD/2020- 1077-84 Dt.20 -10-2020,P/I Flag ( 100 ft. flag) National Flag at Dehra,1.0,186264.0,bharat electricals,INR,"1,230,660",1.0,186264.0,bharat electricals,12-Nov-2020 02:18 PM,Accepted-AOC,awarded after nagotiation,31-Jul-2021 04:33 PM,PresidentMC,Internal,"Executive officer, Vice President and Junior Engineer",Rajesh Trivedi,26-Nov-2020 07:58 PM,27-Nov-2020 10:30 AM,techsummary_62331.pdf (423.85 KB),Technical,documents submited,Rajesh Trivedi,26-Nov-2020 07:55 PM,technical_62331.pdf,Finance,Only one bidder submitted his rates may be awarded after nagotiation,Rajesh Trivedi,28-Nov-2020 03:04 PM,finance_62331.pdf,BOQ Comparative Chart,11-Dec-2020,"INR 1,241,596",90.0,Rajesh Trivedi,31-Jul-2021 04:33 PM,AOCDetail-2.pdf (223.00 KB),Work awarded vide letter no. 1142-44 Dt. 11-12-2020 amounting to Rs. 1230660.00.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number(EPF Number),,,,,3.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No and PAN no.,,,,,4.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Correct Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Experience of repair and maintenance of flag Mast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of Supply/ Erecting/testing/ commissioning of 30.5m high national Flags Min. 5 locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual turn over of last year above 2.00 Cr. ( two hundred lacs) C.A. report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
