Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Fin bid opened,SHASHI PAL,23-Jun-2021 01:06 PM,finance_71589.pdf,BOQ Comparative Chart,1.0,216108.0,JOGRAJ GOVT CONTRACTOR,INR,"702,549",Technical,Tech bid opened,SHASHI PAL,19-Jun-2021 07:09 PM,technical_71589.pdf,1.0,216108.0,JOGRAJ GOVT CONTRACTOR,13-Jun-2021 03:19 PM,Accepted-AOC,Lowest,27-Jul-2021 02:53 PM,27-Jul-2021,"INR 702,549",60.0,SHASHI PAL,27-Jul-2021 02:53 PM,AOC.pdf (438.00 KB),Work Awarded,Er.S.P.Dhiman E.E.,Internal,Supdt. HDM AO,SHASHI PAL,23-Jun-2021 01:11 PM,finsummary_71589.pdf (389.65 KB),Er.S.P.Dhiman EE,Internal,Supdt. HDM AO,SHASHI PAL,19-Jun-2021 07:11 PM,21-Jun-2021 10:30 AM,techsummary_71589.pdf (463.33 KB),PWD,2021_PWD_47720_1,No.BGN/2020-21-1342-62 dated 19.05.2021Job4,Periodical Maintenance on Link road to Village Harizen Basti to Takka,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode),1.0,ICICI BANK,"12,100",Yes,fixed,,Nil,Nil,Periodical Maintenance on Link road to Village Harizen Basti to Takka,P/L W 20 mm thick premix Carpet with Seal Coat in km. 0/000 to 0/100 and 0/300 to 0/925,Please refer Tender documents. ,NA ,"6,02,513",Civil Works - Others,NA ,Tender,120.0,60.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,350.0,Nil,Nil,No,28-May-2021 11:00 AM,15-Jun-2021 11:00 AM,28-May-2021 11:30 AM,14-Jun-2021 06:00 PM,NA ,NA ,28-May-2021 11:30 AM,14-Jun-2021 06:00 PM,21-Jun-2021 10:30 AM,PWD,No.BGN/2020-21-1342-62 dated 19.05.2021Job4,2021_PWD_47720_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2.0,216844.0,Maynak Sharma,14-Jun-2021 05:04 PM,Rejected-AOC,Higher side,27-Jul-2021 02:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest Money (Online mode),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,216198.0,Satish Kumar,14-Jun-2021 02:19 PM,Rejected-Technical,Non responsive,19-Jun-2021 07:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,216738.0,Simran Govt Contractor,14-Jun-2021 01:16 PM,Rejected-AOC,Higher side,27-Jul-2021 02:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand certificate on prescribed format given in bidding document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,E.P.F. No. and copy of latest return file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
