Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Himachal Pradesh University,Providing and laying of PVC flooring in Himalyan S,2021_HPU_43673_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,14-Jan-2021 05:00 PM,29-Jan-2021 11:30 AM,14-Jan-2021 05:30 PM,28-Jan-2021 05:00 PM,NA ,NA ,14-Jan-2021 05:30 PM,28-Jan-2021 05:00 PM,01-Feb-2021 11:35 AM,500.0,executive engineer maint. II hpu,Shimla,No,1.0,DD - Demand Draft,"27,900",No,fixed,,executive engineer maint. II hpu,Shimla,executive engineer hpu shimla,executive engineer hpu shimla,Providing and laying of PVC flooring in Himalyan Section Science and various reading Section in Main library Building in HPUniversityShimla5,"Providing and laying of PVC flooring in Himalyan Section, Science and various reading Section in Main library Building in H.P.University, Shimla-5.",Please refer Tender documents. ,NA ,500.0,Civil Works,NA ,Tender,180.0,60.0,executive engineer l hpu shimla,171005.0,NA ,NA ,NA ,executive engineer himachal hpu shimla,No ,No,1.0,Fee/PreQual/Technical,.pdf,Scan copy of all relevant documents mention in tender notice,AOC,J K Gupta,Internal,All constituted committee members,Jai Krishan Gupta,01-Feb-2021 11:29 AM,01-Feb-2021 11:35 AM,techsummary_64980.pdf (1279.68 KB),Himachal Pradesh University,2021_HPU_43673_1,Providing and laying of PVC flooring in Himalyan S,Providing and laying of PVC flooring in Himalyan Section Science and various reading Section in Main library Building in HPUniversityShimla5,09-Jul-2021,"INR 973,599",60.0,Jai Krishan Gupta,09-Jul-2021 02:28 PM,AOChimlyansection.pdf (604.00 KB),AOC,JK Gupta,Internal,All constituted committee members,Jai Krishan Gupta,02-Feb-2021 11:48 AM,finsummary_64980.pdf (862.08 KB),1,195975,AJAY SHARMA,27-Jan-2021 04:54 PM,Rejected-AOC,L2,09-Jul-2021 02:28 PM,Technical,summary,Jai Krishan Gupta,01-Feb-2021 11:15 AM,technical_64980.pdf,1.0,196047.0,SANJAY THAKUR,INR,"973,598.9",Finance,summary,Jai Krishan Gupta,02-Feb-2021 11:43 AM,finance_64980.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,scan copy of earnest money and tender fee,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,196029,Bhagat Singh Thakur,28-Jan-2021 04:04 PM,Rejected-AOC,L5,09-Jul-2021 02:28 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,196119,Kuldeep Kumar Thakur,28-Jan-2021 03:43 PM,Rejected-Technical,affadavit not submitted,01-Feb-2021 11:34 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,196112,MANOJ KUTHIALA,28-Jan-2021 02:51 PM,Rejected-AOC,L8,09-Jul-2021 02:28 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,196046,Naresh Kumar,27-Jan-2021 05:58 PM,Rejected-AOC,L9,09-Jul-2021 02:28 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,196129,PIUSH VIJ,28-Jan-2021 04:55 PM,Rejected-Technical,FDR not valid,01-Feb-2021 11:34 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,196115,Sanjay Govt. Contractor,28-Jan-2021 03:14 PM,Rejected-AOC,L3,09-Jul-2021 02:28 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,196047,SANJAY THAKUR,27-Jan-2021 02:10 PM,Accepted-AOC,L1awarded,09-Jul-2021 02:28 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,196021,SUDHEER THAKUR,28-Jan-2021 03:57 PM,Rejected-AOC,L4,09-Jul-2021 02:28 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,196099,Suresh Kumar Sharma,28-Jan-2021 01:33 PM,Rejected-AOC,L6,09-Jul-2021 02:28 PM,,,,,,,,,,,,,,,,,AOC
