Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Superintending Engineer,Internal,"Superintending Engineer, E.E (D) Palampur, Executive Engineer Jaisinghpur, D.A.O Jaisinghpur, C.H.D. Palampur, Supdt G-II (works) Palampur",R.K Dhiman,30-Jul-2021 11:23 AM,finsummary_69461.pdf (229.31 KB),31-Jul-2021,"INR 28,767,879",365.0,R.K Dhiman,31-Jul-2021 03:20 PM,Award.pdf (205.00 KB),Award,PWD,2021_PWD_46186_1,Dagruhi Chandron Kasehra Road NABARD XXVI,Improvement Strengthening and Widening of Dagruhi Chandron Kasehra Road Km 0/0 to 6/355,Superintending Engineer,Internal,"Superintending Engineer, Executive Engineer (D), Executive Engineer Jaisinghpur, DAO, CHD 5th circle, Supdt G-II 5th Circle",R.K Dhiman,30-Apr-2021 11:25 AM,04-May-2021 11:00 AM,techsummary_69461.pdf (445.57 KB),Technical,Summary,R.K Dhiman,30-Apr-2021 11:22 AM,technical_69461.pdf,1.0,209229.0,G.P.ACHARYA,20-Apr-2021 01:14 PM,Rejected-AOC,Rejected due to higher rates bidder L2,31-Jul-2021 03:21 PM,Finance,Summary,R.K Dhiman,30-Jul-2021 11:19 AM,finance_69461.pdf,BOQ Comparative Chart,1.0,208106.0,Kulvinder,INR,"23,289,592",AOC,PWD,Dagruhi Chandron Kasehra Road NABARD XXVI,2021_PWD_46186_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,05-Apr-2021 10:30 AM,21-Apr-2021 11:00 AM,05-Apr-2021 10:30 AM,20-Apr-2021 03:00 PM,NA ,NA ,05-Apr-2021 10:30 AM,20-Apr-2021 03:00 PM,04-May-2021 11:00 AM,"5,000",Nil,Nil,No,1.0,ICICI BANK,Superintending Engineer,SE 5th circle HPPWD Palampur,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-I of the Bid as per Section-6.,Improvement Strengthening and Widening of Dagruhi Chandron Kasehra Road Km 0/0 to 6/355,"Imp.of roads,C/O Passing places, R/wall, Missing C.D. work, GSB, WBM-II, WBM-III,Tarring work, CC Pavement, Side Drain , parapetsand road side furniture including routine maintenance for five years after compl",Please refer Tender documents. ,NA ,"3,26,54,087",Civil Works - Roads,NA ,Tender,75.0,365.0,Jaisinghpur,176095.0,NA ,NA ,NA ,SE 5th circle HPPWD Palampur,No ,No,"6,54,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,208106.0,Kulvinder,20-Apr-2021 12:50 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,31-Jul-2021 03:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,Cost of Tender Form as per Section-1 Point No-3,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.1,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.3.1), (1.3.2) (1.3.3)",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.4), (1.5)",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.2), (1.7)",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.6), (1.8), (1.9), (1.10)",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section-2 Cl(4.2,4.4 -A and B)",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Others documents i.e. GST, PAN, EPF etc.",,,,,,,,,,,,,,,,,,,,,,,,,AOC
