Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
SE PWD NRC,Internal,SE PWD NRC,RAJU MONI KATAKY,23-Jul-2021 01:21 PM,finsummary_30965.pdf (864.61 KB),Public Works Roads Department||CE PWD(R) - PWD,2021_PWD_20005_1,SE/NRC/TB/NIT/44/2019-20/126,Construction of Road from Barma Sivasthan PWD Road to Sonaribali Mowamari PWD Road,SE PWD NRC,Internal,SE PWD NRC,RAJU MONI KATAKY,22-Jan-2021 02:08 PM,22-Jan-2021 03:00 PM,techsummary_30965.pdf (1336.47 KB),1.0,102284.0,PABAN SHARMA,INR,2854173.0,23-Jul-2021,INR 9120000.0,120.0,RAJU MONI KATAKY,23-Jul-2021 01:24 PM,WObarmasivasthanpwdroad_Samaguri.pdf (806.00 KB),fwo,Technical,Tech. Evaluation,RAJU MONI KATAKY,22-Jan-2021 02:04 PM,technical_30965.pdf,1,102541,AFTAB UDDIN AHMED,17-Jan-2021 08:27 PM,Rejected-Finance,C/S,23-Jul-2021 01:21 PM,Finance,Financial Open,RAJU MONI KATAKY,22-Jan-2021 05:22 PM,finance_30965.pdf,BOQ Comparative Chart,AOC,SE PWD NRC,SE PWD NRC,1.0,BG - Bank Guarantee Irrevocable,1.0,Fee/PreQual/Technical,.pdf,FEE/EM,Construction of Road from Barma Sivasthan PWD Road to Sonaribali Mowamari PWD Road,Construction of Road from Barma Sivasthan PWD Road to Sonaribali Mowamari PWD Road,Please refer Tender documents. ,NA ,"91,20,000",Civil Works – Roads,NA ,Tender,180.0,120.0,Samaguri,782140.0,NA ,NA ,NA ,SE PWD NRC,No ,No,07-Jan-2021 10:00 AM,19-Jan-2021 11:00 AM,07-Jan-2021 10:00 AM,18-Jan-2021 02:00 PM,NA ,NA ,07-Jan-2021 10:00 AM,18-Jan-2021 02:00 PM,22-Jan-2021 03:00 PM,"2,750",Empowered Officer ASRB,GUWAHATI,Yes,Public Works Roads Department||CE PWD(R) - PWD,SE/NRC/TB/NIT/44/2019-20/126,2021_PWD_20005_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,82,400",Yes,percentage,2.0%,Chief Engineer PWD Roads,GUWAHATI,AOC
,,,,,,,,,,,,,,,,,2.0,102411.0,Amar Jyoti Bhattacharjye,INR,2680096.0,,,,,,,,,,,,,2,102411,Amar Jyoti Bhattacharjye,16-Jan-2021 06:17 PM,Accepted-AOC,fwo,23-Jul-2021 01:24 PM,,,,,,,AOC,,,2.0,FDR - Fixed Deposit Receipt,,,.pdf,Tech. Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,3.0,102420.0,Md. Jakir Hussain,INR,2673730.0,,,,,,,,,,,,,3,102413,GLOBAL ENTERPRISE,16-Jan-2021 06:41 PM,Rejected-Finance,C/S,23-Jul-2021 01:21 PM,,,,,,,AOC,,,,,,,.pdf,VoL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,102463,KULADIP BORAH,17-Jan-2021 12:59 PM,Rejected-Finance,C/S,23-Jul-2021 01:21 PM,,,,,,,AOC,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,102568,Md Haidul Islam,18-Jan-2021 01:52 AM,Rejected-Finance,C/S,23-Jul-2021 01:21 PM,,,,,,,AOC,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,102420,Md. Jakir Hussain,16-Jan-2021 08:12 PM,Accepted-AOC,fwo,23-Jul-2021 01:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,102396,md. sunmia,16-Jan-2021 03:24 PM,Rejected-Finance,C/S,23-Jul-2021 01:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,102552,M/S Naamdoyang Construction,18-Jan-2021 12:35 AM,Rejected-Finance,C/S,23-Jul-2021 01:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,102284,PABAN SHARMA,15-Jan-2021 12:29 AM,Accepted-AOC,fwo,23-Jul-2021 01:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,102471,SAGARDEV GOSWAMI,17-Jan-2021 01:32 PM,Rejected-Finance,C/S,23-Jul-2021 01:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
