Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,BOS,Parveen Kumar Verma,06-Jul-2021 06:19 PM,technical_73510.pdf,1.0,220261.0,Devi Prakash Sharma,29-Jun-2021 04:29 PM,Rejected-AOC,L2,26-Jul-2021 12:09 PM,1.0,220609.0,Vinay Kumar,INR,"893,735",Finance,Bid opening summary,Parveen Kumar Verma,19-Jul-2021 02:14 PM,finance_73510.pdf,BOQ Comparative Chart,ER.P.K.VERMA,Internal,Sh.Gopal Singh Sh.Padam Sharma. Sh.R.S.Thakur.,Parveen Kumar Verma,19-Jul-2021 02:21 PM,finsummary_73510.pdf (291.61 KB),22-Jul-2021,"INR 926,084",60.0,Parveen Kumar Verma,26-Jul-2021 12:09 PM,49058_1.pdf (371.00 KB),AOC,PWD,2021_PWD_49058_1,SD-III-CB-TENDER/21- 3956-71 dated 11-06-2021.,"S/R to Old residential building at Harvington Estate Shimla (SH- Dismantling work, P/L C.C. work, tiles work, Door shutter, wood work, painting, distempering and sanitary work in Set no.1 G.F.).",ER.P.K. Verma,Internal,Sh. Padam Sharma. Sh.R.S.Thakur. Sh.Gopal Singh,Parveen Kumar Verma,07-Jul-2021 12:47 PM,07-Jul-2021 03:00 PM,techsummary_73510.pdf (673.51 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","28,500",No,fixed,,Nil,Nil,"S/R to Old residential building at Harvington Estate Shimla (SH- Dismantling work, P/L C.C. work, tiles work, Door shutter, wood work, painting, distempering and sanitary work in Set no.1 G.F.).","S/R to Old residential building at Harvington Estate Shimla (SH- Dismantling work, P/L C.C. work, tiles work, Door shutter, wood work, painting, distempering and sanitary work in Set no.1 G.F.).",As per bidding documents ,NA ,,Civil Works,NA ,Tender,120.0,60.0,Near RKMV Shimla,171001.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,PWD,SD-III-CB-TENDER/21- 3956-71 dated 11-06-2021.,2021_PWD_49058_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,25-Jun-2021 05:00 PM,02-Jul-2021 11:00 AM,25-Jun-2021 05:00 PM,01-Jul-2021 05:00 PM,NA ,NA ,25-Jun-2021 05:00 PM,01-Jul-2021 05:00 PM,07-Jul-2021 03:00 PM,1.0,ICICI BANK,500.0,Nil,Nil,No,AOC
,,,,,2.0,220293.0,Kuldeep Sharma,29-Jun-2021 04:58 PM,Rejected-AOC,L3,26-Jul-2021 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC
,,,,,3.0,220609.0,Vinay Kumar,01-Jul-2021 01:11 PM,Accepted-AOC,L1,26-Jul-2021 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,HP.PWD Form No-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
