Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,Sum,Suresh Kumar Walia,21-Jun-2021 12:48 PM,technical_72262.pdf,1.0,216539.0,NAVNEET SHARMA,14-Jun-2021 01:45 PM,Rejected-Finance,Lowest 2,03-Jul-2021 11:50 AM,Finance,Sum,Ankit Kumar,03-Jul-2021 11:45 AM,finance_72262.pdf,BOQ Comparative Chart,1.0,216132.0,Navneet Thakur,INR,"2,991,791",Dr Suresh Kumar walia,Internal,Er Surinder AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Ankit Kumar,03-Jul-2021 11:50 AM,finsummary_72262.pdf (189.71 KB),03-Jul-2021,"INR 2,991,791",30.0,Ankit Kumar,03-Jul-2021 11:52 AM,Award.pdf (498.00 KB),Award,PWD,2021_PWD_47854_2,PWD Civil Tanda 1089-110,Annual repair and maintenance of various road under Nagrota Bagwan Sub-Division HP PWD Nagrota Bagwan in Distt Kangra (HP) (Sh-Providing and laying bituminous concrete pavement),Dr Suresh Kumar walia,Internal,Er Surinder AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,21-Jun-2021 12:58 PM,22-Jun-2021 02:00 PM,techsummary_72262.pdf (684.83 KB),AOC,Annual repair and maintenance of various road under Nagrota Bagwan Sub-Division HP PWD Nagrota Bagwan in Distt Kangra (HP) (Sh-Providing and laying bituminous concrete pavement),Annual repair and maintenance of various road under Nagrota Bagwan Sub-Division HP PWD Nagrota Bagwan in Distt Kangra (HP) (Sh-Providing and laying bituminous concrete pavement),Please refer Tender documents. ,NA ,"20,92,812",Civil Works - Roads,NA ,Tender,120.0,30.0,Tanda,176002.0,NA ,NA ,NA ,Executive Engineer HP PWD Tanda,No ,No,"38,900",No,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer,Executive Engineer HP PWD Tanda,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender Form,PWD,PWD Civil Tanda 1089-110,2021_PWD_47854_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,07-Jun-2021 05:00 PM,15-Jun-2021 11:30 AM,07-Jun-2021 05:00 PM,15-Jun-2021 10:00 AM,NA ,NA ,07-Jun-2021 05:00 PM,15-Jun-2021 10:00 AM,22-Jun-2021 02:00 PM,AOC
,,,,,2.0,216132.0,Navneet Thakur,12-Jun-2021 02:02 PM,Accepted-AOC,Award,03-Jul-2021 11:52 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,215850.0,pritam singh thkur,11-Jun-2021 04:00 PM,Rejected-Technical,Not Fulfill Criteria,21-Jun-2021 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,216627.0,Ujjawal Singh,15-Jun-2021 07:24 AM,Rejected-Technical,Not Fulfill Criteria,21-Jun-2021 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff,,,,,,,,,,,,,,,,,,,,,,,,AOC
