EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"13,000",No,fixed,,Nil,Nil,18-Feb-2021 11:00 AM,10-Mar-2021 11:00 AM,18-Feb-2021 11:00 AM,09-Mar-2021 05:00 PM,NA ,NA ,18-Feb-2021 11:00 AM,09-Mar-2021 05:00 PM,20-Apr-2021 11:00 AM,Providing and laying GI pipeline 100mm dia and setting up of fire Hydrant at Phase-II Ind. Area Sauli Khad (HP).,Providing and laying GI pipeline 100mm dia and setting up of fire Hydrant at Phase-II Ind. Area Sauli Khad (HP).,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,120.0,SauliKhad (Mandi),177207.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,700.0,Nil,Nil,No,HP SIDC Limited,Job No. 15,2021_SIDC_44499_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPSIDC Ltd. Shimla,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender conditions),1.0,ICICI BANK,AOC,16-Jul-2021,"INR 1,791,456",120.0,Sushant Singh Negi,28-Jul-2021 04:12 PM,saulikhad.pdf (1960.00 KB),Award letter,1.0,202445.0,VISHAL SINGH,INR,"1,791,456",EE,Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,28-Apr-2021 12:05 PM,finsummary_66781.pdf (845.08 KB),HP SIDC Limited,2021_SIDC_44499_1,Job No. 15,Providing and laying GI pipeline 100mm dia and setting up of fire Hydrant at Phase-II Ind. Area Sauli Khad (HP).,Finance,Financial summary,Sushant Singh Negi,28-Apr-2021 12:03 PM,finance_66781.pdf,BOQ Comparative Chart,Technical,Technical summary,Sushant Singh Negi,19-Apr-2021 01:05 PM,technical_66781.pdf,EE(HQ),Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,19-Apr-2021 01:08 PM,20-Apr-2021 11:00 AM,techsummary_66781.pdf (573.13 KB),1.0,201840.0,ANKUSH VERMA,05-Mar-2021 08:57 PM,Rejected-Finance,Third lowest bidder,28-Apr-2021 12:05 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,202373.0,GD Builders & Construction Associates,08-Mar-2021 08:36 PM,Rejected-Finance,Second lowest bidder,28-Apr-2021 12:05 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of approved make for materials,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,202445.0,VISHAL SINGH,09-Mar-2021 04:04 PM,Accepted-AOC,Award letter for lowest bidder,28-Jul-2021 04:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than two works in hand each of 100 lakh or above in any department,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration no.,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration number.,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
