S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,102462.0,KULADIP BORAH,INR,6301908.0,Public Works Roads Department||CE PWD(R) - PWD,2021_PWD_20014_1,SE/NRC/TB/NIT/44/2019-20/126,"Construction of Road from (i) Murhani to Hatigaon Road (Ch. 0.00 to 920.00 m), (ii) Road from Samaguri Tiniali to Auniati Satra Road (Ch. 0.00 to 200.00 m), (iii) Road from Khandhulimari Uttar to Khandhulimari Dakshin Road",SE PWD NRC,Internal,SE PWD NRC,RAJU MONI KATAKY,23-Jul-2021 01:28 PM,finsummary_30977.pdf (720.48 KB),23-Jul-2021,INR 1.2307E+7,120.0,RAJU MONI KATAKY,23-Jul-2021 01:30 PM,WOmurhanihatigaon_Samaguri.pdf (626.00 KB),fwo,Technical,Tech. Evaluation,MOTIUR RAHMAN,25-Jan-2021 04:41 PM,technical_30977.pdf,Finance,Financial Open,TANKESWAR HAZARIKA,25-Jan-2021 05:35 PM,finance_30977.pdf,BOQ Comparative Chart,SE PWD NRC,Internal,SE PWD NRC,MOTIUR RAHMAN,25-Jan-2021 04:42 PM,25-Jan-2021 05:00 PM,techsummary_30977.pdf (1552.48 KB),1,102451,Alal Uddin,17-Jan-2021 03:48 AM,Rejected-Finance,C/S,23-Jul-2021 01:28 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,FEE/EM,1.0,BG - Bank Guarantee Irrevocable,"Construction of Road from (i) Murhani to Hatigaon Road (Ch. 0.00 to 920.00 m), (ii) Road from Samaguri Tiniali to Auniati Satra Road (Ch. 0.00 to 200.00 m), (iii) Road from Khandhulimari Uttar to Khandhulimari Dakshin Road","Construction of Road from (i) Murhani to Hatigaon Road (Ch. 0.00 to 920.00 m), (ii) Road from Samaguri Tiniali to Auniati Satra Road (Ch. 0.00 to 200.00 m), (iii) Road from Khandhulimari Uttar to Khandhulimari Dakshin Road",Please refer Tender documents. ,NA ,"1,23,07,000",Civil Works – Roads,NA ,Tender,180.0,120.0,Samaguri,782140.0,NA ,NA ,NA ,SE PWD NRC,No ,No,SE PWD NRC,SE PWD NRC,"2,46,140",Yes,percentage,2.0%,Chief Engineer PWD Roads,GUWAHATI,07-Jan-2021 10:00 AM,19-Jan-2021 11:00 AM,07-Jan-2021 10:00 AM,18-Jan-2021 02:00 PM,NA ,NA ,07-Jan-2021 10:00 AM,18-Jan-2021 02:00 PM,25-Jan-2021 05:00 PM,"3,700",Empowered Officer ASRB,GUWAHATI,Yes,Public Works Roads Department||CE PWD(R) - PWD,SE/NRC/TB/NIT/44/2019-20/126,2021_PWD_20014_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
2.0,102585.0,KASHI PRASAD PODDAR,INR,4774390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,102512,DEBEN BORA,17-Jan-2021 06:27 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-Jan-2021 04:41 PM,AOC,,,.pdf,Tech. Qualification,2.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,102520,GLOBAL ENTERPRISE,17-Jan-2021 07:06 PM,Rejected-Finance,C/S,23-Jul-2021 01:28 PM,AOC,,,.pdf,VoL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,102585,KASHI PRASAD PODDAR,18-Jan-2021 11:01 AM,Accepted-AOC,fwo,23-Jul-2021 01:30 PM,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,102462,KULADIP BORAH,17-Jan-2021 12:40 PM,Accepted-AOC,fwo,23-Jul-2021 01:30 PM,AOC,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,102431,Md. Jakir Hussain,16-Jan-2021 09:19 PM,Rejected-Finance,C/S,23-Jul-2021 01:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,102400,md. sunmia,18-Jan-2021 11:05 AM,Rejected-Finance,C/S,23-Jul-2021 01:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,102628,Mustafa Rahman,18-Jan-2021 01:13 PM,Rejected-Finance,C/S,23-Jul-2021 01:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,102257,Najrul Islam,14-Jan-2021 12:49 AM,Rejected-Finance,C/S,23-Jul-2021 01:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,102278,Paban Saikia,14-Jan-2021 09:07 PM,Rejected-Finance,C/S,23-Jul-2021 01:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,102476,Ramawtar Agarwala,17-Jan-2021 02:35 PM,Rejected-Finance,C/S,23-Jul-2021 01:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
