Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
MANAGING DIRECTOR,Block No 16-17 SDA Complex Kasumpti Shimla-09 Himachal Pradesh,1.0,DD - Demand Draft,HP State Civil Supplies Corporation Limited,hpscsc-4-2/2019(II)-19487 dt 27-11-19,2019_HO_32939_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Offline,No,No,No,"20,000",MD HPSCSC LTD,SHIMLA,No,28-Nov-2019 11:00 AM,20-Dec-2019 11:00 AM,28-Nov-2019 11:00 AM,19-Dec-2019 05:00 PM,NA ,NA ,28-Nov-2019 11:00 AM,19-Dec-2019 05:00 PM,20-Dec-2019 02:15 PM,"10,00,000",No,fixed,,MD HPSCSC LTD,SHIMLA,1.0,Fee/PreQual/Technical,.pdf,Kindly Upload Technical BID Documents in Single PDF,Procurement of Double Fortified Salt,Procurement of Double Fortified Salt for six months,Please refer Tender documents. ,NA ,"10,00,00,000",Food Products,Double Fortified Salt ,Tender,180.0,25.0,KINDLY REFER TO TENDER DOCUMENT,171009.0,NA ,NA ,NA ,HPSCSC LTD HEAD OFFICE,No ,No,AOC,HP State Civil Supplies Corporation Limited,2019_HO_32939_1,hpscsc-4-2/2019(II)-19487 dt 27-11-19,Procurement of Double Fortified Salt,1.0,139147.0,Bajaj Salt Pvt Ltd,INR,"108,137,375",MD HPSCSC LTD,Internal,Committee Members,KAILASH PANTA,20-Dec-2019 02:14 PM,20-Dec-2019 02:15 PM,techsummary_47418.pdf (52.16 KB),20-Jul-2021,"INR 108,137,375",25.0,PAWAN SOOD,20-Jul-2021 03:09 PM,939.pdf (270.00 KB),Supply order issued in financial year 2019-2020,Finance,financial summary,PAWAN SOOD,20-Dec-2019 02:38 PM,finance_47418.pdf,BOQ Comparative Chart,Technical,Technical Bid Summary,KAILASH PANTA,20-Dec-2019 02:03 PM,technical_47418.pdf,1,140105,ANKUR CHEMFOOD LIMITED,19-Dec-2019 03:40 PM,Rejected-Finance,Item Wise Higher Amount Quoted,20-Jul-2021 03:07 PM,MD,Internal,Kindly see attachment,PAWAN SOOD,20-Jul-2021 03:07 PM,finsummary_47418.pdf (270.31 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Kindly Upload Financial BID/BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,139855,ARVIND ENTERPRISES,12-Dec-2019 01:10 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Dec-2019 02:03 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,139147,Bajaj Salt Pvt Ltd,19-Dec-2019 02:58 PM,Accepted-AOC,Award to Item wise L1 Bidder,20-Jul-2021 03:09 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,140800,bhagwati salt co,19-Dec-2019 02:15 PM,Rejected-Finance,Item Wise Higher Amount Quoted,20-Jul-2021 03:07 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,140528,Chirai Salt (India) Pvt. Ltd.,19-Dec-2019 02:53 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Dec-2019 02:03 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,141295,CHOUGLE SALT WORKS PRIVATE LIMITED,19-Dec-2019 03:16 PM,Rejected-Finance,Item Wise Higher Amount Quoted,20-Jul-2021 03:07 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,140973,Indo Brine Industries Ltd,19-Dec-2019 02:52 PM,Rejected-Finance,Item Wise Higher Amount Quoted,20-Jul-2021 03:07 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,140660,Kutch Brine Chem Industries,19-Dec-2019 02:23 PM,Rejected-Finance,Item Wise Higher Amount Quoted,20-Jul-2021 03:07 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,141213,MAHAVEER NAMAK UDYOG,19-Dec-2019 03:18 PM,Rejected-Finance,Item Wise Higher Amount Quoted,20-Jul-2021 03:07 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,141347,NAHTASALTANDCHEMICALPVTLTD,19-Dec-2019 04:09 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Dec-2019 02:03 PM,,,,,,,AOC
