Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
500.0,Nil,Nil,No,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,PWD,PW-RD-GA-14947-15046dt1-12-20,2021_PWD_43678_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,E E B and R Divn HPPWD ROHRU,E E B and R Divn HPPWD ROHRU,"13,700",No,fixed,,Nil,Nil,15-Jan-2021 02:00 PM,21-Jan-2021 11:00 AM,15-Jan-2021 02:00 PM,20-Jan-2021 06:00 PM,NA ,NA ,15-Jan-2021 02:00 PM,20-Jan-2021 06:00 PM,04-Feb-2021 12:15 PM,A/R M/O to Office Building of Executive Engineer HPPWD Division Rohru,(SH-providing and installation of 45KVK D G set),Please refer Tender documents. ,NA ,,Power/Energy Projects/Products,NA ,Tender,60.0,30.0,Rohru,171207.0,NA ,NA ,NA ,E E HPPWD ROHRU,No ,No,AOC,PAWAN KUMAR,Internal,MANOJ KUMAR,Duni Chand Chauhan,04-Feb-2021 12:03 PM,04-Feb-2021 12:15 PM,techsummary_64994.pdf (83.82 KB),PWD,2021_PWD_43678_4,PW-RD-GA-14947-15046dt1-12-20,A/R M/O to Office Building of Executive Engineer HPPWD Division Rohru,30-Jul-2021,"INR 810,000",30.0,Pawan Kumar Garg,30-Jul-2021 01:27 PM,WDRachhPal29-7-21_000260.pdf (190.00 KB),A/R M/O to Office Building of Executive Engineer HPPWD Division Rohru,PAWAN KUMAR,Internal,A E ROHRU,Duni Chand Chauhan,27-Jul-2021 01:03 PM,finsummary_64994.pdf (128.10 KB),1.0,195864.0,RACHANA DEVI,20-Jan-2021 11:23 AM,Rejected-Finance,TENDER AWARDED TO FIRST LOWEST,27-Jul-2021 01:03 PM,Technical,Bid Opening Summary,Duni Chand Chauhan,04-Feb-2021 11:12 AM,technical_64994.pdf,Finance,Bid Opening Summary,Pawan Kumar Garg,04-Feb-2021 12:33 PM,finance_64994.pdf,BOQ Comparative Chart,1.0,195846.0,RASHPAL SINGH GOVT CONTRACTOR,INR,"810,000",AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,195846.0,RASHPAL SINGH GOVT CONTRACTOR,20-Jan-2021 11:00 AM,Accepted-AOC,WORK COMPLETED,30-Jul-2021 01:27 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND SALES TAX NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"physical submission submit should be compulsory otherwise tender will be rejected, UTR No copy shoul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,the required documents if not found the bidder shall not be Considered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
