Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,2021_UDDHP_48630_1,1MC-MLG(A)2021-22-(1),Providing CC colour pavers and C/O drain from Jain Sthanak to Dinesh Printing Press Main Bazar Nalagarh.,1.0,218423.0,Ajay Thakur,INR,"878,045",Sanjay Kumar,Internal,"President, EO, A E.",Lalit Katoch,31-Jul-2021 03:01 PM,finsummary_72906.pdf (189.61 KB),Sanjay Kumar,Internal,"EO, AE, JE",Lalit Katoch,30-Jun-2021 03:57 PM,30-Jun-2021 04:15 PM,techsummary_72906.pdf (207.20 KB),1.0,218423.0,Ajay Thakur,22-Jun-2021 12:07 AM,Accepted-AOC,Being L1,31-Jul-2021 03:04 PM,Finance,Bid Opening Summary,Sanjay Kumar,30-Jun-2021 04:55 PM,finance_72906.pdf,BOQ Comparative Chart,Technical,Bid Summery,Lalit Katoch,22-Jun-2021 04:21 PM,technical_72906.pdf,31-Jul-2021,"INR 878,045",90.0,Lalit Katoch,31-Jul-2021 03:04 PM,AOCJAIN.pdf (356.00 KB),Work awarded,AOC,Providing CC colour pavers and C/O drain from Jain Sthanak to Dinesh Printing Press Main Bazar Nalagarh.,Providing CC colour pavers and C/O drain from Jain Sthanak to Dinesh Printing Press Main Bazar Nalagarh.,Please refer Tender documents. ,NA ,"9,95,857",Civil Works,NA ,Tender,60.0,90.0,Nalagarh,174101.0,NA ,NA ,NA ,MC Nalagarh,No ,No,1.0,DD - Demand Draft,EO MC Nalagarh,MC Ofiice Nalagarh,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,1MC-MLG(A)2021-22-(1),2021_UDDHP_48630_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,16-Jun-2021 05:00 PM,22-Jun-2021 03:00 PM,16-Jun-2021 05:00 PM,22-Jun-2021 11:00 AM,NA ,NA ,16-Jun-2021 05:00 PM,22-Jun-2021 11:00 AM,30-Jun-2021 04:15 PM,"20,000",No,fixed,,EO MC Nalagarh,Nalagarh,500.0,EO MC Nalagarh,Nalagarh,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,218415.0,moin,21-Jun-2021 10:48 PM,Rejected-Finance,Rejected being L3,31-Jul-2021 03:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,218417.0,Rafia khan,21-Jun-2021 11:40 PM,Rejected-Finance,Rejected being L2,31-Jul-2021 03:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,218412.0,rehana,21-Jun-2021 11:35 PM,Rejected-Finance,Rejected being L4,31-Jul-2021 03:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
