Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Executive Engineer,Electrical Division HPPWD Palampur,"20,000",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,PWD,Elect. Division HPPWD Palampur,2021_PWD_47665_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Supplying and fixing of 82.5 KVA D.G. set in the newly makeshift Covid Hospital in Dr.RPGMC Kangra at Tanda (SH- Providing D.G. set therein),Supplying and fixing of 82.5 KVA D.G. set in the newly makeshift Covid Hospital in Dr.RPGMC Kangra at Tanda (SH- Providing D.G. set therein),Please refer Tender documents. ,NA ,"9,99,460",Electrical Works,NA ,Tender,120.0,90.0,Kangra at Tanda,176001.0,NA ,NA ,NA ,Palampur,No ,No,1.0,ICICI BANK,21-May-2021 02:00 PM,28-May-2021 11:30 AM,21-May-2021 02:00 PM,27-May-2021 05:00 PM,NA ,NA ,21-May-2021 05:00 PM,27-May-2021 05:00 PM,04-Jun-2021 11:30 AM,AOC,Finance,as per uploaded document,Mohan Rajeev Parmar,05-Jul-2021 01:26 PM,finance_71515.pdf,BOQ Comparative Chart,1.0,213697.0,Deepak Sood,INR,"997,850",1.0,213697.0,Deepak Sood,26-May-2021 07:32 AM,Accepted-AOC,the bidder is lowest i.e. L1,05-Jul-2021 01:45 PM,Technical,as per uploaded document,Mohan Rajeev Parmar,03-Jun-2021 03:47 PM,technical_71515.pdf,PWD,2021_PWD_47665_1,Elect. Division HPPWD Palampur,Supplying and fixing of 82.5 KVA D.G. set in the newly makeshift Covid Hospital in Dr.RPGMC Kangra at Tanda (SH- Providing D.G. set therein),Er. Munish Bhopal Executive Engineer,Internal,Sh. Manoj Kumar Supdt. Sh. Atul Nag JDM,Mohan Rajeev Parmar,03-Jun-2021 03:50 PM,04-Jun-2021 11:30 AM,techsummary_71515.pdf (235.53 KB),Er. Munish Bhopal Executive Engineer,Internal,Sh. Manoj Kumar Supdt. Sh. Monoj Kumar Sr. Asstt. Sh. Atul Nag JDM,Mohan Rajeev Parmar,05-Jul-2021 01:31 PM,finsummary_71515.pdf (185.09 KB),05-Jul-2021,"INR 999,460",90.0,Mohan Rajeev Parmar,05-Jul-2021 01:45 PM,aoc637-42.pdf (807.00 KB),work awarded vide this office letter No.637-42 dated 05.06.2021,AOC
,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC,,,,,,,,,,,,2.0,213918.0,KUMAR ELECTRONICS CO.,27-May-2021 02:05 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Jun-2021 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Copy of OEM/Autorization of OEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,213649.0,SHARMA ELECTRICAL CO.,26-May-2021 12:08 PM,Rejected-AOC,the bidder is L2,05-Jul-2021 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Copy of GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Copy of EPF registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Similar work done certificate as per tender document (TQC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Form-8 printed on Judicilal papers duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in the department as per enlistment rules-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Copy of latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantities (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
