Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
HP SIDC Limited,2019_SIDC_31970_1,Job No. 4,"SRMO Industrial Area Davni, Teh. Baddi, Distt. Solan (HP). (SH-Re-carpeting and repair to road work and dressing of berms).",SE,Internal,"DM, AE(HQ), Dy. Manager(P), EE",Sushant Singh Negi,19-Nov-2019 10:22 AM,finsummary_45988.pdf (473.82 KB),1.0,134812.0,JARNAIL SINGH,INR,"9,266,764",07-Jan-2020,"INR 9,266,764",180.0,Sushant Singh Negi,29-Jul-2021 02:38 PM,jarnailsingh.pdf (2503.00 KB),AOC,1.0,134812.0,JARNAIL SINGH,23-Oct-2019 09:17 AM,Accepted-AOC,AOC,29-Jul-2021 02:38 PM,SE,Internal,"DM, AE(HQ), Dy. Manager(P), EE",Sushant Singh Negi,14-Nov-2019 03:53 PM,15-Nov-2019 11:00 AM,techsummary_45988.pdf (578.32 KB),Technical,Opening summary,Sushant Singh Negi,02-Nov-2019 01:07 PM,technical_45988.pdf,Finance,Financial summary,Sushant Singh Negi,19-Nov-2019 10:19 AM,finance_45988.pdf,BOQ Comparative Chart,AOC,HP SIDC Limited,Job No. 4,2019_SIDC_31970_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"SRMO Industrial Area Davni, Teh. Baddi, Distt. Solan (HP). (SH-Re-carpeting and repair to road work and dressing of berms).","SRMO Industrial Area Davni, Teh. Baddi, Distt. Solan (HP). (SH- Re-carpeting and repair to road work and dressing of berms).",Please refer Tender documents. ,NA ,"1,04,14,968",Civil Works - Roads,NA ,Tender,120.0,180.0,Davni (Baddi),173205.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,Executive Engineer,HPSIDC Ltd. Shimla,"5,900",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,1.0,Fee/PreQual/Technical,.pdf,Contractor enlistment (As per NIT conditions),"2,08,300",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,04-Oct-2019 02:00 PM,24-Oct-2019 11:00 AM,04-Oct-2019 02:00 PM,23-Oct-2019 05:00 PM,NA ,NA ,04-Oct-2019 02:00 PM,23-Oct-2019 05:00 PM,15-Nov-2019 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,134977.0,SUNDLAS BUILDERS (P) LTD.,23-Oct-2019 04:18 PM,Rejected-Finance,Second lowest bidder,19-Nov-2019 10:22 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement Form,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is correct in all respect.,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of work done certificate (As per NIT conditions),,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Financial Turnover (as per special conditions-II),,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Solvency Certificate (as per special conditions-II),,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of existing commitments/ ongoing works in hand (as per special conditions-II),,,,,,,,,,,,,,,,AOC
