S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,ICICI BANK,28-Apr-2021 11:00 AM,06-May-2021 11:30 AM,28-Apr-2021 11:00 AM,05-May-2021 05:00 PM,NA ,NA ,28-Apr-2021 11:00 AM,05-May-2021 05:00 PM,17-May-2021 11:00 AM,Construction of Tandoo Matha Neol Shadhala Neri road in G.P. Tandoo Km 0/0 to 5/0 Distt. Mandi (H.P.) under SCSP,Providing and laying tarring in Km 0/0 to 1/500,As per bid documents ,NA ,,Civil Works - Roads,NA ,Tender,120.0,30.0,Mandi,175001.0,NA ,NA ,NA ,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",No ,No,PWD,PW-MDI-Tender-NIT- 793-828 dated 19.04.2021,2021_PWD_46945_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,500.0,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,No,"21,500",No,fixed,,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),AOC,PWD,2021_PWD_46945_1,PW-MDI-Tender-NIT- 793-828 dated 19.04.2021,Construction of Tandoo Matha Neol Shadhala Neri road in G.P. Tandoo Km 0/0 to 5/0 Distt. Mandi (H.P.) under SCSP,Er. J.K. Gupta,Internal,DAO Supdt. HDM,Jitender Kumar,12-May-2021 03:55 PM,17-May-2021 11:00 AM,techsummary_70520.pdf (157.10 KB),Er. J.K. Gupta,Internal,AE Kamand DAO Supdt. HDM,Jitender Kumar,20-May-2021 02:34 PM,finsummary_70520.pdf (145.61 KB),25-Jun-2021,"INR 1,077,241",30.0,Jitender Kumar,02-Jul-2021 04:29 PM,AOC46945.PDF (154.00 KB),AOC,1.0,210607.0,BALI RAM,INR,"1,321,031.25",Finance,fbosummary,Jitender Kumar,17-May-2021 03:43 PM,finance_70520.pdf,BOQ Comparative Chart,1.0,210607.0,BALI RAM,30-Apr-2021 12:42 PM,Accepted-AOC,AOC,02-Jul-2021 04:29 PM,Technical,summary,Jitender Kumar,06-May-2021 04:34 PM,technical_70520.pdf,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule E),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,211194.0,Jay Kumar,05-May-2021 01:41 PM,Rejected-Finance,L-3,20-May-2021 02:34 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,211206.0,Sohan lal,05-May-2021 01:48 PM,Rejected-Finance,L-2,20-May-2021 02:34 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.16)Mini amount of work done shown as per Sched-F,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"HPPWD Form No.7 / 8 duly signed (General Rule and directions, Schedules A to F)",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
