Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Contractor registration (as per tender conditions),1.0,ICICI BANK,Executive Engineer,HPSIDC Ltd. Shimla,06-Jul-2020 02:00 PM,28-Jul-2020 11:00 AM,06-Jul-2020 02:00 PM,27-Jul-2020 05:00 PM,NA ,NA ,06-Jul-2020 02:00 PM,27-Jul-2020 05:00 PM,03-Sep-2020 11:00 AM,"5,000",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,HP SIDC Limited,Job No. 1,2020_SIDC_38646_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"78,800",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,"C/o drain, metalling and tarring using cold mix technology and P/L interlocking paver at Phase-I, I.A Mandi (HP)","C/o drain, metalling and tarring using cold mix technology and P/L interlocking paver at Phase-I, I.A Mandi (HP)",Please refer Tender documents. ,NA ,"47,55,613",Civil Works - Roads,NA ,Tender,120.0,120.0,Mandi,175001.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,AOC,18-Mar-2021,"INR 6,587,593",120.0,Sushant Singh Negi,29-Jul-2021 05:16 PM,narinderbali.pdf (2038.00 KB),AOC,1.0,168098.0,narinder bali,INR,"6,587,593",SE,Internal,"DM, AE(HQ), Dy. Manager(P), EE",Sushant Singh Negi,24-Sep-2020 03:46 PM,finsummary_57081.pdf (712.17 KB),HP SIDC Limited,2020_SIDC_38646_1,Job No. 1,"C/o drain, metalling and tarring using cold mix technology and P/L interlocking paver at Phase-I, I.A Mandi (HP)",Finance,Financial detail,Sushant Singh Negi,24-Sep-2020 03:38 PM,finance_57081.pdf,BOQ Comparative Chart,Technical,Technical summary,Sushant Singh Negi,02-Sep-2020 04:15 PM,technical_57081.pdf,SE,Internal,"DM, AE(HQ), Dy. Manage(P), EE(HQ)",Sushant Singh Negi,02-Sep-2020 04:18 PM,03-Sep-2020 11:00 AM,techsummary_57081.pdf (679.63 KB),1.0,169815.0,AIDANT IMPLEMENTATION PRIVATE LIMITED,26-Jul-2020 05:07 PM,Rejected-Finance,Second lowest bidder,24-Sep-2020 03:47 PM,AOC
,,.pdf,Signed copy of agreement form,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,169922.0,ASHA AND ARYA CONSTRUCTION PVT LTD,27-Jul-2020 02:04 PM,Rejected-Technical,The similar type of work done has not submitted as per tender eligibility criteria,02-Sep-2020 04:19 PM,AOC
,,.pdf,Affidavit that the information furnished with the bid documents is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,168098.0,narinder bali,24-Jul-2020 03:59 PM,Accepted-AOC,AOC,29-Jul-2021 05:16 PM,AOC
,,.pdf,Affidavit that you have not more than two works in hand each of 100.00 lac or above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of successfully completed work done certificate (as per tender condition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
