Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Documents as per Bid Document,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_22_JJM_PB_20_21_T_32361_67,2021_PHED_21452_4,Yes,Open Tender,Supply,Goods,2.0,No,No,Online,No,No,No,0.0,No,fixed,,Nil,Nil,25-Feb-2021 10:00 AM,03-Apr-2021 03:00 PM,25-Feb-2021 10:00 AM,02-Apr-2021 04:00 PM,NA ,NA ,25-Feb-2021 11:00 AM,02-Apr-2021 04:00 PM,20-Apr-2021 03:00 PM,Pkg 04 Supply of different Miscellaneous Items for water sample test,Pkg 04 Supply of different Miscellaneous Items for water sample test,Please refer Tender documents. ,NA ,0.0,Supply of Materials,NA ,Rate Contract,90.0,365.0,Guwahati,781032.0,NA ,NA ,NA ,O O CE PHE Water Assam,No ,No,CE PHE Water Assam,"Hengrabari, Guwahati-36",1.0,Corrigendum,Date,,1.0,SBI Bank,AOC,1.0,116976.0,DAL THOMS SCIENTIFIC,INR,1.0,B.Das,Internal,,Milan Kalita,25-Jun-2021 06:02 PM,finsummary_33444.pdf (558.29 KB),Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,2021_PHED_21452_4,PHE_22_JJM_PB_20_21_T_32361_67,Pkg 04 Supply of different Miscellaneous Items for water sample test,Technical,Technical Opening Summary,Milan Kalita,13-Apr-2021 10:51 AM,technical_33444.pdf,1,116976,DAL THOMS SCIENTIFIC,27-Mar-2021 03:38 PM,Accepted-AOC,Rate contract for itemwise lowest rates,12-Jul-2021 01:23 PM,29-Jun-2021,INR 1.0,365.0,Munmun Das,12-Jul-2021 01:23 PM,Empanelment_Notice_Pckg4.pdf (344.00 KB),Finance,Finance Opening Summary,Milan Kalita,25-Jun-2021 05:52 PM,,BOQ Comparative Chart,B Das,Internal,,Milan Kalita,13-Apr-2021 11:06 AM,20-Apr-2021 03:00 PM,techsummary_33444.pdf (1567.00 KB),AOC
,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corigendum to IFB 37-2,Technical Bid,,,,AOC,2.0,117020.0,SANTANA ENTERPRISE,INR,1.0,,,,,,,,,,,,,,,,2,116842,GULGULIA TRADE PRIVATE LIMITED,18-Mar-2021 12:27 PM,Rejected-Technical,Technically Non Responsive,13-Apr-2021 11:06 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,117022.0,Luit Construction,INR,1.0,,,,,,,,,,,,,,,,3,117022,Luit Construction,02-Apr-2021 10:49 AM,Accepted-AOC,Rate contract for itemwise lowest rates,12-Jul-2021 01:23 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,117028.0,Trade and Allied Agencies,INR,1.0,,,,,,,,,,,,,,,,4,117011,MAVERICK TECHNOLOGIES,02-Apr-2021 12:04 PM,Not Admitted-Finance,Price Bid not complied,25-Jun-2021 05:52 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,117008,M/S ELITE AGENCIES,01-Apr-2021 05:43 PM,Rejected-Technical,Technically Non Responsive,13-Apr-2021 11:06 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,116852,NORTH EAST CHEMICALS CORPORATION,26-Mar-2021 03:11 PM,Rejected-Technical,Technically Non Responsive,13-Apr-2021 11:06 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,116905,r r enterprise,31-Mar-2021 05:29 PM,Rejected-AOC,Not considered for rate contrct,12-Jul-2021 01:23 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,117020,SANTANA ENTERPRISE,01-Apr-2021 07:52 PM,Accepted-AOC,Rate contract for itemwise lowest rates,12-Jul-2021 01:23 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,117009,SHINE ENTERPRISE,01-Apr-2021 08:53 PM,Rejected-Technical,Technically Non Responsive,13-Apr-2021 11:06 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,117028,Trade and Allied Agencies,02-Apr-2021 02:21 PM,Accepted-AOC,Rate contract for itemwise lowest rates,12-Jul-2021 01:23 PM,,,,,,,,,,,,,,,,,,,,AOC
