Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Stage
06-Jul-2021,"INR 9,412,351",180.0,Sanjiv Mahajan,06-Jul-2021 03:06 PM,AOC.pdf (815.00 KB),work awarded,EE Bharmour,Internal,HDM DAO SUpdt,Sanjiv Mahajan,06-Jul-2021 12:32 PM,finsummary_66492.pdf (267.49 KB),ee,Internal,supdt dao hdm ta,Sanjiv Mahajan,08-Mar-2021 08:28 PM,09-Mar-2021 11:30 AM,techsummary_66492.pdf (610.21 KB),PWD,2021_PWD_44356_2,No.mt BHR- 22255-354 dt 23.01.20,M/T and CD work on Bharmour Hadsar road Km 0/0 to 13/0 Balance work of Metalling and tarring work at various RDs.,1.0,199198.0,MCC POWER PROJECTS PVT. LTD.,INR,"9,412,351",Finance,L1 MCC POWER PROJECTS PVT. LTD. 11355555.00 L2 vineet patial govt cont 11537590.80,Sanjiv Mahajan,06-Jul-2021 12:13 PM,None,BOQ Comparative Chart,Technical,BOS,Sanjiv Mahajan,08-Mar-2021 08:27 PM,None,1.0,199198.0,MCC POWER PROJECTS PVT. LTD.,19-Feb-2021 10:05 AM,Accepted-AOC,responsive,06-Jul-2021 03:06 PM,AOC,PWD,No.mt BHR- 22255-354 dt 23.01.20,2021_PWD_44356_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form in the shape of Demand Draft,Executive Engineer Bharmour Division HPPWD,Executive Engineer Bharmour Division HPPWD,"75,965",No,fixed,,Executive Engineer Bharmour Division HPPWD,Executive Engineer Bharmour Division HPPWD,13-Feb-2021 06:00 PM,19-Feb-2021 03:30 PM,13-Feb-2021 06:00 PM,19-Feb-2021 11:00 AM,NA ,NA ,13-Feb-2021 06:00 PM,19-Feb-2021 11:00 AM,09-Mar-2021 11:30 AM,"2,000",Executive Engineer Bharmour Division HPPWD,Executive Engineer Bharmour Division HPPWD,No,M/T and CD work on Bharmour Hadsar road Km 0/0 to 13/0 Balance work of Metalling and tarring work at various RDs.,M/T and CD work on Bharmour Hadsar road Km 0/0 to 13/0 Balance work of Metalling and tarring work at various RDs.,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,365.0,Bharmour,176315.0,NA ,NA ,NA ,Executive Engineer Bharmour Division HPPWD,No ,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,199240.0,vineet patial govt cont,19-Feb-2021 09:21 AM,Rejected-AOC,L2,06-Jul-2021 03:06 PM,AOC,,,,,,,,,,,,,,,,,.pdf,Earnest Money in the shape of FDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Pan Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,HPPWD Form 7/8 duly signed by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Own Hot mix plant and Road Roller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (without L.D.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
