S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
1.0,154588.0,WESTERN IRRIGATION SYSTEM PVT LTD,INR,"1,309,516",Industries Department||Directorate of Industries,2020_HPInd_35828_13,No.Ind.SP/F/(NIT)148/94-Vol-II,C-33,Additional Controller of Stores,Internal,TS Negi (JDI SP) Rampal (JDI Horticulture) Ravinder Chauhan (AE IPH) Ajay Sharma (JE Agriculture) Karam Chand (Supdt.) Vinay Jaryal (SO FA) Navneet gupta (SIO SP),Thakur Singh Negi,14-Jul-2020 12:48 PM,14-Jul-2020 12:50 PM,techsummary_52647.pdf (3368.85 KB),Technical,All the firms recommended for detail scrutiny of technical bids by the Joint technical committee,Thakur Singh Negi,14-Jul-2020 12:13 PM,technical_52647.pdf,Finance,Financial bid opening summary.,Navneet Gupta,06-Feb-2021 12:21 PM,finance_52647.pdf,BOQ Comparative Chart,Additional Controller of Stores,Internal,Karam Chand (Supdt. Gr-I SP) Vinay Jaryal (S.O FA),Navneet Gupta,06-Feb-2021 12:41 PM,finsummary_52647.pdf (2220.80 KB),1,157893,CHEMIPLAST INDUSTRIES,20-May-2020 10:45 AM,Accepted-AOC,Accepted,20-Jul-2021 12:18 PM,20-Jul-2021,"INR 14,404,680",365.0,Navneet Gupta,20-Jul-2021 12:18 PM,RC-C-33_000383.pdf (8777.00 KB),AOC,1.0,CORRIGENDUM,Date,,"5,00,000",Yes,fixed,,Additional Controller of Store,Shimla,Industries Department||Directorate of Industries,No.Ind.SP/F/(NIT)148/94-Vol-II,2020_HPInd_35828_13,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Online,No,No,No,500.0,Additional Controller of Store,Shimla,Yes,1.0,ICICI BANK,C-33,High Density Polyethylene (HDPE) Pipes (ISI Marked),Please refer Tender documents. ,NA ,"1,45,12,216",Miscellaneous Goods,NA ,Rate Contract,120.0,365.0,Directorate of Industries Shimla,171001.0,NA ,NA ,NA ,Shimla,No ,No,Director of Industries,Directorate of Industries Shimla,03-Mar-2020 05:00 PM,23-May-2020 11:00 AM,03-Mar-2020 05:00 PM,23-May-2020 10:30 AM,NA ,NA ,03-Mar-2020 05:00 PM,23-May-2020 10:30 AM,14-Jul-2020 12:50 PM,1.0,Fee/PreQual/Technical,.pdf,All Documents as per terms and conditions of tender Enclosed.,AOC
2.0,155132.0,HIMALYAN PIPE INDUSTREIS,INR,"1,309,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,157075,HARVEL AGUA INDIA PRIVATE LIMITED,22-May-2020 05:39 PM,Rejected-Technical,due to non submission of requisite documents as per terms and condition of tender.,14-Jul-2020 12:48 PM,,,,,,,AOC,2.0,Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price schedule,AOC
3.0,155135.0,PLATO INDUSTRIES LIMITED,INR,"1,309,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,155132,HIMALYAN PIPE INDUSTREIS,22-May-2020 12:21 PM,Accepted-AOC,Accepted,20-Jul-2021 12:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,155202.0,HIMALYAN PLASTICS LTD.,INR,"1,309,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,155202,HIMALYAN PLASTICS LTD.,22-May-2020 01:09 PM,Accepted-AOC,Accepted,20-Jul-2021 12:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,155732.0,Manjushree Plastics pvt ltd,INR,"1,309,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,158380,KOTHARI AGRITECH PVT LTD,16-May-2020 01:57 PM,Rejected-Technical,due to non submission of requisite documents as per terms and condition of tender.,14-Jul-2020 12:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6.0,156200.0,WESTWELL POLYTUBES,INR,"1,309,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,155835,KULJA INDUSTRIES LIMITED,22-May-2020 03:43 PM,Rejected-Technical,The firm is eligible for parallel rate contract under rule 22(i)(2)(d),14-Jul-2020 12:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7.0,156210.0,ROCKWELL INDUSTRIES,INR,"1,309,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,155732,Manjushree Plastics pvt ltd,22-May-2020 07:37 PM,Accepted-AOC,Accepted,20-Jul-2021 12:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8.0,157111.0,VEER VISIONS PRIVATE LIMITED,INR,"1,309,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,155135,PLATO INDUSTRIES LIMITED,22-May-2020 02:35 PM,Accepted-AOC,Accepted,20-Jul-2021 12:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9.0,157844.0,Sturdy Industries Ltd.,INR,"1,309,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,156210,ROCKWELL INDUSTRIES,16-May-2020 03:25 PM,Accepted-AOC,Accepted,20-Jul-2021 12:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10.0,157891.0,SUPER PLATECK PVT. LTD.,INR,"1,309,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,155255,SHREE UDYOG,17-Mar-2020 06:23 PM,Rejected-Technical,The firm is eligible for parallel rate contract under rule 22(i)(2)(d),14-Jul-2020 12:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
11.0,157893.0,CHEMIPLAST INDUSTRIES,INR,"1,309,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,157844,Sturdy Industries Ltd.,15-May-2020 01:48 PM,Accepted-AOC,Accepted,20-Jul-2021 12:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,157891,SUPER PLATECK PVT. LTD.,15-May-2020 02:13 PM,Accepted-AOC,Accepted,20-Jul-2021 12:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
