Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
HP SIDC Limited,2021_SIDC_44485_1,Job No. 13,Providing Light Roof Structure Over existing Guest House in Service Building at Mehatpur Distt. Una (HP).,EE(HQ),Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,12-Apr-2021 01:45 PM,finsummary_66753.pdf (552.37 KB),1.0,202360.0,Ankur sharma,INR,"871,058",05-May-2021,"INR 871,058",180.0,Sushant Singh Negi,28-Jul-2021 04:53 PM,ankursharma.pdf (2360.00 KB),Award letter,1.0,202482.0,ANKIT SHARMA,09-Mar-2021 01:43 PM,Rejected-Finance,Third lowest bidder,12-Apr-2021 01:46 PM,EE(HQ),Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,05-Apr-2021 02:49 PM,06-Apr-2021 11:00 AM,techsummary_66753.pdf (673.00 KB),Technical,summary,Sushant Singh Negi,05-Apr-2021 02:48 PM,technical_66753.pdf,Finance,Financial details,Sushant Singh Negi,12-Apr-2021 01:41 PM,finance_66753.pdf,BOQ Comparative Chart,AOC,"15,800",No,fixed,,Nil,Nil,Providing Light Roof Structure Over existing Guest House in Service Building at Mehatpur Distt. Una (HP).,Providing Light Roof Structure Over existing Guest House in Service Building at Mehatpur Distt. Una (HP).,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,180.0,Mehatpur (Una),174315.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,900.0,Nil,Nil,No,HP SIDC Limited,Job No. 13,2021_SIDC_44485_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPSIDC Ltd. Shimla,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender conditions),17-Feb-2021 04:30 PM,10-Mar-2021 11:00 AM,17-Feb-2021 04:30 PM,09-Mar-2021 05:00 PM,NA ,NA ,17-Feb-2021 04:30 PM,09-Mar-2021 05:00 PM,06-Apr-2021 11:00 AM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,202360.0,Ankur sharma,09-Mar-2021 01:57 PM,Accepted-AOC,Award to lowest bidder,28-Jul-2021 04:53 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,202529.0,Ankush Kaushal Govt Cont,09-Mar-2021 02:54 PM,Rejected-Finance,Second lowest bidder,12-Apr-2021 01:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of approved make for materials,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,202431.0,Arpit Prashar,09-Mar-2021 01:51 PM,Rejected-Finance,Fifth lowest bidder,12-Apr-2021 01:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5.0,201711.0,Sahil Choudhary,09-Mar-2021 02:38 PM,Rejected-Finance,Fourth lowest bidder,12-Apr-2021 01:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than two works in hand each of 100 lakh or above in any department,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration no.,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration number.,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC
