Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
18-Jun-2020,"INR 3,382,892",180.0,Anil Kumar,06-Apr-2021 04:45 PM,36104_1.pdf (53.00 KB),Sh. Suraj Parkash Aggarwal. Govt Cont . VPO Maranda. Tehsil Palampur Distt. Kangra HP.,Technical,2 nos bids downloaded sucessfully summary attached,Anil Kumar,05-May-2020 02:56 PM,technical_53180.pdf,Finance,BOQ downlaoded sucessfully summary attached,Anil Kumar,05-May-2020 03:28 PM,finance_53180.pdf,BOQ Comparative Chart,1.0,156222.0,GANTANTAR THAKUR,21-Mar-2020 03:54 PM,Rejected-AOC,accept,06-Apr-2021 04:45 PM,Executive Engineer,Internal,"DAO,Supdtt,HDM,AEtoEE",Anil Kumar,05-May-2020 02:59 PM,05-May-2020 03:05 PM,techsummary_53180.pdf (273.22 KB),"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",2020_HPIPH_36104_1,THL-KNG05-729 ( 16360-16410 dated 09.03.2020),C/O Additional building for IPH Inspection Hutt at Akshaina in Tehsil Palampur Distt Kangra H.P.,1.0,156149.0,Suraj Parkash Aggarwal,INR,"3,772,346.9",Executive Engineer,Internal,"DAO,Supdtt,HDM,AEtoEE",Anil Kumar,05-May-2020 03:33 PM,finsummary_53180.pdf (220.11 KB),AOC,1.0,ICICI BANK,Executive Engineer IPH Division Thural,O/O The Executive Engineer IPH Division Thural,"45,925",Yes,fixed,,NIL,NIL,400.0,NIL,NIL,Yes,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",THL-KNG05-729 ( 16360-16410 dated 09.03.2020),2020_HPIPH_36104_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid Documents and Earnest money etc Shall be deposited both through online mode ( E-Payme,C/O Additional building for IPH Inspection Hutt at Akshaina in Tehsil Palampur Distt Kangra H.P.,C/O Additional building for IPH Inspection Hutt at Akshaina in Tehsil Palampur Distt Kangra H.P.,Please refer Tender documents. ,NA ,"25,61,673",Civil Works - Others,NA ,Tender,120.0,180.0,C/O Additional building for IPH Inspection Hutt at,176107.0,NA ,NA ,NA ,O/O The Executive Engineer IPH Division Thural,No ,No,09-Mar-2020 05:00 PM,24-Mar-2020 11:30 AM,09-Mar-2020 05:00 PM,23-Mar-2020 05:00 PM,NA ,NA ,09-Mar-2020 05:00 PM,23-Mar-2020 05:00 PM,05-May-2020 03:05 PM,AOC
,,,,,,,,,,,,,,,,,,2.0,156149.0,Suraj Parkash Aggarwal,21-Mar-2020 08:34 AM,Accepted-AOC,accept,06-Apr-2021 04:45 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of Registration with IPH Department in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax and GST registration and latest clearance certificate thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The list of similar nature work done/ completed /work in progress with performance certificate d,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that any Government/Semi Government/Board/Corporation/ Private Organization etc h,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of authorization DSC be uploaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other conditions as per terms and conditions folder be required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidder must have experience of construction of building in IPH Department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
