Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
Finance,Sum,Suresh Kumar Walia,17-Mar-2021 03:19 PM,finance_65658.pdf,BOQ Comparative Chart,1.0,197920.0,LSR Medical Private Limited,INR,"2,185,850",Technical,Sum,Suresh Kumar Walia,08-Mar-2021 04:20 PM,technical_65658.pdf,1.0,197548.0,j k m consultant,09-Feb-2021 11:45 AM,Rejected-Finance,Lowest 2,12-Apr-2021 03:45 PM,12-Apr-2021,"INR 2,185,850",90.0,Suresh Kumar Walia,12-Apr-2021 03:49 PM,Award.pdf (207.00 KB),Award,Dr Suresh Kumar walia,Internal,Er Vinay Mehra AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,12-Apr-2021 03:44 PM,finsummary_65658.pdf (192.30 KB),Dr Suresh Kumar Walia,Internal,"SP Verma DAO Ashok Kumar Elct. AE Vinay Mehra AE, Dr Dheeraj Sharma , Dr Jai Singh",Suresh Kumar Walia,08-Mar-2021 04:22 PM,10-Mar-2021 11:00 AM,techsummary_65658.pdf (670.26 KB),PWD,2020_PWD_43415_7,PWD-Civil-11175-11205-Tanda,Providing fixing supply and Installation of Medical Gas pipe line system at Dr RPGMC Kangra at Tanda in Distt Kangra (HP).,AOC,Providing fixing supply and Installation of Medical Gas pipe line system at Dr RPGMC Kangra at Tanda in Distt Kangra (HP).,"Providing and fixing, Supply and installation of Medical Gas pipe line system at Oxygen upgradation including maintenance for five year (Deposit work)",Please refer Tender documents. ,NA ,"27,38,860",Civil Works,NA ,Tender,120.0,90.0,Tanda,176002.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Tanda,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,1.0,Corrigendum,Other,,"48,600",No,fixed,,Executive Engineer HP PWD Divison Tanda,Tanda at Nagrota Bagwan,PWD,PWD-Civil-11175-11205-Tanda,2020_PWD_43415_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,500",Executive Engineer HP PWD Divison Tanda,kangra,No,1.0,DD - Demand Draft,01-Feb-2021 06:00 PM,12-Feb-2021 11:30 AM,01-Feb-2021 06:00 PM,11-Feb-2021 05:00 PM,NA ,NA ,01-Feb-2021 06:00 PM,11-Feb-2021 05:00 PM,10-Mar-2021 11:00 AM,Executive Engineer,Executive Engineer HP PWD Division Tanda,AOC
,,,,,,,,,,,,,,,,2.0,197920.0,LSR Medical Private Limited,11-Feb-2021 10:44 AM,Accepted-AOC,Award,12-Apr-2021 03:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,197242.0,Medical Products Service,11-Feb-2021 03:03 PM,Rejected-Finance,Lowest 3,12-Apr-2021 03:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Work done Certificate as per Schedule F and read the makes and TS at Page no 96-109 in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking no arbitration/litigation with PWD in pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
