Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
03-Mar-2021 10:00 AM,17-Mar-2021 11:00 AM,03-Mar-2021 10:00 AM,15-Mar-2021 11:00 AM,NA ,NA ,05-Mar-2021 11:00 AM,15-Mar-2021 11:00 AM,20-Mar-2021 05:10 PM,SE OP Bilaspur,SE OP Bilaspur,"2,950","Sr. Executive Engineer,(E) Division HPSEBLBilaspur",Bilaspur,No,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur,NIT-28/2020-21,2021_HPSEB_44981_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Offline,No,No,No,"1,17,150",No,fixed,,"Sr. Executive Engineer,(E) Division HPSEBLBilaspur",Bilaspur,1.0,Fee,.pdf,Tender Cost,NIT-28/2020-21,"Tender for the Work Survey, Design, Manufacturing, Supply of Material, Erection, Testing and Commissioning of 11.4 KV 250 KVA Sub Station, 11 KV H.T. Line, L.T. line, AB and PVC Cable of different Sizes including Dismantlement of Existing Electrical",As per bid ,NA ,,Electrical Works,NA ,Tender,180.0,120.0,Ghumarwin,174021.0,NA ,NA ,NA ,SE Op Bilaspur,No ,No,1.0,DD - Demand Draft,AOC,Er. Pankaj Sharma,Internal,,Pankaj Sharma,20-Mar-2021 05:04 PM,20-Mar-2021 05:10 PM,techsummary_67580.pdf (463.89 KB),1.0,201992.0,ARUN ELECTRICALS INDIA,12-Mar-2021 04:33 PM,Rejected-Finance,High Rates,20-Apr-2021 03:40 PM,20-Apr-2021,"INR 4,109,280",120.0,Pankaj Sharma,23-Apr-2021 11:02 AM,nit28.pdf (2803.00 KB),Finance,price bid summary,Pankaj Sharma,20-Mar-2021 05:38 PM,finance_67580.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Pankaj Sharma,17-Mar-2021 05:20 PM,technical_67580.pdf,Er. Pankaj Sharma,Internal,,Mohammad Shahid,20-Apr-2021 03:40 PM,finsummary_67580.pdf (624.17 KB),1.0,203032.0,M/S AMAN ELECTRICAL AND ENGG WORKS,INR,"4,109,280",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur,2021_HPSEB_44981_1,NIT-28/2020-21,NIT-28/2020-21,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,203032.0,M/S AMAN ELECTRICAL AND ENGG WORKS,13-Mar-2021 11:20 AM,Accepted-AOC,Awarded Rates,23-Apr-2021 11:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Financial Turnover signed by CA,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3.0,202951.0,MS. Prem Enterprises,13-Mar-2021 04:29 PM,Not Admitted-Fee,Fee not received,17-Mar-2021 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Experience,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4.0,203060.0,Ratwan Light House,15-Mar-2021 09:45 AM,Rejected-Finance,High rates,20-Apr-2021 03:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN Number,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cancelled Cheque of Firm,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Insurance policies for workmen,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A class Electrical License,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
