S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,202650.0,DINESH KUMAR GUPTA,INR,"2,232,463",Bus Stands Management and Development Authority||BSMDA Civil Wing ||OSD DM HRTC Shimla,2021_BSMDA_44974_1,HPBSMDA/EE/(2)2018 Tenders (Vol-II),Special repair to Bus Stand Sarahan Distt- Sirmour HP.,Executive Engineer,Internal,Mr. Mehta Sunita Shyam Lal,Madan Lal Chauhan,17-Apr-2021 11:58 AM,finsummary_67561.pdf (102.37 KB),1,205280,akash,23-Mar-2021 10:23 AM,Rejected-Technical,Rejected,23-Mar-2021 02:21 PM,Er M.L Chouhan,Internal,MR Mehta SS Thakur Shyam lal,Sunita Devi,23-Mar-2021 02:21 PM,23-Mar-2021 02:30 PM,techsummary_67561.pdf (195.70 KB),Technical,Technical Opening,Sunita Devi,23-Mar-2021 02:07 PM,technical_67561.pdf,Finance,Financial Opening,Madan Lal Chauhan,25-Mar-2021 11:47 AM,finance_67561.pdf,BOQ Comparative Chart,17-Apr-2021,"INR 2,232,642.5",120.0,Madan Lal Chauhan,17-Apr-2021 12:17 PM,Sarahan.pdf (569.00 KB),Bidder was Awarded the Contract being L1 Bidder,AOC,02-Mar-2021 01:15 PM,23-Mar-2021 11:30 AM,04-Mar-2021 06:00 PM,23-Mar-2021 10:30 AM,NA ,NA ,04-Mar-2021 06:00 PM,23-Mar-2021 10:30 AM,23-Mar-2021 02:30 PM,500.0,Cheif Executive Officer HP BSM and DA,Shimla,No,"43,500",No,fixed,,Executive Engineer HP CT BSMDA,Shimla,Bus Stands Management and Development Authority||BSMDA Civil Wing ||OSD DM HRTC Shimla,HPBSMDA/EE/(2)2018 Tenders (Vol-II),2021_BSMDA_44974_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,HP CITY Tpt. and BSM and DA Tutikandi Shimla-4,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,Special repair to Bus Stand Sarahan Distt- Sirmour HP.,SH P/L 100mm thick paver block and flooring etc.,Please refer Tender Documents ,NA ,"23,95,767",Civil Works,NA ,Tender,120.0,120.0,Shimla,171004.0,NA ,NA ,NA ,Shimla,No ,No,AOC
,,,,,,,,,,,,,,,2,205021,Anil Jaswal,22-Mar-2021 05:23 PM,Rejected-Finance,Rejected,17-Apr-2021 11:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,204310,BALRAJ SINGH GOVT CONTRACTOR,19-Mar-2021 11:41 AM,Rejected-Finance,Rejected,17-Apr-2021 11:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,202650,DINESH KUMAR GUPTA,13-Mar-2021 10:31 PM,Accepted-AOC,Accepted,17-Apr-2021 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,205044,INDER SINGH,22-Mar-2021 06:06 PM,Rejected-Finance,Rejected,17-Apr-2021 11:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No. and E.P.F Number, Pan Card",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,204665,jagdish,22-Mar-2021 10:45 AM,Rejected-Finance,Rejected,17-Apr-2021 11:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery tool and Plant with Ownership Document/Affidavit,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,204388,MOHAN SINGH RANA,19-Mar-2021 03:45 PM,Rejected-Finance,Rejected,17-Apr-2021 11:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted by the bidder is true and correct,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,205103,SATISH BHARDWAJ,22-Mar-2021 07:11 PM,Rejected-Finance,Rejected,17-Apr-2021 11:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,205060,Satish Thakur,23-Mar-2021 09:22 AM,Rejected-Finance,Rejected,17-Apr-2021 11:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,204548,Tapender Thakur,22-Mar-2021 05:31 PM,Rejected-Finance,Rejected,17-Apr-2021 11:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
