Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Summary,Anil Kumar Sharma,12-Apr-2021 01:02 PM,finance_69163.pdf,BOQ Comparative Chart,1.0,207139.0,Pratap Singh,INR,"1,940,256",Technical,Opening Summary,Anil Kumar Sharma,07-Apr-2021 12:54 PM,technical_69163.pdf,1.0,207324.0,Ankush kumar,05-Apr-2021 10:02 AM,Rejected-Technical,Non Responsive,07-Apr-2021 01:22 PM,Er Anil Sharma,Internal,TA Suptt DHD DAO,Anil Kumar Sharma,12-Apr-2021 01:04 PM,finsummary_69163.pdf (410.19 KB),12-Apr-2021,"INR 2,891,307",60.0,Anil Kumar Sharma,12-Apr-2021 01:08 PM,Award.pdf (577.00 KB),Award,PWD,2021_PWD_45947_1,NIT No. 13698-13728 dated 16.03.2021,"Ordinary repair to Nahan Do Sarka Sarahan Kumarhatti road on NH 907A Km 0/0 to 78/0 (SH Construction of PCC Retaining wall at RD 4/280 to 4/288, 4/310 to 4/330, 4/340 to 4/380 and 4/635 to 4/650)",Er Anil Sharma,Internal,TA Supttd DHD DAO,Anil Kumar Sharma,07-Apr-2021 01:21 PM,07-Apr-2021 01:30 PM,techsummary_69163.pdf (1515.36 KB),AOC,PWD,NIT No. 13698-13728 dated 16.03.2021,2021_PWD_45947_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Executive Engineer,Executive Engineer NH Division HPPWD Nahan,1.0,Fee/PreQual/Technical,.pdf,e-receipt of tender fees and EMD,25-Mar-2021 05:00 PM,06-Apr-2021 11:30 AM,25-Mar-2021 05:30 PM,05-Apr-2021 11:00 AM,NA ,NA ,25-Mar-2021 05:30 PM,05-Apr-2021 11:00 AM,07-Apr-2021 01:30 PM,"Ordinary repair to Nahan Do Sarka Sarahan Kumarhatti road on NH 907A Km 0/0 to 78/0 (SH Construction of PCC Retaining wall at RD 4/280 to 4/288, 4/310 to 4/330, 4/340 to 4/380 and 4/635 to 4/650)","Ordinary repair to Nahan Do Sarka Sarahan Kumarhatti road on NH 907A Km 0/0 to 78/0 (SH Construction of PCC Retaining wall at RD 4/280 to 4/288, 4/310 to 4/330, 4/340 to 4/380 and 4/635 to 4/650)",refer tender document ,NA ,,Civil Works - Highways,NA ,Tender,120.0,60.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,"1,500",Nil,Nil,No,"58,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2.0,207329.0,MANJEET SINGH CONTRACTOR,05-Apr-2021 10:14 AM,Rejected-Technical,Non Responsive,07-Apr-2021 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,Registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,207261.0,NITIN SHARMA,04-Apr-2021 02:34 PM,Rejected-AOC,5h lowest,12-Apr-2021 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,207139.0,Pratap Singh,03-Apr-2021 03:19 PM,Accepted-AOC,1st lowest,12-Apr-2021 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,207322.0,Rahul Chuhan,05-Apr-2021 08:49 AM,Rejected-AOC,2nd lowest,12-Apr-2021 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,One work of similar as per bidding document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6.0,207134.0,Sarwan Kumar,03-Apr-2021 02:08 PM,Rejected-AOC,3rd lowest,12-Apr-2021 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit not more than two works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7.0,206879.0,Siddharth,01-Apr-2021 09:50 PM,Rejected-AOC,4th lowest,12-Apr-2021 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,All other requisite document as per bidding document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tools and Plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
