Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,"1,500",EE Bhabanagar,Sungra/Bhabanagar,No,Executive Engineer,Karchham Division HP.PWD Bhabanagar,PWD,BHNR -EA-Tender/2020-21- 2903-08 dated 21.09.2020,2020_PWD_41311_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,05-Oct-2020 10:00 AM,19-Oct-2020 11:00 AM,05-Oct-2020 10:30 AM,17-Oct-2020 06:55 PM,NA ,NA ,05-Oct-2020 10:30 AM,17-Oct-2020 06:55 PM,07-Nov-2020 11:25 AM,1.0,DD - Demand Draft,"60,300",No,fixed,,EE Bhabanagar,Sungra/Bhabanagar,C.O. balance work of Govt. High School building at Bari in Distt. Kinnaur HH. C.O building portion including site development and W.S and S.I.,C.O. balance work of Govt. High School building at Bari in Distt. Kinnaur HH. C.O building portion including site development and W.S and S.I.,Please refer Tender documents. ,NA ,"35,20,376",Civil Works - Buildings,NA ,Tender,120.0,365.0,Bari,172115.0,NA ,NA ,NA ,Bhabanagar,No ,No,AOC,Finance,opening summary,Rahul Sood,17-Apr-2021 03:23 PM,finance_60957.pdf,BOQ Comparative Chart,1.0,182822.0,PYARE LAL,INR,"5,209,856",1.0,182822.0,PYARE LAL,17-Oct-2020 10:59 AM,Accepted-AOC,accept due to L1,17-Apr-2021 03:33 PM,Technical,opening summary,Rakesh Chander Negi,06-Nov-2020 08:03 AM,technical_60957.pdf,PWD,2020_PWD_41311_1,BHNR -EA-Tender/2020-21- 2903-08 dated 21.09.2020,C.O. balance work of Govt. High School building at Bari in Distt. Kinnaur HH. C.O building portion including site development and W.S and S.I.,XEN Rahul Sood,Internal,HDM DAO Supdt. Gr-II,Rakesh Chander Negi,06-Nov-2020 08:40 AM,07-Nov-2020 11:25 AM,techsummary_60957.pdf (826.63 KB),XEN Rahul Sood,Internal,HDM DAO Supdt. Gr-Ii,Rahul Sood,17-Apr-2021 03:28 PM,finsummary_60957.pdf (826.58 KB),17-Apr-2021,"INR 3,520,376",365.0,Rahul Sood,17-Apr-2021 03:33 PM,pyarelal.pdf (277.00 KB),AOC
,,.pdf,Earnest Money Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,182821.0,Shamsher Singh,17-Oct-2020 07:37 AM,Rejected-AOC,reject due to L2,17-Apr-2021 03:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work Done Certificate of similar nature and Detail of work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"List of Machinery, Tool, Plant , Technical Staff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Financial reports for the last five years Turn over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Any additional information bidder likes to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
