Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"C,O LIS Khalta in Tehsil Jaisinghpur Distt. Kangra HP SH,Excavation, Laying ,Jointing Testing of HDPE pipes C,O 27 Ns outlets etc","C,O LIS Khalta in Tehsil Jaisinghpur Distt. Kangra HP SH,Excavation, Laying ,Jointing Testing of HDPE pipes C,O 27 Ns outlets etc",Please refer Tender documents. ,NA ,"6,81,184",Civil Works - Others,NA ,Tender,120.0,180.0,"C,O LIS Khalta in Tehsil Jaisinghpur Distt. Kangra",176107.0,NA ,NA ,NA ,O/O The Executive Engineer IPH Division Thural,No ,No,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",8303-38 dated 26.09.2018,2018_HPIPH_23825_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer IPH Division Thural,O/O The Executive Engineer IPH Division Thural,250.0,Executive Engineer IPH Division Thural,Executive Engineer IPH Division Thural,No,"13,624",Yes,fixed,,Executive Engineer IPH Division Thural,Executive Engineer IPH Division Thural,1.0,Fee/PreQual/Technical,.pdf,"i) Earnest money only in the shape of small saving instruments, bankers cheque, demand draft or fixe",27-Sep-2018 05:00 PM,18-Oct-2018 11:30 AM,27-Sep-2018 05:00 PM,17-Oct-2018 05:00 PM,NA ,NA ,27-Sep-2018 05:00 PM,17-Oct-2018 05:00 PM,22-Oct-2018 03:35 PM,1.0,DD - Demand Draft,AOC,22-Oct-2020,"INR 1,889,606",180.0,Anil Kumar,12-Apr-2021 04:14 PM,23825.pdf (37.00 KB),Ranjeet singh,Technical,Two Nos contractor bids downladed sucessfully.summary attached,Suresh Mahajan,22-Oct-2018 03:32 PM,technical_33311.pdf,Finance,BOQ downloded sucessfully summary attached,Suresh Mahajan,22-Oct-2018 04:17 PM,finance_33311.pdf,BOQ Comparative Chart,1.0,97977.0,Rama Shankaer,16-Oct-2018 04:07 PM,Rejected-AOC,accept,12-Apr-2021 04:15 PM,Executive Engineer,Internal,"TenderAsstt,Supdtt,HDM,DAO,AEtoEE",Suresh Mahajan,22-Oct-2018 03:34 PM,22-Oct-2018 03:35 PM,techsummary_33311.pdf (147.90 KB),Executive Engineer,Internal,"TenderAsstt,Supdtt,HDM,DAO,AEtoEe",Suresh Mahajan,22-Oct-2018 04:19 PM,finsummary_33311.pdf (219.68 KB),"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",2018_HPIPH_23825_1,8303-38 dated 26.09.2018,"C,O LIS Khalta in Tehsil Jaisinghpur Distt. Kangra HP SH,Excavation, Laying ,Jointing Testing of HDPE pipes C,O 27 Ns outlets etc",1.0,97958.0,ranjeet singh,INR,"1,889,606.1",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ii) Cost of tender form in the shape of Demand Draft work No. 1 of Rs.400/-. work No. 2 of Rs.250/-.,,,,,,,,,,2.0,BC - Bankers Cheque,AOC,,,,,,,,,,,,,,,,,,,2.0,97958.0,ranjeet singh,16-Oct-2018 03:19 PM,Accepted-AOC,accept,12-Apr-2021 04:15 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,iii) Certificate of Registration with IPH Department in appropriate class and latest renewal thereo,,,,,,,,,,3.0,SS - Small Savings Instrument,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"iv) Income Tax Sales Tax,GST registration and latest clearance certificate thereof.",,,,,,,,,,4.0,BG - Bank Guarantee,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,v) The list of works of the similar nature executed by the intending contractors/Firms along with p,,,,,,,,,,5.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,vii) Registration copy of EPF,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,viii) Copy of GST No,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ix) Undertaking,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form6,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
