S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,199586.0,SUNIL KUMAR,INR,"3,048,942.6","HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",2021_HPIPH_44436_1,THL-KNG05-729 (18492-18545 dated 16.02.2021),"Providing LWSS to PC habitation to Gharana khas , Alsa Badhrer Tamloh etc covered Under ( Jal Jeevan Mission ) LWSS Lahru Bhanwar in Tehsil Palampur Distt Kangra.( H.P.)",Executive Engineer JSV Division Thural,Internal,"DAO,AEtoEE,Supdtt,HDM",Anil Kumar,15-Mar-2021 05:12 PM,finsummary_66637.pdf (86.92 KB),Finance,BOQ downloaded successfully summary attached summary attached,Anil Kumar,15-Mar-2021 05:08 PM,finance_66637.pdf,BOQ Comparative Chart,Technical,4 Nos contractor/Firm documents downloaded successfully summary attached,Anil Kumar,15-Mar-2021 04:04 PM,technical_66637.pdf,22-Mar-2021,"INR 1,756,861",180.0,Anil Kumar,12-Apr-2021 01:50 PM,44436.pdf (54.00 KB),M/S Sharma Elect works Govt.Cont. VPO Sujanpur Doli. District Hamirpur HP.,Superintending Enginner JSV Circle Dharamshala,External,"CHD JSV Circle Dharamshala,AE JSV Circle Dharamshala,EE JSV Circle Dharamshala,EE JSV Division Thural,",Anil Kumar,15-Mar-2021 04:09 PM,15-Mar-2021 04:10 PM,techsummary_66637.pdf (1786.43 KB),1.0,199901.0,Bharat Engg and Suppliers,23-Feb-2021 03:01 AM,Rejected-AOC,accept,12-Apr-2021 01:51 PM,AOC,1.0,ICICI BANK,400.0,NIL,NIL,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid Documents and Earnest money etc Shall be deposited both through online mode ( E-Payme,"33,700",Yes,fixed,,NIL,NIL,Executive Engineer JSV Division Thural,O/O The Executive Engineer JSV Division Thural,"Providing LWSS to PC habitation to Gharana khas , Alsa Badhrer Tamloh etc covered Under ( Jal Jeevan Mission ) LWSS Lahru Bhanwar in Tehsil Palampur Distt Kangra.( H.P.)","Providing LWSS to PC habitation to Gharana khas , Alsa Badhrer Tamloh etc covered Under ( Jal Jeevan Mission ) LWSS Lahru Bhanwar in Tehsil Palampur Distt Kangra.( H.P.)",Please refer Tender documents. ,NA ,"17,45,617",Civil Works - Water Works,NA ,Tender,120.0,180.0,"Providing LWSS to PC habitation to Gharana khas ,",176107.0,NA ,NA ,NA ,O/O The Executive Engineer JSV Division Thural,No ,No,16-Feb-2021 06:00 PM,24-Feb-2021 11:30 AM,16-Feb-2021 06:00 PM,23-Feb-2021 05:00 PM,NA ,NA ,16-Feb-2021 06:00 PM,23-Feb-2021 05:00 PM,15-Mar-2021 04:10 PM,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",THL-KNG05-729 (18492-18545 dated 16.02.2021),2021_HPIPH_44436_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,199904.0,SANJAY SAINI,23-Feb-2021 07:07 AM,Rejected-AOC,accept,12-Apr-2021 01:51 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Certificate of Registration with IPH Department in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,199905.0,Sanjeev,23-Feb-2021 07:25 AM,Rejected-AOC,accept,12-Apr-2021 01:51 PM,AOC,,,,,,,,,.pdf,Income Tax and GST registration and latest clearance certificate thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,199586.0,SUNIL KUMAR,23-Feb-2021 11:30 AM,Accepted-AOC,accept,12-Apr-2021 01:51 PM,AOC,,,,,,,,,.pdf,The list of similar nature work done/ completed /work in progress with performance certificate d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Registration copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,An affidavit that any Government/Semi Government/Board/Corporation/ Private Organization etc h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Copy of authorization DSC be uploaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,The bidder must attach the curve chart of pumping machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Other conditions as per terms and conditions folder be required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
