Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Smti K Rajkhowa/Sri R Phatowali,Internal,Enclosed,Syed Nurul Hussain,01-Sep-2020 09:33 PM,02-Sep-2020 02:30 PM,techsummary_28193.pdf (559.28 KB),1.0,87064.0,SRI INDRANUJ KASHYAP,INR,1054830.0,Department of Handloom Textile and Sericulture||Directorate of Sericulture,2020_DHTS_18238_1,APA./Seri-OP./04/19-20/24/1849,"supply of Firm appliances, Inputs, Chemicals and Silkworm Rearing appliances in four districts of Assam under APART",1,87007,Allied Associates,22-Aug-2020 10:24 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Sep-2020 03:41 PM,Director,Internal,"Nodal Officer, Deputy Director, FAO",Kajori Rajkhowa,31-Mar-2021 03:57 PM,finsummary_28193.pdf (515.68 KB),01-Apr-2021,INR 2109660.0,45.0,Kajori Rajkhowa,01-Apr-2021 12:03 PM,scansupplyorderAsr.pdf (1721.00 KB),Minutes uploaded earlier financial bid opened. Pat contract awarded on 17.11.2020. As system not accepting so giving current date,Finance,Financial minutes attached herewith,Syed Nurul Hussain,23-Sep-2020 06:07 PM,finance_28193.pdf,BOQ Comparative Chart,Technical,Out of participating 10 nos. of firms 09 nos. of firm is found technically responsive. Minutes enclosed herewith.,Syed Nurul Hussain,01-Sep-2020 03:41 PM,technical_28193.pdf,AOC,Department of Handloom Textile and Sericulture||Directorate of Sericulture,APA./Seri-OP./04/19-20/24/1849,2020_DHTS_18238_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Not Applicable,No,No,No,0.0,No,fixed,,Nil,Nil,"supply of Firm appliances, Inputs, Chemicals and Silkworm Rearing appliances in four districts of Assam under APART","supply of Firm appliances, Inputs , Chemicals and Silkworm Rearing appliances in four districts of Assam under APART",Please refer e tender document ,NA ,,Farm Machinery and Equipments,Firm Appliances Inputs Chemicals ,Rate Contract,270.0,45.0,Assam,781022.0,NA ,NA ,NA ,"Directorate of Sericulture, Khanapara, Guwahati-22",No ,No,30-Jul-2020 05:00 PM,24-Aug-2020 01:00 PM,30-Jul-2020 06:00 PM,24-Aug-2020 12:30 PM,NA ,NA ,04-Aug-2020 09:00 AM,24-Aug-2020 12:30 PM,02-Sep-2020 02:30 PM,1.0,Fee/PreQual/Technical,.pdf,Tender document,"Director, Sericulture, Assam","Directorate of Sericulture, Khanapara, Guwahati-22",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,2,86873,DAL THOMS SCIENTIFIC,21-Aug-2020 02:07 PM,Rejected-AOC,Awarded to L1,01-Apr-2021 12:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Notice,,,,,,,AOC
,,,,,,,,,,,,,,,,3,86189,KG ENGINEERING AND CONSTRUCTION,24-Aug-2020 10:28 AM,Rejected-AOC,Awarded to L1,01-Apr-2021 12:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial document,,,,,,,AOC
,,,,,,,,,,,,,,,,4,87051,M/s Ashomi Associate,24-Aug-2020 01:32 AM,Rejected-AOC,Awarded to L1,01-Apr-2021 12:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,87052,M/s BIJOY KALITA,24-Aug-2020 11:03 AM,Rejected-AOC,Awarded to L1,01-Apr-2021 12:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,86790,M/S RENGONI,24-Aug-2020 10:55 AM,Rejected-AOC,Awarded to L1,01-Apr-2021 12:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,87074,Salasar Agro Service,24-Aug-2020 11:44 AM,Rejected-AOC,Awarded to L1,01-Apr-2021 12:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,87054,SAMAKSH ENTERPRISE,24-Aug-2020 11:22 AM,Rejected-AOC,Awarded to L1,01-Apr-2021 12:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,87064,SRI INDRANUJ KASHYAP,24-Aug-2020 11:12 AM,Accepted-AOC,"Part supply order, rest will be ordered soon",01-Apr-2021 12:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,87031,UNIMEX UDYOG,24-Aug-2020 09:14 AM,Rejected-AOC,Awarded to L1,01-Apr-2021 12:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
