Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
28-Apr-2021,"INR 3,773,627",90.0,Manoj Kumar Sehgal,28-Apr-2021 10:30 AM,Hatiaya.pdf (510.00 KB),AOC,Er. Manoj Sehgal,Internal,"XEN,Supdt. Gr-II, Account, HDM",Manoj Kumar Sehgal,28-Apr-2021 10:10 AM,finsummary_65732.pdf (258.61 KB),Er.Manoj Sehgal,Internal,"XEN,SUPDT,HDM",Manoj Kumar Sehgal,25-Feb-2021 10:04 AM,25-Feb-2021 11:00 AM,techsummary_65732.pdf (258.61 KB),PWD,2021_PWD_43991_1,PW-KMS-AB-NIT/2020-21-12267-69 dated 01.02.2021,Construction of Kainthalghatti to Hatiya road via Prod Mandir Km0/000 to 2/500 SH Formation cutting 5/7 mtr wide road Km 0/810 to 0/825 and 1/015 to 2/225,Technical,Technical Bid Opening Summary,Manoj Kumar Sehgal,24-Feb-2021 02:58 PM,technical_65732.pdf,1.0,199029.0,LOK CHAND,17-Feb-2021 09:44 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Feb-2021 02:58 PM,1.0,199027.0,Pawan Kumar,INR,"3,773,627",Finance,Summary of Technical Bid Evaluation,Manoj Kumar Sehgal,25-Feb-2021 11:59 AM,finance_65732.pdf,BOQ Comparative Chart,AOC,"45,500",No,fixed,,EE Kumarsain,Kumarsain,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),Construction of Kainthalghatti to Hatiya road via Prod Mandir Km0/000 to 2/500 SH Formation cutting 5/7 mtr wide road Km 0/810 to 0/825 and 1/015 to 2/225,Construction of Kainthalghatti to Hatiya road via Prod Mandir Km0/000 to 2/500 SH Formation cutting 5/7 mtr wide road Km 0/810 to 0/825 and 1/015 to 2/225,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,Executive Engineer,"Kumarsain Division, HP.PWD., Kumarsain",PWD,PW-KMS-AB-NIT/2020-21-12267-69 dated 01.02.2021,2021_PWD_43991_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,"1,500",EE Kumarsain,Kumarsain,No,1.0,DD - Demand Draft,11-Feb-2021 05:00 PM,19-Feb-2021 11:00 AM,11-Feb-2021 05:30 PM,18-Feb-2021 06:00 PM,NA ,NA ,11-Feb-2021 05:30 PM,18-Feb-2021 06:00 PM,25-Feb-2021 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,198877.0,Naveen Verma,18-Feb-2021 11:48 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Feb-2021 02:58 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,199027.0,Pawan Kumar,17-Feb-2021 09:52 PM,Accepted-AOC,Accept,28-Apr-2021 10:30 AM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,199087.0,Rakesh Kumar,18-Feb-2021 12:50 PM,Rejected-Finance,Due to 2nd Lowest bedder,28-Apr-2021 10:10 AM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Form No. 8 (Refer General Rule No 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
