Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
ErSudhirGupta,Internal,ShAmarSinghVermaHDMShManojkumarsupdtShSureshKumarJrAssistant,Sudhir Kumar Gupta,19-Apr-2021 03:47 PM,finsummary_65776.pdf (528.80 KB),19-Apr-2021,"INR 4,989,218",90.0,Sudhir Kumar Gupta,19-Apr-2021 03:48 PM,AOC44012_1.pdf (991.00 KB),AOC,PWD,2021_PWD_44012_1,SD-I-CTR-Tender-2020-21- 21536 dated 27-01-2021,Widening and Improvement of MRR via Chotta Shimla km 140/00 to 156/640 (SH Breast wall and Protection work between Rd 149/520 to 149/570(Under Smart City,ErSudhirGupta,Internal,ShAmarSinghVermaHDMShManojKumarSupdtShVaibhavJindalDAO,Sudhir Kumar Gupta,05-Mar-2021 09:00 AM,05-Mar-2021 02:00 PM,techsummary_65776.pdf (94.69 KB),1.0,199580.0,Sukh Dev,INR,"6,699,233",Finance,Bid opening summary,Sudhir Kumar Gupta,06-Mar-2021 03:27 PM,finance_65776.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Sudhir Kumar Gupta,03-Mar-2021 02:48 PM,technical_65776.pdf,1.0,200773.0,DALEEP TOMAR,02-Mar-2021 01:51 PM,Rejected-Finance,4 Lowest,19-Apr-2021 03:47 PM,AOC,PWD,SD-I-CTR-Tender-2020-21- 21536 dated 27-01-2021,2021_PWD_44012_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,date corrigendum,Date,,"2,000",Nil,Nil,No,"Executive Engineer Shimla Division No-I,HPPWD Shim","Executive Engineer Shimla Division No-I,HPPWD Shimla-3",1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),"82,400",No,fixed,,Nil,Nil,05-Feb-2021 06:00 PM,03-Mar-2021 11:00 AM,05-Feb-2021 06:00 PM,02-Mar-2021 04:00 PM,NA ,NA ,05-Feb-2021 06:00 PM,02-Mar-2021 04:00 PM,05-Mar-2021 02:00 PM,Widening and Improvement of MRR via Chotta Shimla km 140/00 to 156/640 (SH Breast wall and Protection work between Rd 149/520 to 149/570(Under Smart City,Widening and Improvement of MRR via Chotta Shimla km 140/00 to 156/640 (SH Breast wall and Protection work between Rd 149/520 to 149/570(Under Smart City,As Per SBD ,NA ,,Civil Works,NA ,Tender,120.0,90.0,Shimla,171003.0,NA ,NA ,NA ,"Executive Engineer Shimla Division No-I,HPPWD Shim",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,200772.0,DASU RAM,02-Mar-2021 01:16 PM,Rejected-Finance,3rd Lowest,19-Apr-2021 03:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,EMD with UTR No (As per schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,200516.0,Sanjeev Kumar Aggarwal,02-Mar-2021 03:22 PM,Rejected-Finance,2nd Lowest,19-Apr-2021 03:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,199580.0,Sukh Dev,26-Feb-2021 06:09 PM,Accepted-AOC,Awarded,19-Apr-2021 03:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 counter signed by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.28.2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
