Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Tender Stage
23-Apr-2021,"INR 3,295,974",120.0,Ajay Kumar Soni,23-Apr-2021 04:52 PM,44762_1.pdf (459.00 KB),AOC,ER.A.K.SONI,Internal,Sh. Padam Sharma. Sh.R.S.Thakur. Sh.Naresh Kumar,Ajay Kumar Soni,05-Mar-2021 12:13 PM,finsummary_67209.pdf (99.11 KB),ER.A.K.SONI,Internal,Sh. Padam Sharma. Sh.R.S.Thakur. Sh.Naresh Kumar,Ajay Kumar Soni,04-Mar-2021 02:15 PM,05-Mar-2021 11:00 AM,techsummary_67209.pdf (123.48 KB),PWD,2021_PWD_44762_1,SD-III-CB-TENDER/20-21-29575 dated 20-02-21,Special Repair to Armsdale Building at H.P. Secretariat Shimla-2 (SH- Renovation of General Toilet (Ladies and Gents) in Armsdale building Phase-I.),Technical,Bid opening summary,Ajay Kumar Soni,04-Mar-2021 11:29 AM,technical_67209.pdf,1.0,201452.0,Aditya Jaiswal,03-Mar-2021 12:49 PM,Rejected-AOC,L2,23-Apr-2021 04:52 PM,Finance,Bid opening summary,Ajay Kumar Soni,05-Mar-2021 12:06 PM,finance_67209.pdf,BOQ Comparative Chart,1.0,201267.0,FURKAN AHEMED,INR,"3,389,465",AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),Special Repair to Armsdale Building at H.P. Secretariat Shimla-2 (SH- Renovation of General Toilet (Ladies and Gents) in Armsdale building Phase-I.),Special Repair to Armsdale Building at H.P. Secretariat Shimla-2 (SH- Renovation of General Toilet (Ladies and Gents) in Armsdale building Phase-I.),As per bidding documents ,NA ,,Civil Works,NA ,Tender,120.0,120.0,Chotta Shimla,171002.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,"57,000",No,fixed,,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,24-Feb-2021 05:00 PM,04-Mar-2021 11:00 AM,24-Feb-2021 05:00 PM,03-Mar-2021 05:00 PM,NA ,NA ,24-Feb-2021 05:00 PM,03-Mar-2021 05:00 PM,05-Mar-2021 11:00 AM,PWD,SD-III-CB-TENDER/20-21-29575 dated 20-02-21,2021_PWD_44762_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"1,500","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,No,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,201267.0,FURKAN AHEMED,02-Mar-2021 12:29 PM,Accepted-AOC,L1,23-Apr-2021 04:52 PM,,,,,,,,,,,,AOC,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,HP.PWD Form No-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
