Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,3 Nos documents downloaded successfully summary attached,Anil Kumar,27-Oct-2020 03:52 PM,technical_60730.pdf,Finance,BOQ Downloaded successfully summary attached,Anil Kumar,27-Oct-2020 04:42 PM,finance_60730.pdf,BOQ Comparative Chart,30-Dec-2020,"INR 2,490,550",180.0,Anil Kumar,12-Apr-2021 12:12 PM,41163.pdf (53.00 KB),Sh. Sanjay Saini Govt. Cont. VPO Mansimble Tehsil Palampur District Kangra (HP),1.0,181032.0,Pawan Virmani,04-Oct-2020 08:38 PM,Rejected-AOC,accept,12-Apr-2021 12:13 PM,Executive Engineer JSV Division Thural,Internal,"Tender Asstt,Supdtt,DAO,AEtoEE",Anil Kumar,27-Oct-2020 03:54 PM,27-Oct-2020 04:00 PM,techsummary_60730.pdf (860.68 KB),1.0,180986.0,SANJAY SAINI,INR,"2,578,100","HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",2020_HPIPH_41163_1,THL-KNG05-729 (9846-92 dated 28.09.2020),Providing LIS Kuhan Dol in Tehsil Jaisinghpur Distt. Kangra HP,Executive Engineer JSV Division Thural,Internal,"Tender Asstt,Suptt,DAO,HDM",Anil Kumar,27-Oct-2020 04:44 PM,finsummary_60730.pdf (860.68 KB),AOC,28-Sep-2020 05:00 PM,06-Oct-2020 11:30 AM,28-Sep-2020 05:00 PM,05-Oct-2020 05:00 PM,NA ,NA ,28-Sep-2020 05:00 PM,05-Oct-2020 05:00 PM,27-Oct-2020 04:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid Documents and Earnest money etc Shall be deposited both through online mode ( E-Payme,"34,215",Yes,fixed,,NIL,NIL,Executive Engineer JSV Division Thural,O/O The Executive Engineer JSV Division Thural,Providing LIS Kuhan Dol in Tehsil Jaisinghpur Distt. Kangra HP,Providing LIS Kuhan Dol in Tehsil Jaisinghpur Distt. Kangra HP,Please refer Tender documents. ,NA ,"17,80,725",Civil Works - Lift Irrigation Schemes,NA ,Tender,120.0,180.0,Providing LIS Kuhan Dol in Tehsil Jaisinghpur Dist,176107.0,NA ,NA ,NA ,O/O The Executive Engineer JSV Division Thural,No ,No,400.0,NIL,NIL,No,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",THL-KNG05-729 (9846-92 dated 28.09.2020),2020_HPIPH_41163_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC
,,,,,,,,,,,,,,,,,,2.0,181097.0,RAJE ENGINNERING WORKS,05-Oct-2020 03:26 PM,Rejected-AOC,accept,12-Apr-2021 12:13 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Certificate of Registration with IPH Department in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,3.0,180986.0,SANJAY SAINI,05-Oct-2020 07:08 AM,Accepted-AOC,accept,12-Apr-2021 12:13 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Income Tax and GST registration and latest clearance certificate thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,The list of similar nature work done/ completed /work in progress with performance certificate d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Registration copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,An affidavit that any Government/Semi Government/Board/Corporation/ Private Organization etc h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Copy of authorization DSC be uploaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Other conditions as per terms and conditions folder be required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,The bidder must attach the curve chart of pumping machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
