Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
14-Aug-2020 05:00 PM,25-Aug-2020 11:30 AM,14-Aug-2020 05:00 PM,24-Aug-2020 05:00 PM,NA ,NA ,14-Aug-2020 05:00 PM,24-Aug-2020 05:00 PM,11-Sep-2020 12:45 PM,1.0,ICICI BANK,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",THL-KNG05-729 ( 6172-6224 dated 13.08.2020),2020_HPIPH_39857_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid Documents and Earnest money etc Shall be deposited both through online mode ( E-Payme,Executive Engineer JSV Division Thural,O/O The Executive Engineer JSV Division Thural,400.0,NIL,NIL,No,"36,750",Yes,fixed,,NIL,NIL,"Providing LWSS to PC habitation to village Dabhi, Och Khurd covered under (JJM) in Tehsil Jaisinghpur Distt. Kangra HP","Providing LWSS to PC habitation to village Dabhi, Och Khurd covered under (JJM) in Tehsil Jaisinghpur Distt. Kangra HP",Please refer Tender documents. ,NA ,"19,50,000",Civil Works - Water Works,NA ,Tender,120.0,180.0,"Providing LWSS to PC habitation to village Dabhi,",176107.0,NA ,NA ,NA ,O/O The Executive Engineer JSV Division Thural,No ,No,AOC,1.0,174065.0,sadeep kumar,23-Aug-2020 02:05 PM,Rejected-AOC,accept,06-Apr-2021 05:49 PM,Superintending Enginner JSV Circle Dharamshala,External,"CHD JSV Circle Dharamshala,EE(D) JSV Circle Dharamshala,EE JSV Division Thural",Anil Kumar,11-Sep-2020 12:43 PM,11-Sep-2020 12:45 PM,techsummary_58826.pdf (712.30 KB),Technical,3 Nos contractor/Firms documents downloaded successfully summary attached,Anil Kumar,11-Sep-2020 12:41 PM,technical_58826.pdf,Finance,BOQ downloaded successfully summary attached,Anil Kumar,11-Sep-2020 01:19 PM,finance_58826.pdf,BOQ Comparative Chart,29-Oct-2020,"INR 2,246,300",180.0,Anil Kumar,06-Apr-2021 05:49 PM,39857.pdf (54.00 KB),Sh. Sanjay Saini Govt. Cont. VPO Mansimble Tehsil Palampur District Kangra (HP).,Executive Engineer JSV Division Thural,Internal,Executive Engineer JSV Division Thural,Anil Kumar,11-Sep-2020 01:22 PM,finsummary_58826.pdf (84.98 KB),"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",2020_HPIPH_39857_1,THL-KNG05-729 ( 6172-6224 dated 13.08.2020),"Providing LWSS to PC habitation to village Dabhi, Och Khurd covered under (JJM) in Tehsil Jaisinghpur Distt. Kangra HP",1.0,174684.0,SANJAY SAINI,INR,"2,246,300",AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Certificate of Registration with IPH Department in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,174684.0,SANJAY SAINI,23-Aug-2020 06:56 PM,Accepted-AOC,accept,06-Apr-2021 05:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax and GST registration and latest clearance certificate thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,174786.0,SUNIL KUMAR,24-Aug-2020 02:18 PM,Rejected-AOC,accept,06-Apr-2021 05:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The list of similar nature work done/ completed /work in progress with performance certificate d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that any Government/Semi Government/Board/Corporation/ Private Organization etc h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of authorization DSC be uploaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other conditions as per terms and conditions folder be required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidder must attach the curve chart of pumping machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
