Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
Executive Engineer,Internal,"Executive Engineer, Supdt G-II, HDM, Sr. Assistant",R.K Dhiman,09-Apr-2021 02:19 PM,finsummary_69106.pdf (208.83 KB),27-Apr-2021,"INR 647,258",30.0,R.K Dhiman,30-Apr-2021 02:42 PM,Award.pdf (450.00 KB),Award,PWD,2021_PWD_45909_1,Periodical Maintenance Galu Bhoda Shivnagar Road,Periodical Maintenance Of Road From Galu Bhoda Shivnagar Road under AMP 2019-20 (Village road) DRRP No.HP0414VR004019113,Executive Engineer,Internal,"Executive Engineer, Supdt. G-II, HDM, Sr. Assistant",R.K Dhiman,07-Apr-2021 04:18 PM,08-Apr-2021 11:30 AM,techsummary_69106.pdf (275.67 KB),1.0,206388.0,Kulvinder,INR,"914,946",Finance,Summary,R.K Dhiman,09-Apr-2021 02:17 PM,finance_69106.pdf,BOQ Comparative Chart,Technical,Summary,R.K Dhiman,07-Apr-2021 04:16 PM,technical_69106.pdf,1.0,206120.0,G.P.ACHARYA,28-Mar-2021 02:03 PM,Rejected-Technical,Non Responsive,07-Apr-2021 04:18 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,PWD,Periodical Maintenance Galu Bhoda Shivnagar Road,2021_PWD_45909_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"13,000",No,fixed,,Nil,Nil,Executive Engineer,Executive Engineer HP PWD Division Jaisinghpur,24-Mar-2021 03:00 PM,30-Mar-2021 11:30 AM,24-Mar-2021 03:00 PM,29-Mar-2021 05:00 PM,NA ,NA ,24-Mar-2021 03:00 PM,29-Mar-2021 05:00 PM,08-Apr-2021 11:30 AM,350.0,Nil,Nil,No,Periodical Maintenance Of Road From Galu Bhoda Shivnagar Road under AMP 2019-20 (Village road) DRRP No.HP0414VR004019113,Providing and laying 25 mm thick Bitumen concrete i/c profile correction laying with paver finisher in Km 12/00 to 13/0 (Addl. Kms,Please refer Tender documents. ,NA ,"6,47,258",Civil Works - Roads,NA ,Tender,120.0,30.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,206388.0,Kulvinder,29-Mar-2021 10:35 AM,Accepted-AOC,Accepted due to lowest rates bidder L1,30-Apr-2021 02:42 PM,AOC,,,.pdf,GST/PAN/ EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,206558.0,SONI THAKUR,29-Mar-2021 02:49 PM,Rejected-Technical,Non Responsive,07-Apr-2021 04:18 PM,AOC,,,.pdf,Work done detail / work in hand in last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,206384.0,VINOD KUMAR,27-Mar-2021 03:33 PM,Rejected-AOC,Rejected due to higher rates bidder L2,30-Apr-2021 02:42 PM,AOC,,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost in similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Cost of tender form (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
