Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
29-Jan-2021,"INR 3,259,065",365.0,Anil Kumar,06-Apr-2021 03:55 PM,42109.pdf (53.00 KB),Sh. Sanjay Saini Govt. Cont. VPO Mansimble Tehsil Palampur District Kangra (HP),Finance,BOQ Downloaded sucessfully summary attached,Anil Kumar,11-Dec-2020 02:34 PM,finance_62197.pdf,BOQ Comparative Chart,Technical,3 Nos contractor/Firms documents downloaded successfully summary attached,Anil Kumar,11-Dec-2020 01:15 PM,technical_62197.pdf,Superintending Enginner JSV Circle Dharamshala,External,"Executive Engineer JSV Circle Dharamshala,Assistant Engineer JSV Circle Dharamshala,Executive Engineer JSV Division Thural,",Anil Kumar,11-Dec-2020 01:19 PM,11-Dec-2020 01:30 PM,techsummary_62197.pdf (1184.42 KB),1.0,185720.0,RAJE ENGINNERING WORKS,09-Nov-2020 10:06 AM,Rejected-AOC,Accept,06-Apr-2021 03:55 PM,1.0,185691.0,SANJAY SAINI,INR,"3,543,770.4","HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",2020_HPIPH_42109_1,THL-KNG05-729 (12227-12282 dated 02.11.2020),"C,O Rain Water Harvesting Structure on Mandh Khad with Providing Irrigation Facilities to adjoining area in Tehsil Jaisinghpur Distt Kangra.( H.P.)",Superintending Enginner JSV Circle Dharamshala,External,"EE JSV Circle Dharamshala,AE JSV Circle Dharamshala, EE JSV Division Thural",Anil Kumar,11-Dec-2020 02:38 PM,finsummary_62197.pdf (1184.42 KB),AOC,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",THL-KNG05-729 (12227-12282 dated 02.11.2020),2020_HPIPH_42109_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,02-Nov-2020 05:00 PM,10-Nov-2020 11:30 AM,02-Nov-2020 05:00 PM,09-Nov-2020 05:00 PM,NA ,NA ,02-Nov-2020 05:00 PM,09-Nov-2020 05:00 PM,11-Dec-2020 01:30 PM,400.0,NIL,NIL,No,"58,850",Yes,fixed,,NIL,NIL,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid Documents and Earnest money etc Shall be deposited both through online mode ( E-Payme,"C,O Rain Water Harvesting Structure on Mandh Khad with Providing Irrigation Facilities to adjoining area in Tehsil Jaisinghpur Distt Kangra.( H.P.)","C,O Rain Water Harvesting Structure on Mandh Khad with Providing Irrigation Facilities to adjoining area in Tehsil Jaisinghpur Distt Kangra.( H.P.)",Please refer Tender documents. ,NA ,"32,89,618",Civil Works - Lift Irrigation Schemes,NA ,Tender,120.0,365.0,"C,O Rain Water Harvesting Structure on Mandh Khad",176107.0,NA ,NA ,NA ,O/O The Executive Engineer JSV Division Thural,No ,No,Executive Engineer JSV Division Thural,O/O The Executive Engineer JSV Division Thural,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,185691.0,SANJAY SAINI,08-Nov-2020 05:23 PM,Accepted-AOC,Accept,06-Apr-2021 03:55 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Certificate of Registration with IPH Department in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,185695.0,Sanjeev,08-Nov-2020 07:00 PM,Rejected-AOC,Accept,06-Apr-2021 03:55 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax and GST registration and latest clearance certificate thereof,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The list of similar nature work done/ completed /work in progress with performance certificate d,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration copy of EPF,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that any Government/Semi Government/Board/Corporation/ Private Organization etc h,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of authorization DSC be uploaded,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other conditions as per terms and conditions folder be required,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidder must attach the curve chart of pumping machinery,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
