Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage
Finance,Minutes of the meeting,Mahammad Ali,31-May-2018 01:38 PM,finance_9332.pdf,Deputy Commissioner Hojai,Internal,"Additional Deputy Commissioner, Asstt. Director FCS and CA, Treasury Officer, Asstt. Registrar Co-operartive Societies, District Transport Officer, Nagaon",Mahammad Ali,16-May-2018 02:27 PM,16-May-2018 02:35 PM,techsummary_9332.pdf (925.83 KB),Deputy Commissioner Hojai Sankardev Nagar,Internal,"Addl Deputy Commissioner, Assistant Director i/c, FCS and CA, DTO, Treasury Officer, Asstt Registrar Cooperative Societies",Mahammad Ali,31-May-2018 01:44 PM,finsummary_9332.pdf (1288.50 KB),Food Civil Supplies and Consumer Affairs Department||Directorate of Food Civil Supplies and Consumer Affairs||Office of the FCS and CA Hojai,2018_FCS_6066_1,HJS/Etender/II/2016/104 dated 26-2-2018,Transportation of Food grains rice under NFSA 2013 of Hojai District,1.0,31212.0,NISHIKA ROADLINES,INR,42000000.0,31-Mar-2019,INR 4.8E+7,365.0,Mahammad Ali,31-May-2018 01:52 PM,AOC.pdf (1288.00 KB),Approximate Value of E-tender for Hojai District. It may be increase or decrease.,Technical,Minutes of Technical Bid,Mahammad Ali,16-May-2018 02:19 PM,technical_9332.pdf,1,32458,ABDUL KADIR,20-Mar-2018 02:38 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-May-2018 02:19 PM,AOC,"2,000","Deputy Commissioner, Hojai","Hojai, Sankardev Nagar",No,1.0,Fee/PreQual/Technical,.pdf,Tender fee and EMD,"Deputy Commissioner, Hojai","Office of the Deputy Commissioner, Hojai, Sankardev Nagar.",Transportation of Food grains rice under NFSA 2013 of Hojai District,Handling and transport contractor and fixation of rate for transportation of food grains under NFSA in II tier in system in respect of Hojai District for the financial year 2018-19.,Transportation of Food grains rice under NFSA 2013 of Hojai District ,NA ,0.0,Miscellaneous Goods,Handling And Transport Of Nfsa Rice ,Tender,365.0,365.0,"Deputy Commissioner, Hojai, Sankardev Nagar",782442.0,NA ,NA ,NA ,"Deputy Commissioner, Hojai, Sankardev Nagar",No ,No,28-Feb-2018 02:30 PM,21-Mar-2018 11:30 AM,28-Feb-2018 03:00 PM,20-Mar-2018 05:00 PM,NA ,NA ,28-Feb-2018 04:00 PM,20-Mar-2018 05:00 PM,16-May-2018 02:35 PM,Food Civil Supplies and Consumer Affairs Department||Directorate of Food Civil Supplies and Consumer Affairs||Office of the FCS and CA Hojai,HJS/Etender/II/2016/104 dated 26-2-2018,2018_FCS_6066_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,"1,00,000",No,fixed,,"Deputy Commissioner, Hojai","Hojai, Sankardev Nagar",1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,32191.0,M/S Janakalyan Samabai Samiti LTD.,INR,4000000.0,,,,,,,,,,,,,2,32416,Bikash Kumar More,20-Mar-2018 12:26 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-May-2018 02:19 PM,AOC,,,,,,,.pdf,Bidding documents signed by bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,32247.0,VICTOR BOSE,INR,2000000.0,,,,,,,,,,,,,3,32464,MD SAIF UDDIN,20-Mar-2018 04:03 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-May-2018 02:19 PM,AOC,,,,,,,.pdf,Technical qualification of bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,32191,M/S Janakalyan Samabai Samiti LTD.,19-Mar-2018 03:41 PM,Accepted-AOC,Financially awarded,31-May-2018 01:53 PM,AOC,,,,,,,.pdf,Security deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,31212,NISHIKA ROADLINES,20-Mar-2018 01:25 PM,Accepted-AOC,Financially awarded,31-May-2018 01:53 PM,AOC,,,,,2.0,Finance,.pdf,Price bid / financial bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,32405,PIKLU DAS,20-Mar-2018 09:42 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-May-2018 02:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,32460,Sristy Development Society,20-Mar-2018 03:51 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-May-2018 02:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,32386,Susar Kanti Mazumdar,19-Mar-2018 09:54 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-May-2018 02:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,32247,VICTOR BOSE,19-Mar-2018 04:17 PM,Accepted-AOC,Financially awarded,31-May-2018 01:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,32419,WACHILOR RAHMAN,20-Mar-2018 04:46 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-May-2018 02:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
