Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Tender Stage
Social Welfare Department||Directorate of Social Welfare - SWD,2016_SWD_1201_1,No.DSW(ICDS)G/59/2016/12 dtd. 9/11/2016,Uniform Chadar and Mekhela to 12873 AWWs and 12265 AWHs,1,6458,Aman Udyog Private Limited,09-Dec-2016 01:07 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-May-2017 02:10 PM,AOC,Social Welfare Department||Directorate of Social Welfare - SWD,No.DSW(ICDS)G/59/2016/12 dtd. 9/11/2016,2016_SWD_1201_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,"3,01,656",No,percentage,2.0%,Director Social Welfare Assam,Guwahati,Director Social Welfare Assam,Bal Bhawan M.G. Road Uzan Bazar Guwahati 781001,10-Nov-2016 10:00 AM,22-Dec-2016 11:00 AM,10-Nov-2016 11:00 AM,20-Dec-2016 03:00 PM,NA ,NA ,10-Nov-2016 12:00 PM,20-Dec-2016 03:00 PM,08-May-2017 11:00 AM,Uniform Chadar and Mekhela to 12873 AWWs and 12265 AWHs,"Supply of Uniform to AWWs and AWHs of the General Areas of district Lakhimpur, Sonitpur, Darrang, Kamrup(M), Kamrup",Please refer Tender documents. ,NA ,"1,50,82,800",Uniforms/Curtains/Clothes,NA ,Tender,45.0,60.0,Guwahati,781001.0,Directorate Social Welfare Assam ,Bal Bhawan M.G. Road Uzan Bazar Guwahati 781001 ,21-Nov-2016 02:00 PM ,Directorate Social Welfare Assam,No ,No,"5,000",Director Social Welfare Assam,Guwahati,No,1.0,Date Extension 2016_SWD_1201_1,Date,,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,1.0,DD - Demand Draft,AOC
,,,,2,6288,ASSAM GOVERNMENT MARKETING CORPORATION LIMITED,08-Dec-2016 02:51 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-May-2017 02:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum for Uniform Chadar and Mekhela to 12873 AWWs and 12265 AWHs,Technical Bid,,,,.pdf,Technical Qualification Details,2.0,BC - Bankers Cheque,AOC
,,,,3,6683,AUNTYS CREATION,20-Dec-2016 04:31 AM,Rejected-Finance,Rejected in technical evaluation details in minutes,03-Jun-2017 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,AOC
,,,,4,6381,B K ENTERPRISE,20-Dec-2016 02:17 AM,Rejected-AOC,As Per TIA,20-Jun-2018 04:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,5,6697,INDUSON OVERSEAS,20-Dec-2016 02:20 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-May-2017 02:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,6,6698,J D DREAMZ,20-Dec-2016 12:51 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-May-2017 02:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,7,6448,Karma Enterprise,20-Dec-2016 11:45 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-May-2017 02:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,8,6676,KRISHNA ENTERPRISE,20-Dec-2016 12:22 PM,Rejected-Finance,Rejected in technical evaluation details in minutes,03-Jun-2017 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,9,6625,MEGHALIS SILK,18-Dec-2016 06:36 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-May-2017 02:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,10,6205,M/S B.M. ENTERPRISE,06-Dec-2016 08:22 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-May-2017 02:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
