Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
IM at Konwargaon Pk-1,Immediate measures to T/Dyke along the R/Bank of river Buridehing from Deochalli Hill to Tipling Ghat (Ph-I) (Flood Restoration work at Konwar Gaon) for 2017-18,Please refer Tender documents. ,NA ,"94,05,582",Civil Works,NA ,Tender,180.0,60.0,Dibrugarh,786001.0,NA ,NA ,NA ,O/O Chief Engineer Water Resources Department Chan,No ,No,09-Feb-2018 06:00 PM,19-Feb-2018 02:05 PM,09-Feb-2018 06:05 PM,19-Feb-2018 02:00 PM,NA ,NA ,14-Feb-2018 10:00 AM,19-Feb-2018 02:00 PM,26-Feb-2018 11:45 AM,"2,000","The Executive Engineer, Dibrugarh W.R. Division",Dibrugarh,No,Chief Engineer,O/O Chief Engineer Water Resources Department Chandmari,"1,88,112",Yes,percentage,2.0%,"The Executive Engineer, Dibrugarh W.R. Division",Dibrugarh,Department of Water Resources||Chief Engineer - DoWR,DIBRUGARH/SDRF/17-18/4,2018_DoWR_5687_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,1.0,Fee,.pdf,Cost of Tender and EMD,1.0,DD - Demand Draft,AOC,1.0,Tender Revoked,REVOKED to rectify technical error,24-Feb-2018 05:29 PM,revoke.pdf ,199.17,Technical Opening,1,29690,AHSANUL MAZID,17-Feb-2018 08:40 PM,Accepted-AOC,proper,21-Jun-2018 03:00 PM,Technical,Financial bid of the successful bidder may be opened,Priyanka Bora,24-Feb-2018 05:39 PM,technical_8791.pdf,A. Kalita,Internal,"S. Deka, G.C. Sarma, D. Pegu",Priyanka Bora,26-Feb-2018 11:42 AM,26-Feb-2018 11:45 AM,techsummary_8791.pdf (54.61 KB),Department of Water Resources||Chief Engineer - DoWR,2018_DoWR_5687_1,DIBRUGARH/SDRF/17-18/4,IM at Konwargaon Pk-1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Technical Documents,2.0,BC - Bankers Cheque,AOC,,,,,,,,2,29613,ANANGA MOHAN SARMA,17-Feb-2018 11:47 AM,Accepted-AOC,proper,21-Jun-2018 03:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,3.0,BG - Bank Guarantee Irrevocable,AOC,,,,,,,,3,29872,Ankuran Adhyapak,19-Feb-2018 01:46 PM,Rejected-AOC,official,21-Jun-2018 03:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,AOC,,,,,,,,4,29755,Arabinda Phukan,18-Feb-2018 03:18 PM,Rejected-AOC,official,21-Jun-2018 03:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,DCR - Deposit at call receipt,AOC,,,,,,,,5,29661,Bibhuti Phukan,17-Feb-2018 07:43 PM,Accepted-AOC,proper,21-Jun-2018 03:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,29704,KAVIYA ENTERPRISE BARNABH ENTERPRISE JV,17-Feb-2018 11:04 PM,Accepted-AOC,proper,21-Jun-2018 03:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,29905,LILAJYOTI PHUKAN - SUNIT PHUKAN- JV,19-Feb-2018 11:41 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,24-Feb-2018 05:39 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,29277,M/S BISWAJIT BORAH,16-Feb-2018 12:19 PM,Not Admitted-Finance,Price Bid not complied,13-Mar-2018 12:48 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,29571,M/S BOLIN DOWERAH,16-Feb-2018 08:35 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,24-Feb-2018 05:39 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,29773,PRADYUT GOSWAMI,18-Feb-2018 05:40 PM,Accepted-AOC,proper,21-Jun-2018 03:00 PM,,,,,,,,,,,,,,,,,AOC
