Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,Updated CS may be prepared,Priyanka Bora,14-Jun-2018 05:18 PM,finance_8580.pdf,BOQ Comparative Chart,1.0,28955.0,RANJAN DUTTA,INR,2684658.0,Technical,Financial bid of the successful bidder may be opened,Priyanka Bora,14-Feb-2018 07:49 PM,technical_8580.pdf,1,28963,INAMUL MAZID,12-Feb-2018 09:49 PM,Accepted-AOC,Proper,14-Jun-2018 05:25 PM,A. Kalita,Internal,"S. Deka, G. C. Sarma, D. Pegu",Priyanka Bora,14-Feb-2018 07:51 PM,15-Feb-2018 09:00 AM,techsummary_8580.pdf (54.61 KB),Department of Water Resources||Chief Engineer - DoWR,2018_DoWR_5531_1,DIBRUGARH/SDRF/17-18/1,IM of Tengakhat PK-1,14-Jun-2018,INR 23794237.59,60.0,Priyanka Bora,14-Jun-2018 05:25 PM,tengakhat1_aoc.pdf (1695.00 KB),Immediate measures to extension of Tengakhat bund on the R/B of river Buridehing from Jokai R.F to A.T. road at Borbeel village for 2017-18,A. Kalita,Internal,"G. C. Sarma, D. Pegu",Priyanka Bora,14-Jun-2018 05:21 PM,finsummary_8580.pdf (54.61 KB),AOC,IM of Tengakhat PK-1,Immediate measures to extension of Tengakhat bund on the R/B of river Buridehing from Jokai R.F to A.T. road at Borbeel village for 2017-18,Please refer Tender documents. ,NA ,"2,37,94,237",Civil Works,NA ,Tender,180.0,60.0,Dibrugarh,786001.0,NA ,NA ,NA ,O/O Chief Engineer Water Resources Department Chan,No ,No,Chief Engineer,O/O Chief Engineer Water Resources Department Chandmari,"4,75,885",Yes,percentage,2.0%,"The Executive Engineer, Dibrugarh W.R. Division",Dibrugarh,1.0,Fee,.pdf,Cost of Tender and EMD,1.0,DD - Demand Draft,05-Feb-2018 06:00 PM,14-Feb-2018 02:05 PM,05-Feb-2018 06:05 PM,14-Feb-2018 02:00 PM,NA ,NA ,09-Feb-2018 10:00 AM,14-Feb-2018 02:00 PM,15-Feb-2018 09:00 AM,Department of Water Resources||Chief Engineer - DoWR,DIBRUGARH/SDRF/17-18/1,2018_DoWR_5531_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,"5,000","The Executive Engineer, Dibrugarh W.R. Division",Dibrugarh,No,AOC
,,,,,,2.0,28963.0,INAMUL MAZID,INR,2684658.0,,,,,,2,29009,KAVIYA ENTERPRISE BARNABH ENTERPRISE JV,13-Feb-2018 03:00 AM,Rejected-AOC,Official,14-Jun-2018 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Technical Documents,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3.0,29106.0,UNF ENGINEERS INDIA PRIVATE LIMITED,INR,2684723.0,,,,,,3,29141,MOTLIB ALI,13-Feb-2018 07:07 PM,Accepted-AOC,Proper,14-Jun-2018 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4.0,29120.0,Rizwan Ansari,INR,2684625.0,,,,,,4,29146,M/S BOLIN DOWERAH,13-Feb-2018 08:40 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,14-Feb-2018 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5.0,29139.0,Utpal Gogoi,INR,2684527.0,,,,,,5,28955,RANJAN DUTTA,12-Feb-2018 09:31 PM,Accepted-AOC,Proper,14-Jun-2018 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6.0,29141.0,MOTLIB ALI,INR,2684691.0,,,,,,6,29120,Rizwan Ansari,13-Feb-2018 04:33 PM,Accepted-AOC,Proper,14-Jun-2018 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7.0,29152.0,SURESH KUMAR AGARWALLA ROYAL TRADING TRIBENI DAS - JV,INR,2684592.0,,,,,,7,29171,SRI SUDIP KUMAR DAS,14-Feb-2018 10:46 AM,Not Admitted-Fee,Insufficient Fee amount,14-Feb-2018 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8.0,29156.0,UTTAM BORAH,INR,2621150.0,,,,,,8,29152,SURESH KUMAR AGARWALLA ROYAL TRADING TRIBENI DAS - JV,14-Feb-2018 12:14 AM,Accepted-AOC,Proper,14-Jun-2018 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,29106,UNF ENGINEERS INDIA PRIVATE LIMITED,13-Feb-2018 09:30 PM,Accepted-AOC,Proper,14-Jun-2018 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,29139,Utpal Gogoi,14-Feb-2018 11:07 AM,Accepted-AOC,Proper,14-Jun-2018 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,29156,UTTAM BORAH,13-Feb-2018 08:53 PM,Accepted-AOC,Proper,14-Jun-2018 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
