Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
IM at Konwargaon PK-2,Immediate measures to T/dyke along the R/Bank of river Buridehing from Deochalli hill to Tipling ghat (Ph-I)(Flood Restoration work at Konwar gaon)for 2017-18,Please refer Tender documents. ,NA ,"9,06,087",Civil Works,NA ,Tender,180.0,60.0,Dibrugarh,786001.0,NA ,NA ,NA ,O/O Chief Engineer Water Resources Department Chan,No ,No,1.0,DD - Demand Draft,1.0,Fee,.pdf,Cost of Tender and EMD,Chief Engineer,O/O Chief Engineer Water Resources Department Chandmari,"18,122",Yes,percentage,2.0%,"The Executive Engineer, Dibrugarh W.R. Division",Dibrugarh,09-Feb-2018 06:00 PM,19-Feb-2018 02:05 PM,09-Feb-2018 06:05 PM,19-Feb-2018 02:00 PM,NA ,NA ,14-Feb-2018 10:00 AM,19-Feb-2018 02:00 PM,26-Feb-2018 11:55 AM,Department of Water Resources||Chief Engineer - DoWR,DIBRUGARH/SDRF/17-18/4,2018_DoWR_5688_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,"1,000","The Executive Engineer, Dibrugarh W.R. Division",Dibrugarh,No,AOC,Department of Water Resources||Chief Engineer - DoWR,2018_DoWR_5688_1,DIBRUGARH/SDRF/17-18/4,IM at Konwargaon PK-2,1,29555,AURANGZEB KHAN,16-Feb-2018 05:19 PM,Accepted-AOC,proper,28-Jun-2018 10:51 AM,AOC
,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,2.0,PreQual/Technical,.pdf,Technical Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,29624,BIJAY KUMAR SWAMI,17-Feb-2018 12:26 PM,Accepted-AOC,proper,28-Jun-2018 10:51 AM,AOC
,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,29676,Mohan Chandra Tamuli,17-Feb-2018 06:27 PM,Accepted-AOC,proper,28-Jun-2018 10:51 AM,AOC
,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4,29455,RAJEEB KUMAR GOGOI,15-Feb-2018 05:52 PM,Accepted-AOC,proper,28-Jun-2018 10:51 AM,AOC
,,,,,,,,,,,,,,,,,,5.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,5,29681,SABIR DUTTA,17-Feb-2018 07:30 PM,Accepted-AOC,proper,28-Jun-2018 10:51 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,6,29687,SANJEEB DOWERAH,17-Feb-2018 08:12 PM,Accepted-AOC,proper,28-Jun-2018 10:51 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,7,29789,Sanjit Gogoi,18-Feb-2018 06:42 PM,Accepted-AOC,proper,28-Jun-2018 10:51 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,8,29753,SRI DIGANTA BORAH,18-Feb-2018 01:14 PM,Accepted-AOC,proper,28-Jun-2018 10:51 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,9,29737,SRI HIMANGA SAIKIA,18-Feb-2018 09:08 AM,Accepted-AOC,proper,28-Jun-2018 10:51 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,10,29804,SUBHASH GIRI,18-Feb-2018 08:51 PM,Accepted-AOC,proper,28-Jun-2018 10:51 AM,AOC
