Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
A. Kalita,Internal,"G. C. Sarma, D. Pegu",Priyanka Bora,24-Mar-2018 03:51 PM,24-Mar-2018 03:55 PM,techsummary_8587.pdf (54.61 KB),1.0,28938.0,M/S BISWAJIT BORAH,INR,339627.0,Department of Water Resources||Chief Engineer - DoWR,2018_DoWR_5536_1,DIBRUGARH/SDRF/17-18/1,Im of Tengakhat Pk-2,1,29122,A.B. Enterprise,13-Feb-2018 07:52 PM,Accepted-AOC,Proper,14-Jun-2018 03:13 PM,14-Jun-2018,INR 4431418.05,60.0,Priyanka Bora,14-Jun-2018 03:13 PM,tengakhat_2.pdf (1112.00 KB),Immediate measures to extension of Tengakhat bund on the R/B of river Buridehing from Jokai R.F to A.T. road at Borbeel village for 2017-18,Technical,Financial bid of the successful bidder may be opened,Priyanka Bora,24-Mar-2018 01:36 PM,technical_8587.pdf,A. Kalita,Internal,"G.C. Sarma, D. Pegu",Priyanka Bora,14-Jun-2018 03:06 PM,finsummary_8587.pdf (54.61 KB),Finance,Updated CS may be prepared,Priyanka Bora,14-Jun-2018 02:54 PM,finance_8587.pdf,BOQ Comparative Chart,AOC,Chief Engineer,O/O Chief Engineer Water Resources Department Chandmari,Department of Water Resources||Chief Engineer - DoWR,DIBRUGARH/SDRF/17-18/1,2018_DoWR_5536_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,1.0,Fee,.pdf,Cost of Tender and EMD,Im of Tengakhat Pk-2,Immediate measures to extension of Tengakhat bund on the R/B of river Buridehing from Jokai R.F to A.T. road at Borbeel village for 2017-18,Please refer Tender documents. ,NA ,"44,31,418",Civil Works,NA ,Tender,180.0,60.0,Dibrugarh,786001.0,NA ,NA ,NA ,O/O Chief Engineer Water Resources Department Chan,No ,No,05-Feb-2018 06:00 PM,14-Feb-2018 02:05 PM,05-Feb-2018 06:05 PM,14-Feb-2018 02:00 PM,NA ,NA ,09-Feb-2018 10:00 AM,14-Feb-2018 02:00 PM,24-Mar-2018 03:55 PM,"88,628",Yes,percentage,2.0%,"The Executive Engineer, Dibrugarh W.R. Division",Dibrugarh,"1,000","The Executive Engineer, Dibrugarh W.R. Division",Dibrugarh,No,AOC
,,,,,,,2.0,28941.0,AURANGZEB KHAN,INR,466478.0,,,,,2,28941,AURANGZEB KHAN,12-Feb-2018 08:42 PM,Accepted-AOC,Proper,14-Jun-2018 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,2.0,PreQual/Technical,.pdf,Technical Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3.0,29122.0,A.B. Enterprise,INR,977379.0,,,,,3,29013,BABAKAN SONOWAL,13-Feb-2018 03:58 AM,Rejected-AOC,Official,14-Jun-2018 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,4.0,29130.0,M/S ALI BROTHERS,INR,727237.0,,,,,4,29162,BHABESH KUMAR TAYENG,14-Feb-2018 07:42 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,24-Mar-2018 01:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,5.0,29160.0,Navish Tulshyan,INR,817051.0,,,,,5,29138,DHIRAJ GOGOI,13-Feb-2018 06:43 PM,Rejected-AOC,Official,14-Jun-2018 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,5.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,6.0,29183.0,SURESH KUMAR HARLALKA,INR,660284.0,,,,,6,29133,Mohan Chandra Tamuli,13-Feb-2018 06:05 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,24-Mar-2018 01:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,29130,M/S ALI BROTHERS,13-Feb-2018 06:17 PM,Accepted-AOC,Proper,14-Jun-2018 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,28938,M/S BISWAJIT BORAH,14-Feb-2018 10:50 AM,Accepted-AOC,Proper,14-Jun-2018 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,29077,M/S BOLIN DOWERAH,14-Feb-2018 11:47 AM,Not Admitted-Fee,Insufficient Fee amount,24-Mar-2018 11:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,29160,Navish Tulshyan,13-Feb-2018 10:26 PM,Accepted-AOC,Proper,14-Jun-2018 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
