S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Stage
1.0,287083.0,ASHOK,INR,"1,863,105.08",Finance,fbosummary,Jitender Kumar,06-Jul-2022 02:47 PM,finance_92816.pdf,BOQ Comparative Chart,Technical,summary,Jitender Kumar,18-Jun-2022 11:29 AM,technical_92816.pdf,1.0,287083.0,ASHOK,16-Jun-2022 05:32 PM,Accepted-AOC,AOC,13-Jul-2022 03:05 PM,13-Jul-2022,"INR 1,960,750",90.0,Jitender Kumar,13-Jul-2022 03:05 PM,fboevlpadhar61502.PDF (403.00 KB),Award letter No. 5578-88,Er. J.K. Gupta,Internal,AE Padhar Supdt. HDM Divn. Accountant(P),Jitender Kumar,13-Jul-2022 02:29 PM,finsummary_92816.pdf (403.05 KB),Er. J.K. Gupta,Internal,Supdt. HDM Divn. Accountant(P),Jitender Kumar,01-Jul-2022 03:55 PM,04-Jul-2022 11:00 AM,techsummary_92816.pdf (392.45 KB),PWD,2022_PWD_61502_1,PW-MDI(P)Tender-NIT- 2748-83 dated 30.05.2022,"Periodic Maintenance on Kunnu Babli Nashdarah road (PMGSY Rural Road) MRL-037 and MRL-038 under Performance Based Financial Incentive 2019-20 (during the year 2020-21) by MoRD to eligible States, as Central Assistance",AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),"32,300",No,fixed,,Nil,Nil,PWD,PW-MDI(P)Tender-NIT- 2748-83 dated 30.05.2022,2022_PWD_61502_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Periodic Maintenance on Kunnu Babli Nashdarah road (PMGSY Rural Road) MRL-037 and MRL-038 under Performance Based Financial Incentive 2019-20 (during the year 2020-21) by MoRD to eligible States, as Central Assistance","Providing and laying 30mm thick Bituminous concrete, including profile correction in Km 1/0 to 4/0 and 5/0 to 6/0",As per bid documents ,NA ,"19,60,750",Civil Works - Roads,NA ,Tender,90.0,90.0,Padhar,175012.0,NA ,NA ,NA ,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,No ,No,09-Jun-2022 11:00 AM,17-Jun-2022 11:30 AM,09-Jun-2022 11:00 AM,17-Jun-2022 10:00 AM,NA ,NA ,09-Jun-2022 11:00 AM,17-Jun-2022 10:00 AM,04-Jul-2022 11:00 AM,500.0,Nil,Nil,No,1.0,corrigendum,Other,,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,AOC
,,,,,,,,,,,,,,,,2.0,287038.0,T C KOUNDAL,16-Jun-2022 05:38 PM,Rejected-Finance,L-2,13-Jul-2022 02:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest money (Indicated in Schedule E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Contractors Registration (General Rule No.20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Work done and work in hand certi.(Gen.Rule No.16 and 26.2.b)Mini amount of workdone as per Sched-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"HPPWD Form No.7/8 duly signed (General Rule and directions, Schedules A to F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
